Order ID,Buyer / Operator Company ID,Asset / Vessel Type,Quantity,Capacity / Program,Fuel / Propulsion,Shipyard / Builder,Build Country,Order / Announced Date,Delivery Window,Value,Currency,Status,Strategic Rationale,Source ID
ORDER_0001,COMP_MAERSK,Container ship,8,"18,600 TEU",Dual-fuel; conventional bunker or liquefied gas,New Times Shipbuilding Co. Ltd.,China,2026-02-09,2029-2030,,,Ordered,Fleet renewal and deployment flexibility,SRC_0048
ORDER_0002,COMP_MAERSK,Container ship orderbook,33,,Dual-fuel strategy,,,2026-03-31,2026 onward,,,Orderbook,Q1 2026 total vessels on order; four due remainder of 2026,SRC_0047
ORDER_0003,COMP_CMA_AIR,Airbus A350F,8,>100t payload,New-generation freighter,Airbus,,,Starting 2027,,,Ordered,Long-haul air cargo fleet expansion,SRC_0046
DEF001,COMP_FINCANTIERI,Next-generation submarine,4,U212 NFS,,Muggiano Integrated Shipyard,Italy,2026-07-23,Fourth submarine delivery accelerated; countermeasure tech + logistics support,317000000,EUR,Contract amendment / construction,Customer: Italian Navy (Italy),SRC_0037
DEF002,COMP_FINCANTIERI,Medium Landing Ship,4,LSM,,Fincantieri Marine Group / US yards,United States,2026-04-15,First four units under program of up to 35; production targeted Q4 2026,30000000,USD,Initial engineering/materials award,Customer: U.S. Navy (United States),SRC_0036
DEF003,COMP_FINCANTIERI,Frigate,3,FREMM EVO,,TBD / Fincantieri,Italy / Portugal,2026-07-20,Three FREMM EVO frigates,,,Government-to-government agreement announced,Customer: Portuguese Navy (Portugal),SRC_0038
DEF004,COMP_FINCANTIERI,Corvette,2,Multi Role Corvette (MRC),,Potential cooperation with Brodotrogir Cruise and Iskra Shipyard,Croatia,2026-07-09,Local industrial cooperation for two corvettes,,,MoUs / bid participation,Customer: Croatian Ministry of Defence (Croatia),SRC_0038
ORDER_0005,COMP_ADNOC_LS,LNG carrier,4,"175,000 m3",Next-generation LNG carrier,Jiangnan Shipyard,China,2026-07-10,2029,900000000,USD,Ordered,Raises ADNOC L&S LNG newbuild program to 18 vessels.,SRC_0068
ORDER_0006,COMP_ADNOC_LS,LNG carrier,4,"~174,000 m3",,Samsung Heavy Industries,South Korea,2024,Beginning 2028,,USD,Ordered,Part of up-to-USD2.5bn eight-vessel firm LNG program.,SRC_0072
ORDER_0007,COMP_ADNOC_LS,LNG carrier,4,"~174,000 m3",,Hanwha Ocean,South Korea,2024,Beginning 2028,,USD,Ordered,Part of up-to-USD2.5bn eight-vessel firm LNG program.,SRC_0072
ORDER_0008,COMP_ADNOC_LS,Fleet acquisition: VLCC + VLGC,11,6 VLCC + 5 VLGC,,Secondary market + Chinese newbuild resale,Multiple / China,2026-08-07,Q3-Q4 2026,1300000000,USD,Acquisition / delivery,Rapid expansion of crude and gas shipping capacity.,SRC_0069
ORDER_0009,COMP_BAHRI,Dual-fuel RoCon,2,RoCon,LNG dual-fuel,Jingling Shipyard,China,2026-07-21,2029,,,Ordered + option for 2,Fleet modernization and scheduled cargo/logistics expansion.,SRC_0076
ORDER_0010,COMP_BAHRI,Geared Ultramax dry bulk carrier,6,Ultramax,,International Maritime Industries (IMI),Saudi Arabia,2025-10-01,2028-2029,762000000,SAR,Ordered,Saudi localization and dry-bulk expansion.,SRC_0077
ORDER_0011,COMP_BAHRI,Offshore support vessel,2,OSV,,International shipyards / TBD,,2025,H2 2026,18000000,SAR,Ordered,Marine-services fleet expansion.,SRC_0078
ORDER_0012,COMP_NAKILAT,LNG carrier,17,Conventional LNG carrier,,Hyundai Heavy Industries,South Korea,2024-2025,2026 onward,,,Under construction,Part of QatarEnergy-linked expansion; fully owned by Nakilat per CEO message.,SRC_0080
ORDER_0013,COMP_NAKILAT,LNG carrier,8,"174,000 m3",,Hanwha Ocean,South Korea,2024-2025,2026 onward,,,Under construction,Nakilat newbuild program.,SRC_0080
ORDER_0014,COMP_NAKILAT,QC-Max LNG carrier,9,"271,000 m3 class",,Hudong-Zhonghua Shipbuilding,China,2024-2025,2026 onward,,,Under construction,QC-Max expansion program.,SRC_0080
ORDER_0015,COMP_NAKILAT,LNG carrier,2,"174,000 m3",,HD Hyundai Samho Heavy Industries,South Korea,2025,2026-2027,,,Under construction,Part of six-vessel HSHI package.,SRC_0080
ORDER_0016,COMP_NAKILAT,LPG / ammonia carrier,4,"88,000 m3",LPG / ammonia capable,HD Hyundai Samho Heavy Industries,South Korea,2025,2026-2027,,,Under construction,Part of six-vessel HSHI package.,SRC_0080
ORDER_0017,COMP_QATARENERGY,Conventional LNG fleet expansion,104,"174,000 m3",,Multiple shipyards / shipowners,South Korea / China,2022-2025,Multi-year,,,Charter-backed fleet expansion,QatarEnergy-sponsored program; vessels are operated under long-term charter structures by multiple shipowners.,SRC_0086
ORDER_0018,COMP_QATARENERGY,QC-Max LNG fleet expansion,24,"271,000 m3",,Multiple shipyards / shipowners,China,2022-2025,Multi-year,,,Charter-backed fleet expansion,Largest-class LNG carriers in QatarEnergy expansion program.,SRC_0086
ORDER_0019,COMP_BYD,PCTC,4,"9,200 CEU",LNG dual-fuel + battery,China Merchants Jinling / China Merchants Heavy Industry,China,2022-2023,Delivered 2025,,,Delivered,"Four-vessel BYD-owned 9,200 CEU class.",SRC_0092
ORDER_0020,COMP_BYD,PCTC,2,"7,000 CEU",LNG dual-fuel,Guangzhou Shipyard International,China,2023-2024,Delivered 2025,,,Delivered,BYD-owned PCTCs: BYD Hefei and BYD Zhengzhou.,SRC_0091
ORDER_0021,COMP_ZODIAC,PCTC,2,"7,000 CEU",LNG dual-fuel,CIMC Raffles / Yantai Raffles,China,2021 onward,Delivered 2024,,,Delivered / chartered to BYD,BYD Explorer No.1 and BYD Changzhou are modeled as Zodiac-owned / BYD-chartered.,SRC_0091
ORDER_0022,COMP_ZIM,Containership,4,"8,000 TEU",Scrubber fitted,TBD,,2025-2026,H2 2026-H1 2027,,,Long-term charter agreements,Future chartered capacity.,SRC_0096
ORDER_0023,COMP_ZIM,Containership,10,"11,500 TEU",LNG dual-fuel,Zhoushan Changhong International Shipyard,China,2025,2027-2028,2300000000,USD charter consideration,Long-term charter agreements,Seven via Containers Ventures Holdings/TMS affiliate and three via Kenon-affiliated company.,SRC_0097
ORDER_0024,COMP_ZIM,Containership,2,"12,000 TEU",Scrubber fitted,TBD,,2025-2026,2027,,,Charter agreements,Up to five-year charter periods plus options.,SRC_0096
ORDER_0025,COMP_ZIM,Secondhand containership,4,"9,000 TEU",,Existing vessels,,2026,2027-2028,,,Charter agreements,2015-2016-built secondhand capacity.,SRC_0096
ORDER_0026,COMP_ZIM,Containership,20,"3,000-5,000 TEU",Some scrubber fitted,Multiple / TBD,,2025-2026,2027-2028,,,Newbuild charter agreements,Fleet renewal / flexible chartered capacity.,SRC_0096
ORDER_0027,COMP_FEDERAL_EXPRESS,Cessna 408 SkyCourier,11,Feeder freighter,,Textron Aviation / Cessna,United States,2026,2027-2030,,,Purchase commitment,Feeder fleet renewal / network capacity.,SRC_0297
ORDER_0028,COMP_FEDERAL_EXPRESS,ATR 72-600F,15,Regional freighter,,ATR,France / Italy,2026,2027-2030,,,Purchase commitment,Regional air-freight capacity / fleet modernization.,SRC_0297
ORDER_0029,COMP_FEDERAL_EXPRESS,Boeing 777F,10,Long-haul freighter,,Boeing,United States,2026,2027-2030,,,Purchase commitment,Long-haul global network renewal / capacity.,SRC_0297
