News ID,Terminal ID,Date,Event Type,Headline,Summary,Source,URL,Source Asset ID
PNEWS00001,TERM0057,2026-08-20,Performance / recognition,Port of Posorja receives AAPA Port Industry Excellence Award for second consecutive year,Recognition highlights port development and performance; expansion to 800 m berth and 1.4m TEU capacity reiterated.,DP World,https://www.dpworld.com/en/news/usa/posorja-aapa-port-industry-excellence-award-2026,DPW-ECU-POS
PNEWS00002,TERM0057,2026-08-18,Service / connectivity,DP World strengthens Ecuador trade connectivity with new direct Asia shipping service,New direct Asia service strengthens reefer/export connectivity through Posorja.,DP World,https://www.dpworld.com/en/news/usa/strengthen-ecuador-trade-new-asia-service,DPW-ECU-POS
PNEWS00003,TERM0049,2026-07-22,Development / concession,DP World to expand UAE gateway network with new Fujairah terminals,Agreement in principle covers Al Rugaylat and Dibba terminals on the UAE east coast.,DP World,https://www.dpworld.com/en/news/dp-world-to-expand-uae-gateway-network-with-new-fujairah-terminals,DPW-UAE-RUG
PNEWS00004,TERM0050,2026-07-22,Development / concession,DP World to expand UAE gateway network with new Fujairah terminals,Dibba General Cargo terminal announced with up to 3.6m tonnes/year capacity.,DP World,https://www.dpworld.com/en/news/dp-world-to-expand-uae-gateway-network-with-new-fujairah-terminals,DPW-UAE-DIB
PNEWS00005,TERM0044,2026-07-08,Operations / performance,DP World drives record efficiency and vessel performance at Dar es Salaam Port,DP World reports major reductions in discharge time and continued modernization under the concession.,DP World,https://www.dpworld.com/en/news/dp-world-drives-record-efficiency-and-vessel-performance-at-dar-es-salaam-port,DPW-TZA-DAR
PNEWS00006,TERM0068,2026-06-16,Proposed development,DP World enters exclusive negotiations to develop container terminal at Port of Corpus Christi,Exclusive negotiations begin for a long-term lease and new U.S. Gulf container terminal.,DP World,https://www.dpworld.com/en/news/usa/container-terminal-at-port-of-corpus-christi-texas,DPW-USA-CRP
PNEWS00007,TERM0018,2026-05-28,Equipment / electrification,Investment in the electrification of terminal operations at Antwerp Gateway,"Antwerp Gateway is deploying electric terminal equipment, charging infrastructure, BESS and solar.",DP World,https://www.dpworld.com/en/news/belgium/investment-in-electrification-at-antwerp,DPW-BEL-ANT
PNEWS00008,TERM0056,2026-05-26,Investment / expansion,DP World to expand logistics capacity in Dominican Republic with new US$100 million investment,Additional logistics and warehousing investment at Caucedo builds on a larger port/FTZ expansion plan.,DP World,https://www.dpworld.com/en/news/dominican-republic/05262026_dp-world-to-expand-logistics-capacity-in-the-dr,DPW-DOM-CAU
PNEWS00009,TERM0034,2026-05-25,Economic impact / trade,DP World Mundra could drive $9.2bn GDP impact for India by 2035,Research highlights MICT's trade connectivity and national economic role.,DP World,https://www.dpworld.com/en/news/india/dp-world-mundra-india-gdp-impact-2035,DPW-IND-MUN
PNEWS00010,TERM0016,2026-05-07,Concession / operations,DP World secures Laem Chabang concession extension amid rising intra-Asia trade,Five-year extension for B5 runs to April 2031; LCIT operates B5 and C3.,DP World,https://www.dpworld.com/en/news/dp-world-secures-laem-chabang-concession-extension-amid-rising-intra-asia-trade,DPW-THA-LCB
PNEWS00011,TERM0057,2026-04-23,Infrastructure expansion,"DP World inaugurates Posorja terminal expansion, boosting Ecuador’s global trade capacity","700 m quay inaugurated, two-vessel operation enabled; 800 m and 1.4m TEU capacity targeted by end-2026.",DP World,https://www.dpworld.com/en/news/dp-world-inaugurates-posorja-terminal-expansion-boosting-ecuadors-global-trade-capacity,DPW-ECU-POS
PNEWS00012,TERM0067,2026-04-10,Construction / expansion,DP World marks new milestone in Canada with Contrecœur expansion groundbreaking,Construction begins; about 1.15m TEU annual capacity planned with commissioning expected in 2030.,DP World,https://www.dpworld.com/en/news/canada/new-milestone-in-canada-with-contrecoeur-expansion-groundbreaking,DPW-CAN-CON
PNEWS00013,TERM0064,2026-03-30,Portfolio / investment,DP World celebrates 20 years of growth and innovation in Canada,"Update covers Vancouver, Prince Rupert, Nanaimo, Fraser Surrey and Saint John investment and throughput.",DP World,https://www.dpworld.com/en/news/canada/03302026_canada_20th_anniversary,DPW-CAN-NAN
PNEWS00014,TERM0062,2026-03-19,Throughput / performance,DP World’s Vancouver terminal posts record throughput in 2025,"Vancouver terminal handled 975,727 TEU in 2025, up 23% year-on-year.",DP World,https://www.dpworld.com/en/news/usa/dp-world-vancouver-terminal-record-throughput,DPW-CAN-VAN
