Fleet ID,Company ID,Mode,Measure,Count,Capacity / Scale,Notes,Source ID,As Of
FLEET_0001,COMP_CMA_CGM,Container shipping,Owned vessels,400,,CMA CGM Q1 2026 reported MONTE CRISTO as the Group's 400th owned vessel.,SRC_0045,2026-03-31
FLEET_0002,COMP_CMA_AIR,Air cargo,Freighter aircraft,8,,Q1 2026: fleet of eight aircraft operated under CMA CGM AIR CARGO and Air Belgium brands.,SRC_0045,2026-03-31
FLEET_0003,COMP_MAERSK,Container shipping,Dual-fuel vessels operating,21,,Q1 2026 management review.,SRC_0047,2026-03-31
FLEET_0004,COMP_MSC,Container shipping,Cargo vessels,1000,,MSC public key figures.,SRC_0050,2026-09-07
FLEET_0005,COMP_MSC,Air cargo,Aircraft,7,,MSC public key figures.,SRC_0050,2026-09-07
FLEET_0006,COMP_COSCO_GROUP,All shipping,Total vessels,1660,135000000 DWT,COSCO SHIPPING group fleet at end-2025.,SRC_0054,2025-12-31
FLEET_0007,COMP_COSCO_LINES,Container shipping,Container vessels,456,~2.4m TEU,COSCO SHIPPING Lines fleet at end-May 2026.,SRC_0053,2026-05-31
FLEET_0008,COMP_EVERGREEN,Container shipping,Operating fleet,208,1.627m TEU,Latest structured official fleet count captured from 2023 sustainability report; refresh queued.,SRC_0057,2023-12-31
FLEET_0009,COMP_ADNOC_LS,All maritime / offshore,"Owned, chartered and operated vessels",900,900+,"Corporate fleet sheet aggregate across shipping, integrated logistics and services.",SRC_0066,2026-01
FLEET_0010,COMP_ADNOC_LS,Shipping,Shipping fleet,112,112 vessels,Official fleet sheet shipping-fleet count; individual seed records remain incomplete.,SRC_0066,2026-01
FLEET_0011,COMP_NAVIG8,Shipping,Fleet integrated through acquisition,32,32 vessels,ADNOC L&S integrated Navig8's 32-vessel fleet after acquisition; individual Navig8 seed captures remain partial.,SRC_0069,2025-2026
FLEET_0012,COMP_ADNOC_LS,Crude oil,VLCC fleet after Aug 2026 acquisition,14,14 VLCC,Post-acquisition fleet count.,SRC_0069,2026-08-07
FLEET_0013,COMP_ADNOC_LS,Gas shipping,VLGC fleet after Aug 2026 acquisition,12,12 VLGC,Post-acquisition fleet count.,SRC_0069,2026-08-07
FLEET_0014,COMP_BAHRI,All shipping,Owned fleet,107,107 vessels,Owned fleet at end-June 2026.,SRC_0074,2026-06-30
FLEET_0015,COMP_BAHRI,All shipping,Operated fleet,109,107 owned + 2 long-term leased,Bahri Q2 2026 operational total; three floating desalination barges are separate assets.,SRC_0074,2026-06-30
