Rail Relationship ID,Rail Network ID,Company ID,Relationship Type,Confidence,Source ID,Notes
RREL_0001,RAILNET_0001,COMP_ETIHAD_RAIL,OWNER_OPERATOR,High,SRC_0380,UAE National Rail Network
RREL_0002,RAILNET_0002,COMP_HAFEET_RAIL,DEVELOPER_OPERATOR,High,SRC_0383,Hafeet Rail JV
RREL_0003,RAILNET_0002,COMP_ETIHAD_RAIL,JV_PARTNER,High,SRC_0383,Shareholder
RREL_0004,RAILNET_0002,COMP_OMAN_RAIL,JV_PARTNER,High,SRC_0383,Shareholder
RREL_0005,RAILNET_0002,COMP_MUBADALA,JV_PARTNER,High,SRC_0383,Shareholder
RREL_0006,RAILNET_0003,COMP_SAR,OWNER_OPERATOR,High,SRC_0385,Saudi East freight
RREL_0007,RAILNET_0004,COMP_KTZ,RAIL_OPERATOR,High,SRC_0386,Kazakhstan segment
RREL_0008,RAILNET_0004,COMP_ADY,RAIL_OPERATOR,High,SRC_0386,Azerbaijan segment
RREL_0009,RAILNET_0004,COMP_GEORGIAN_RAILWAY,RAIL_OPERATOR,High,SRC_0386,Georgia segment
RREL_0010,RAILNET_0005,COMP_TCDD,INFRASTRUCTURE_OPERATOR,High,SRC_0386,Türkiye segment
RREL_0011,RAILNET_0007,COMP_CN,OWNER_OPERATOR,High,SRC_0389,CN network
RREL_0012,RAILNET_0008,COMP_CPKC,OWNER_OPERATOR,High,SRC_0392,CPKC network
RREL_0013,RAILNET_0009,COMP_ACTA,INFRASTRUCTURE_AUTHORITY,High,SRC_0393,Alameda Corridor
RREL_0014,RAILNET_0010,COMP_BNSF,OWNER_OPERATOR,High,SRC_0394,BNSF network
RREL_0015,RAILNET_0011,COMP_UNION_PACIFIC,OWNER_OPERATOR,High,SRC_0395,UP network
RREL_0016,RAILNET_0012,COMP_NORFOLK_SOUTHERN,OWNER_OPERATOR,High,SRC_0396,NS network
RREL_0017,RAILNET_0013,COMP_CPKC,SERVICE_PARTNER,High,SRC_0392,SMX
RREL_0018,RAILNET_0013,COMP_CSX,SERVICE_PARTNER,High,SRC_0392,SMX
RREL_0019,RAILNET_0014,COMP_TRANSNET_FREIGHT_RAIL,OWNER_OPERATOR,High,SRC_0398,ContainerCor
RREL_0020,RAILNET_0015,COMP_TRANSNET_FREIGHT_RAIL,OWNER_OPERATOR,High,SRC_0399,NorthCor
RREL_0021,RAILNET_0016,COMP_ONCF,RAIL_OPERATOR,High,SRC_0400,Tanger Med rail gateway
RREL_0022,RAILNET_0017,COMP_METRANS,OPERATOR,High,SRC_0402,METRANS network
RREL_0023,RAILNET_0017,COMP_HHLA,PARENT_COMPANY,High,SRC_0401,METRANS wholly owned by HHLA
RREL_0024,RAILNET_0018,COMP_HAMBURG_PORT_AUTHORITY,INFRASTRUCTURE_AUTHORITY,High,SRC_0403,Hamburg Port Railway
RREL_0025,RAILNET_0019,COMP_DFCCIL,INFRASTRUCTURE_OWNER,High,SRC_0406,Western DFC
RREL_0026,RAILNET_0020,COMP_CONCOR,CONTAINER_RAIL_OPERATOR,High,SRC_0405,CONCOR network
