Berth Record ID,Terminal ID,Berth / Interface,Berth Count,Quay Length m,Max Depth m,Cargo Use,Status,Source Operator,Source URL,Source Asset ID
BERTH00001,TERM0001,Terminal berths (aggregate),,936.0,15.0,Containers,Operational,DP World,https://dpw-prod-cd-1.dpworld.com/australia/ports-and-terminals/dp-world-sydney,DPW-AUS-SYD
BERTH00002,TERM0002,Terminal berths (aggregate),,900.0,14.0,Containers,Operational,DP World,https://dpw-prod-cd-1.dpworld.com/australia/ports-and-terminals/dp-world-brisbane,DPW-AUS-BNE
BERTH00003,TERM0003,Terminal berths (aggregate),,929.0,14.0,Containers,Operational,DP World,https://dpw-prod-cd-1.dpworld.com/australia/ports-and-terminals/dp-world-melbourne,DPW-AUS-MEL
BERTH00004,TERM0004,Terminal berths (aggregate),,646.0,14.5,Containers,Operational,DP World,https://dpw-prod-cd-1.dpworld.com/australia/ports-and-terminals/dp-world-fremantle,DPW-AUS-FRE
BERTH00005,TERM0012,Pier 3,,600.0,13.0,Containers,Operational,DP World,https://www.dpworld.com/en/news/dp-world-and-asian-terminals-inc-invest-us100-million-to-boost-capacity-at-manila-south-harbour,DPW-PHL-MSH
BERTH00006,TERM0015,PNC berths (aggregate),,2000.0,17.0,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/south-korea/pnc-port,DPW-KOR-BUS
BERTH00007,TERM0016,B5 + C3,,900.0,,Containers,Operational,DP World,https://www.dpworld.com/en/news/dp-world-secures-laem-chabang-concession-extension-amid-rising-intra-asia-trade,DPW-THA-LCB
BERTH00008,TERM0018,Antwerp Gateway berths (aggregate),,1660.0,16.0,Containers / feeder / barge,Operational,DP World,https://www.dpworld.com/en/ports-terminals/belgium/antwerp,DPW-BEL-ANT
BERTH00009,TERM0021,Main quay,,640.0,,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/romania/constanta,DPW-ROU-CTA
BERTH00010,TERM0021,Feeder quay,,380.0,,Containers / feeder,Operational,DP World,https://www.dpworld.com/en/ports-terminals/romania/constanta,DPW-ROU-CTA
BERTH00011,TERM0022,Danube berths (aggregate),,800.0,10.0,Multipurpose,Operational,DP World,https://www.dpworld.com/en/ports-terminals/eu-intermodal/novi-sad,DPW-SRB-NVS
BERTH00012,TERM0026,Berths 1–4 (current aggregate),,1690.0,16.5,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/united-kingdom/london-gateway/infrastructure-facts,DPW-GBR-LGW
BERTH00013,TERM0026,Berth 5,,400.0,,Containers,Under construction,DP World,https://www.dpworld.com/en/news/united-kingdom/dp-world-to-begin-construction-of-london-gateway-expansion,DPW-GBR-LGW
BERTH00014,TERM0026,Berth 6,,400.0,,Containers,Planned / under expansion program,DP World,https://www.dpworld.com/en/news/united-kingdom/dp-world-to-begin-construction-of-london-gateway-expansion,DPW-GBR-LGW
BERTH00015,TERM0027,Terminal berths (aggregate),,1920.0,16.0,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/united-kingdom/southampton/infrastructure-facts,DPW-GBR-SOU
BERTH00016,TERM0029,Container berths,,600.0,11.0,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/algeria/djazair,DPW-DZA-DZA
BERTH00017,TERM0030,Deep-water quay,,1590.0,17.0,Containers / multipurpose,Operational,DP World,https://www.dpworld.com/en/ports-terminals/algeria/djendjen,DPW-DZA-DJD
BERTH00018,TERM0030,Secondary quay,,250.0,11.0,Feeder / multipurpose,Operational,DP World,https://www.dpworld.com/en/ports-terminals/algeria/djendjen,DPW-DZA-DJD
BERTH00019,TERM0031,Berth 1,,750.0,17.0,Containers / multipurpose,Operational,DP World,https://www.dpworld.com/en/ports-terminals/egypt/sokhna/infrastructure-facts,DPW-EGY-SOK
BERTH00020,TERM0031,Berth 2,,1350.0,17.0,Containers / multipurpose,Operational,DP World,https://www.dpworld.com/en/ports-terminals/egypt/sokhna/infrastructure-facts,DPW-EGY-SOK
BERTH00021,TERM0032,NSICT quay,,600.0,16.2,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/india/nsict/infrastructure,DPW-IND-NSI
BERTH00022,TERM0033,NSIGT quay,,600.0,16.2,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/india/nsigt/infrastructure,DPW-IND-NSG
BERTH00023,TERM0034,MICT quay,,632.0,15.5,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/india/mict/infrastructure,DPW-IND-MUN
BERTH00024,TERM0035,CB1,,,13.0,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/india/cct/infrastructure,DPW-IND-CCT
BERTH00025,TERM0035,CB2,,,13.0,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/india/cct/infrastructure,DPW-IND-CCT
BERTH00026,TERM0035,CB3,,,13.0,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/india/cct/infrastructure,DPW-IND-CCT
BERTH00027,TERM0035,CB4,,,15.0,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/india/cct/infrastructure,DPW-IND-CCT
BERTH00028,TERM0036,ICTT quay,,950.0,17.6,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/india/ictt/infrastructure,DPW-IND-COK
BERTH00029,TERM0037,Phase 1 berth,,1100.0,,Containers,Development,DP World,https://www.dpworld.com/en/news/india/dp-world-signs-concession-to-develop-tuna-tekra-mega-container-terminal-in-india,DPW-IND-TUN
BERTH00030,TERM0038,Container quay,,330.0,12.0,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/mozambique/maputo,DPW-MOZ-MAP
BERTH00031,TERM0039,Terminal 1 quay,,712.0,13.0,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/pakistan/qasim,DPW-PAK-QAS
BERTH00032,TERM0039,Terminal 2 quay,,615.0,13.0,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/pakistan/qasim,DPW-PAK-QAS
BERTH00033,TERM0040,South Container Terminal berths,,2550.0,18.0,Containers,Operational,DP World,https://www.dpworld.com/en/ports-terminals/saudi-arabia/jeddah,DPW-SAU-JED
BERTH00034,TERM0041,Dakar container berths,,720.0,,Containers,Operational,DP World,https://dpw-prod-cd-1.dpworld.com/senegal/ports-and-terminals,DPW-SEN-DKR
BERTH00035,TERM0042,Ndayane Phase 1,,840.0,,Containers,Development,DP World,https://www.dpworld.com/en/ports-terminals/senegal,DPW-SEN-NDY
BERTH00036,TERM0043,Expansion quay,,400.0,,Containers,Operational / expanding,DP World,https://www.dpworld.com/en/ports-terminals/somaliland/berbera,DPW-SML-BER
BERTH00037,TERM0044,Berth 0,,,,Multipurpose / RoRo,Operational,DP World,https://www.dpworld.com/en/ports-terminals/dar-es-salaam/infrastructure,DPW-TZA-DAR
BERTH00038,TERM0044,Berths 1–4,,,,Multipurpose,Operational,DP World,https://www.dpworld.com/en/ports-terminals/dar-es-salaam/infrastructure,DPW-TZA-DAR
BERTH00039,TERM0044,Berths 5–7,,550.0,,Multipurpose,Operational,DP World,https://www.dpworld.com/en/ports-terminals/dar-es-salaam/infrastructure,DPW-TZA-DAR
BERTH00040,TERM0046,Mina Al Hamriya berths,,1800.0,7.0,Multipurpose / coastal,Operational,DP World,https://www.dpworld.com/en/ports-terminals/uae/mina-al-hamriya,DPW-UAE-HAM
