News ID,Published Date,Headline,Publisher,URL,Summary,Region,Country,Sector,Event Type,Event Subtype,Canonical Event ID,Verification Status,Source ID,Notes
NEWS00001,2026-09-04,500-Tonne Flood Nearly Sank Ferry After Jetty Collision—MAIB Report,Financial Ports,https://financialports.com/500-tonne-flood-nearly-sank-ferry-after-jetty-collision-maib-report/,Stena Estrid struck Holyhead Terminal 3; major flooding and resilience works followed.,Europe,United Kingdom,Ferry / Port,Casualty,Berthing collision / flooding,,Secondary; underlying MAIB report referenced,SRC_0340,"Entity enrichment trigger for vessel, port and terminal."
NEWS00002,2026-09-07,Samsung hits CMA CGM with $186m FMC claim,Splash247,https://splash247.com/samsung-hits-cma-cgm-with-186m-fmc-claim/,Samsung Electronics America seeks at least $186m in FMC proceedings.,North America,United States,Shipping / Regulatory,Regulatory / legal dispute,FMC complaint,EVENT_0011,Reported / pending adjudication,SRC_0341,
NEWS00003,2026-09-08,Antwerp backs ten projects to take freight off roads,Splash247,https://splash247.com/antwerp-backs-ten-projects-to-take-freight-off-roads/,Port of Antwerp-Bruges supports ten modal-shift logistics projects.,Europe,Belgium,Ports / Logistics,Infrastructure / project,Modal shift,,Reported,SRC_0342,
NEWS00004,2026-09-07,Russia opens giant new Arctic oil export terminal,Splash247,https://splash247.com/russia-opens-giant-new-arctic-oil-export-terminal/,Bukhta Sever begins crude loading as Vostok Oil export system ramps up.,Arctic,Russia,Ports / Energy,Infrastructure / commissioning,New oil export terminal,,Reported,SRC_0343,
NEWS00005,2026-09-07,Port Louis advances $58m-plus terminal upgrade,Splash247,https://splash247.com/port-louis-advances-58m-plus-terminal-upgrade/,CHCL orders new quay and yard cranes for Mauritius Container Terminal.,Indian Ocean / Africa,Mauritius,Ports,Infrastructure / investment,Terminal equipment renewal,,Reported,SRC_0344,
NEWS00006,2026-09-07,South Korea confirms sweeping port authority merger,Splash247,https://splash247.com/south-korea-confirms-sweeping-port-authority-merger/,Report describes integration of four major port authorities into a national body.,East Asia,South Korea,Ports / Governance,Regulatory / policy,Port governance restructuring,EVENT_0018,Developing; primary-source verification required before overwriting governance,SRC_0345,
NEWS00007,2026-09-05,Ecuador Says US Sinkings Of Vessels Were Part Of Joint Anti-Drug Probe,gCaptain / Reuters,https://gcaptain.com/ecuador-says-us-sinkings-of-vessels-were-part-of-joint-anti-drug-probe/,Joint Ecuador-US counter-drug interdictions involved vessels described by authorities as refueling platforms.,Eastern Pacific,Ecuador,Security / Maritime,Military / enforcement,Counter-narcotics interdiction,EVENT_0017,Contested allegations preserved,SRC_0346,
NEWS00008,2026-09-04,Port of Oakland Advances $642 Million Harbor Widening Project for Larger Ships,gCaptain,https://gcaptain.com/port-of-oakland-advances-642-million-harbor-widening-project-for-larger-ships/,Oakland advances widening of inner and outer turning basins.,North America,United States,Ports,Infrastructure / project,Turning basin widening,,Reported / corroborated,SRC_0347,Canonical project WORK_0010.
NEWS00009,2026-09-07,Potential U.S. Bidder Emerges to Challenge Hanwha for Austal USA,The Maritime Executive,https://maritime-executive.com/article/potential-u-s-bidder-emerges-to-challenge-hanwha-for-austal-usa,Wildcat Infrastructure held preliminary discussions while Hanwha proceeds with due diligence.,North America,United States,Shipbuilding / M&A,Corporate transaction,Potential acquisition,,Developing,SRC_0348,
NEWS00010,2026-09-07,Yemen Coast Guard Stops Tanker After Delivery to Houthi-Controlled Port,The Maritime Executive,https://maritime-executive.com/article/yemen-coast-guard-stops-tanker-after-delivery-to-houthi-controlled-port,Nereida was reportedly intercepted after a Ras Isa port call.,Middle East,Yemen,Security / Shipping,Military / enforcement,Interdiction after port call,EVENT_0012,Attributed official claims,SRC_0349,
