Event ID,Date,Event Type,Subject Entity ID,Location,Title,Description,Operational Impact,Financial / Strategic Impact,Source ID
EVENT_0001,2017-06-27,Cyberattack,COMP_MAERSK,Global,NotPetya cyberattack,"Maersk Line, APM Terminals and Damco were significantly affected; Maersk maintained vessel control.",Operational / IT disruption,USD 200-300m expected impact in Q2 2017 briefing,SRC_0062
EVENT_0002,1869-11-17,Corridor milestone,CORRIDOR_SUEZ,Egypt,Suez Canal opening,Opening of the Suez Canal for navigation.,Trade corridor activation,Historic system event,SRC_0063
EVENT_0003,1967-06-05,Corridor closure,CORRIDOR_SUEZ,Egypt,Suez Canal closure,Navigation stopped after the 1967 war.,Trade corridor interruption,Historic system event,SRC_0063
EVENT_0004,1975-06-05,Corridor reopening,CORRIDOR_SUEZ,Egypt,Suez Canal reopened,International navigation resumed.,Trade corridor restoration,Historic system event,SRC_0063
EVENT_0005,2026-07-12,Conflict attack,VESSEL_00171,Strait of Hormuz,Iranian attack on GFS Galaxy,"GFS Galaxy was hit during a security incident in the Strait of Hormuz, caught fire and was abandoned by crew; AD Ports later reported the vessel was brought safely to Khor Fakkan.",Severe vessel damage / temporary loss of service,"Direct geopolitical exposure of an AD Ports-controlled feeder carrier; links state conflict risk to fleet, services, customers and port connectivity.",SRC_0184
EVENT_0006,2026-09-01,Corporate reorganization,COMP_DHL_AG,Germany,DHL Group completes corporate reorganization,Listed parent becomes DHL AG; five divisions operate as separate legal entities under group structure.,No customer-facing operational change; legal/entity relationships change.,Strengthens entity-resolution requirement: Deutsche Post is no longer the listed global parent; P&C should track division-level legal structure.,SRC_0288
EVENT_0007,2026-06-01,Corporate separation,COMP_FEDEX_FREIGHT,United States,FedEx Freight becomes independent public company,FedEx Freight spin-off completed; FDXF begins trading independently; FedEx retains 19.9% temporarily.,LTL network becomes a separate corporate entity while commercial ecosystem relationships remain relevant.,Separates control from brand/history and creates a new investable logistics network.,SRC_0298
EVENT_0008,2026-07-01,M&A agreement,COMP_FEDEX_SUPPLY_CHAIN,United States,CMA CGM agrees to acquire FedEx Supply Chain,"CMA CGM announced $1.4bn enterprise-value acquisition, expected to close in 2026 subject to approvals.",No ownership transfer yet; operations remain FedEx until closing.,Would materially expand CEVA North American contract logistics and deepen CMA CGM's end-to-end strategy.,SRC_0301
EVENT_0009,2026-05-04,Business-model expansion,COMP_AMAZON_SUPPLY_CHAIN,United States / global,Amazon opens logistics network to outside businesses,"Amazon Supply Chain Services launches external access to freight, distribution, fulfillment and parcel services across ocean, air, ground and rail.",Turns internal commerce logistics capacity into an external customer-facing network.,Signals Amazon's evolution from retailer/marketplace into a third-party multimodal logistics provider.,SRC_0302
EVENT_0010,2025-07-25,Majority acquisition,COMP_ARAMEX,United Arab Emirates,ADQ completes majority acquisition of Aramex,"ADQ aggregate ownership reaches 63.16%, including shares held by AD Ports Group; Q Logistics used as acquisition vehicle.",Aramex joins ADQ transport and logistics portfolio.,"Connects express/freight/warehousing capabilities with ADQ's air, sea and land infrastructure holdings.",SRC_0308
