Connection ID,Source Asset ID,Source Asset,Target Entity / Asset ID,Target / Node,Target Type,Mode,Relationship,Corridor ID,Commodity / Traffic,Status,Source ID,Source URL,Notes
ICONN_0001,ASSET081,Tbilisi Intermodal Hub,,Port of Batumi,Seaport,Rail,Direct block-train / inland-port extension,CORRIDOR_MIDDLE,Containers,Active,SRC_0278,https://www.tbilisidryport.com/infrastructure-facilities/,First soft-launch shipment arrived by rail from an MSC vessel at Batumi.
ICONN_0002,ASSET081,Tbilisi Intermodal Hub,,Port of Poti,Seaport,Rail,Direct block-train / inland-port extension,CORRIDOR_MIDDLE,Containers,Active,SRC_0278,https://www.tbilisidryport.com/infrastructure-facilities/,
ICONN_0003,ASSET081,Tbilisi Intermodal Hub,,Azerbaijan / Caspian ports,Regional gateway,Rail,Eastward corridor connection,CORRIDOR_MIDDLE,Containers; transit cargo,Active,SRC_0277,https://www.adportsgroup.com/en/news-and-media/2024/08/15/ad-ports-group-completes-tbilisi-dry-port-acquisition-to-become-majority-owner,
ICONN_0004,ASSET081,Tbilisi Intermodal Hub,,Armenia,Country / inland market,Rail / Road,Regional transshipment connection,CORRIDOR_MIDDLE,Containers; general cargo,Active,SRC_0278,https://www.tbilisidryport.com/infrastructure-facilities/,
ICONN_0005,ASSET081,Tbilisi Intermodal Hub,,Middle Corridor,Trade corridor,Rail / Road / Maritime,Strategic inland node,CORRIDOR_MIDDLE,Asia-Europe container flows,Active,SRC_0279,https://wpvip.adportsgroup.com/adportsgroup/news-and-media/2025/06/03/ad-ports-group-inaugurates-tbilisi-intermodal-hub-in-georgia/,Links AD Ports maritime/terminal footprint with overland Central Asian strategy.
ICONN_0006,ASSET082,Al Faya Dry Port,,Khalifa Port,Seaport,Road,Bonded inland extension / cargo transit,CORRIDOR_UAE_RAIL,Containers / O&D cargo,Active,SRC_0287,https://www.adportsgroup.com/-/media/sites/adports/investors/2025/downloads/adpg-earnings-presentation-q2-2025.pdf?rev=171f736cc8ea44f4a3c70650630e217e,Anchored by CMA CGM.
ICONN_0007,ASSET082,Al Faya Dry Port,,UAE inland O&D destinations,Inland market,Road,Bonded inland distribution,CORRIDOR_UAE_RAIL,Containers,Active,SRC_0280,https://www.adportsgroup.com/en/news-and-media/2026/06/18/ad-ports-group-enhances-al-faya-dry-ports-integration-with-the-global-trade-and-logistics-ecosystem,
ICONN_0008,ASSET083,Al Ghail Dry Port,,RAK / Fujairah quarries,Industrial origin,Road / Rail,Aggregate collection and rail transfer,CORRIDOR_UAE_RAIL,Aggregates,Active,SRC_0272,https://corporate.etihadrail.ae/en/newsroom/press/etihad-rail-and-trojan-general-contracting-sign-haulage-services-agreement-for-transportation-of-aggregates,
ICONN_0009,ASSET083,Al Ghail Dry Port,,Industrial City of Abu Dhabi (ICAD),Industrial zone,Rail,Destination rail service,CORRIDOR_UAE_RAIL,Aggregates,Active,SRC_0272,https://corporate.etihadrail.ae/en/newsroom/press/etihad-rail-and-trojan-general-contracting-sign-haulage-services-agreement-for-transportation-of-aggregates,
ICONN_0010,ASSET083,Al Ghail Dry Port,,Dubai Industrial City,Industrial zone,Rail,Destination rail service,CORRIDOR_UAE_RAIL,Aggregates,Active,SRC_0272,https://corporate.etihadrail.ae/en/newsroom/press/etihad-rail-and-trojan-general-contracting-sign-haulage-services-agreement-for-transportation-of-aggregates,
ICONN_0011,ASSET084,CentrePort Canada,,CPKC / CN / BNSF,Rail networks,Rail,Three-Class-I railway access,CORRIDOR_MIDCONTINENT,Containers; bulk; industrial goods,Active,SRC_0271,https://centreportcanada.ca/about-centreport/,
ICONN_0012,ASSET084,CentrePort Canada,,Winnipeg Richardson International Airport,Cargo airport,Air Cargo,On-site / adjacent air-cargo gateway,CORRIDOR_MIDCONTINENT,Air cargo,Active,SRC_0271,https://centreportcanada.ca/about-centreport/,
ICONN_0013,ASSET084,CentrePort Canada,,Port of Churchill,Seaport / Arctic gateway,Rail / Road,Northern gateway connection,CORRIDOR_MIDCONTINENT,Bulk; northern supply; export cargo,Active / strategic,SRC_0271,https://centreportcanada.ca/about-centreport/,Connect to existing Churchill / Arctic research workstream.
ICONN_0014,ASSET084,CentrePort Canada,,Vancouver / Prince Rupert,Pacific seaports,Rail,Westbound gateway connection,CORRIDOR_MIDCONTINENT,Containers; international trade,Active,SRC_0271,https://centreportcanada.ca/about-centreport/,
ICONN_0015,ASSET084,CentrePort Canada,,Thunder Bay / Montreal / Halifax,Great Lakes / Atlantic gateways,Rail / Road,Eastbound gateway connection,CORRIDOR_MIDCONTINENT,Containers; bulk; international trade,Active,SRC_0271,https://centreportcanada.ca/about-centreport/,
ICONN_0016,ASSET084,CentrePort Canada,,Houston / New Orleans / Manzanillo / Lazaro Cardenas,U.S./Mexico seaports,Rail / Road,Southbound continental gateway connection,CORRIDOR_MIDCONTINENT,Containers; industrial goods,Active,SRC_0271,https://centreportcanada.ca/about-centreport/,
