System ID,System Name,Operator Company ID,Parent / Public Owner,Region,Country / Jurisdiction,Service Model,Passenger Service,Vehicle / Freight Service,Network Type,Fleet Status Tracking,Alerts / Performance Data,Research Status,Source ID,Source URL
FERRY_SYS_0001,BC Ferries,COMP_BC_FERRIES,,North America - Pacific,Canada / British Columbia,Public-service coastal network,Passenger + vehicle,"Cars, buses, commercial freight",Point-to-point + multi-stop coastal,Yes,Yes,"Seeded / expand fleet, terminals and performance",SRC_0111,https://www.bcferries.com/on-the-ferry/our-fleet
FERRY_SYS_0002,Washington State Ferries,COMP_WSF,Washington State DOT,North America - Pacific,United States / Washington,State marine highway,Passenger + vehicle,"Cars, trucks / commercial traffic",High-frequency commuter + island network,Yes,Yes,Seeded / full vessel IDs and terminals next,SRC_0114,https://wsdot.wa.gov/travel/washington-state-ferries/ferries-terminals/about-our-fleet
FERRY_SYS_0003,Alaska Marine Highway System,COMP_AMHS,Alaska DOT&PF,North America - Pacific / Arctic gateway,United States / Alaska,State marine highway,Passenger + vehicle,"Vehicles, freight containers, commercial traffic",Long-distance mainline + day boat + shuttle,Yes,Yes,Seeded / full vessel specs and community nodes next,SRC_0119,https://dot.alaska.gov/amhs/fleet.shtml
FERRY_SYS_0004,Marine Atlantic,COMP_MARINE_ATLANTIC,Government of Canada,North America - Atlantic,Canada,Essential interprovincial ferry system,Passenger + vehicle,Commercial units; restricted goods; drop/live trailers,Year-round + seasonal long-distance,Yes,Yes,Seeded / strong freight-utilization data source,SRC_0122,https://www.marineatlantic.ca/sailing-information/sailing-routes
FERRY_SYS_0005,P&O Ferries,COMP_PO_FERRIES,DP World,Europe - Channel / North Sea / Irish Sea,United Kingdom / France / Netherlands / Northern Ireland,Commercial Ro-Pax network,Passenger + vehicle,Road freight / trailers,Short-sea + overnight,Yes,Yes,Seeded / full fleet and route-performance data next,SRC_0125,https://www.poferries.com/en/routes
FERRY_SYS_0006,DFDS Ferries,COMP_DFDS,,Europe - Channel / North Sea / Baltic / Mediterranean,Europe,Commercial passenger and freight network,Passenger + vehicle,Ro-Ro / Ro-Pax / containers,Short-sea + overnight / regional,Yes,Yes,Seeded / fleet and freight integration next,SRC_0126,https://www.dfds.com/en/passenger-ferries/ferry-crossings
FERRY_SYS_0007,MOL Sunflower,COMP_MOL_SUNFLOWER,Mitsui O.S.K. Lines,Asia - Japan,Japan,Domestic overnight ferry network,Passenger + vehicle,Road freight / trucks,Overnight trunk routes,Yes,Yes,Seeded / fleet IMO and freight capacity next,SRC_0127,https://www.ferry-sunflower.co.jp/en/
FERRY_SYS_0008,2GO Travel,COMP_2GO,,Asia - Philippines,Philippines,Inter-island passenger / logistics network,Passenger,Freight / cargo logistics,Multi-port inter-island trunk services,Yes,Yes,Seeded / voyage observations and fleet IDs next,SRC_0129,https://2go.com.ph/travel/book/sailing-schedule/
FERRY_SYS_0009,ASDP Indonesia Ferry,COMP_ASDP,Government of Indonesia,Asia - Indonesia,Indonesia,National archipelagic ferry network,Passenger + vehicle,Vehicle classes through heavy trailers,Large domestic Ro-Ro network,Yes,Yes,Seeded / high-priority vessel and route population,SRC_0132,https://www.asdp.id/kapal
FERRY_SYS_0010,Star Ferry,COMP_STAR_FERRY,,Asia - Hong Kong,"Hong Kong, China",Urban harbour ferry,Passenger,No / limited freight role,High-frequency urban crossing,Yes,Yes,Seeded / ferry IDs and route-specific performance next,SRC_0133,https://www.starferry.com.hk/
FERRY_SYS_0011,Arab Bridge Maritime,COMP_AB_MARITIME,Jordan-Egypt-Iraq JV,Middle East / Red Sea,Jordan / Egypt,"Cross-border passenger, vehicle and freight ferry",Passenger + vehicle,"Cars, trucks, refrigerated/general goods",International Red Sea bridge,Yes,Yes,Seeded / directly links Aqaba-Nuweiba into port ecosystem,SRC_0134,https://www.abmaritime.com.jo/?lang=en
FERRY_SYS_0012,SeaLink Kangaroo Island,COMP_SEALINK_KI,,Oceania - Australia,Australia / South Australia,Island car/passenger ferry,Passenger + vehicle,"Cars, coaches, semi-trailers; some freight/fuel sailings",High-frequency island shuttle,Yes,Yes,Seeded / new-ferry transition important,SRC_0139,https://www.sealink.com.au/kangaroo-island/our-ferries/
FERRY_SYS_0013,Fullers360,COMP_FULLERS360,,Oceania - New Zealand,New Zealand / Auckland,Urban/island passenger ferry,Passenger,Limited,High-frequency commuter + tourism,Yes,Yes,Seeded / travel-alert ingestion candidate,SRC_0142,https://www.fullers.co.nz/timetables-and-fares/
FERRY_SYS_0014,CalMac Ferries,COMP_CALMAC,Scottish Government service framework,Europe - Scotland,United Kingdom / Scotland,Public-service island ferry network,Passenger + vehicle,Vehicles and island supply-chain traffic,Multi-route island network,Yes,Yes,Seeded / monthly route-performance ingestion candidate,SRC_0144,https://corporate.calmac.co.uk/en-gb/about-us/performance-reports/route-performance/
