source_id,publisher,source_name,source_type,coverage,url,ingestion_method,license_name,redistribution_status,attribution_required,notes
SRC_OPEN_EIA,U.S. Energy Information Administration,EIA Open Data,Official API,Energy/refining/prices/inventories,https://www.eia.gov/opendata/,API,Public/open data,verify-series,true,Use series-level terms and attribution.
SRC_OPEN_JODI,Joint Organizations Data Initiative,JODI Oil & Gas,Official dataset,Country energy balances/refinery/trade,https://www.jodidata.org/,Download/API,Open access,verify-series,true,Country/month baselines.
SRC_OPEN_GEM,Global Energy Monitor,Global Energy Monitor,Open research dataset,Global energy infrastructure,https://globalenergymonitor.org/download-data/,Download,Open access,verify-dataset,true,Retain dataset-specific licence notes.
SRC_OPEN_EI,Energy Institute,Statistical Review of World Energy,Industry dataset,Long-run energy statistics,https://www.energyinst.org/statistical-review/resources-and-data-downloads,Download,Mixed/third-party series,restricted-by-series,true,Store licence metadata at series level.
SRC_OPEN_IMF,International Monetary Fund,IMF Data / PCPS,Official API,Commodity prices and macro,https://data.imf.org/,API,Public data,verify-series,true,Commodity and macro indicators.
SRC_OPEN_WB,World Bank,World Bank Open Data,Official API,Macro/logistics/port indicators,https://data.worldbank.org/,API,CC-BY / dataset-specific,verify-dataset,true,Includes LPI and other indicators.
SRC_OPEN_UNCTAD,UN Trade and Development,UNCTADstat,Official dataset,Seaborne trade/ports/connectivity,https://unctadstat.unctad.org/datacentre/,Download/API,UN data terms,verify-dataset,true,Port calls/throughput/connectivity.
SRC_OPEN_WTO,World Trade Organization,WTO Tariff & Trade Data,Official dataset,Tariffs/trade,https://data.wto.org/,Download/API,WTO data terms,verify-dataset,true,Official trade/tariff layer.
SRC_OPEN_COMTRADE,United Nations,UN Comtrade,Official API,Bilateral merchandise trade,https://comtradeplus.un.org/,API,UN data terms,verify-tier,true,Check API tier and redistribution terms.
SRC_OPEN_FAO,Food and Agriculture Organization,FAOSTAT,Official API,Agriculture/food/fertilizer/trade,https://www.fao.org/faostat/en/,API,FAO data terms,verify-dataset,true,Agricultural production and trade.
SRC_OPEN_SEC,U.S. Securities and Exchange Commission,SEC EDGAR,Official API,Company filings/XBRL,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,API,Public filings,allowed-with-conditions,true,Use SEC fair-access headers/rate limits.
SRC_OPEN_OSM,OpenStreetMap contributors,OpenStreetMap,Open geodata,Infrastructure geography,https://www.openstreetmap.org/,Download/API,ODbL,share-alike,true,Respect ODbL attribution/derived-database obligations.
SRC_OPEN_OURAIRPORTS,OurAirports,OurAirports Open Data,Open dataset,Airports/runways/frequencies,https://ourairports.com/data/,Download,Public domain/open,verify-current,false,Canonical aviation infrastructure seed.
SRC_SIGNAL_GROUP,The Signal Group,Weekly Market Monitor,Public market commentary,Freight/fleet/commodity/congestion,https://www.thesignalgroup.com/weekly-market-monitor,Web extraction,Copyright/public pages,derived-facts-only,true,Store structured facts and links; do not reproduce article copy.
