Evidence ID,Vessel ID,Vessel Name,Evidence Type,Checked As Of,Source ID,Source URL,Claim Supported,Confidence,Freshness,Notes
EVID_00001,VESSEL_00274,Baie Comeau,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00002,VESSEL_00275,Baie St. Paul,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00003,VESSEL_00276,CSL Assiniboine,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00004,VESSEL_00277,CSL Laurentien,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00005,VESSEL_00278,CSL Niagara,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00006,VESSEL_00279,CSL Tadoussac,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00007,VESSEL_00280,Frontenac,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00008,VESSEL_00281,Nukumi,Fleet / identity evidence,2026-09-07,SRC_0169,https://maritimeoptima.com/public/vessels/pages/imo%3A9914711/mmsi%3A316048137/NUKUMI.html,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00009,VESSEL_00282,Rt. Hon. Paul J. Martin,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00010,VESSEL_00283,Thunder Bay,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00011,VESSEL_00284,Whitefish Bay,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00012,VESSEL_00285,CSL St-Laurent,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00013,VESSEL_00286,CSL Welland,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00014,VESSEL_00287,Ferbec,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00015,VESSEL_00288,Oakglen,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00016,VESSEL_00289,Spruceglen,Fleet / identity evidence,2026-09-07,SRC_0153,https://cslships.com/global-fleet/,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
EVID_00017,VESSEL_00290,Tamarack,Fleet / identity evidence,2026-09-07,SRC_0170,https://maritimeoptima.com/public/vessels/pages/imo%3A1037153/mmsi%3A316041965/TAMARACK.html,"Vessel identity, company/fleet association and principal particulars",High,Current,Current CSL regional fleet association verified in 2026; IMO from regulator/current public vessel identity evidence.
