Runtime File,Runtime Layer,Workbook Sheet / Model Layer,Status,Primary Key / Join,Vessel ID Remap Applied,Source-ID Branch,Notes
aircraft.csv,Canonical / structured runtime table,Aircraft,Matched in v1.9,,N/A,App SRC_0001–SRC_0178 preserved,Uploaded v4.4 reconciled with newer carrier/tanker branch.
assets.csv,Canonical / structured runtime table,Assets,Matched in v1.9,,N/A,App SRC_0001–SRC_0178 preserved,Uploaded v4.4 reconciled with newer carrier/tanker branch.
blacksea_article_index_2026.csv,Raw operational/source feed,External runtime feed → Event Observations / specialist page,Runtime only / ingestion source,,N/A,App SRC_0001–SRC_0178 preserved,Uploaded v4.4 reconciled with newer carrier/tanker branch.
blacksea_conflict_vessels_2026.csv,Raw operational/source feed,External runtime feed → Event Observations / specialist page,Runtime only / ingestion source,,N/A,App SRC_0001–SRC_0178 preserved,Uploaded v4.4 reconciled with newer carrier/tanker branch.
blacksea_port_attacks_2026.csv,Raw operational/source feed,External runtime feed → Event Observations / specialist page,Runtime only / ingestion source,,N/A,App SRC_0001–SRC_0178 preserved,Uploaded v4.4 reconciled with newer carrier/tanker branch.
blacksea_vessel_profiles.csv,Raw operational/source feed,External runtime feed → Event Observations / specialist page,Runtime only / ingestion source,,N/A,App SRC_0001–SRC_0178 preserved,Uploaded v4.4 reconciled with newer carrier/tanker branch.
blacksea_voyages_2026.csv,Raw operational/source feed,External runtime feed → Event Observations / specialist page,Runtime only / ingestion source,,N/A,App SRC_0001–SRC_0178 preserved,Uploaded v4.4 reconciled with newer carrier/tanker branch.
centcom_maritime_actions_2026.csv,Raw operational/source feed,External runtime feed → Event Observations / specialist page,Runtime only / ingestion source,,N/A,App SRC_0001–SRC_0178 preserved,Uploaded v4.4 reconciled with newer carrier/tanker branch.
companies.csv,Canonical / structured runtime table,Companies,Matched in v1.9,,N/A,App SRC_0001–SRC_0178 preserved,Uploaded v4.4 reconciled with newer carrier/tanker branch.
company_system_footprints.csv,Canonical / structured runtime table,Company System Footprints,Matched in v1.9,,N/A,App SRC_0001–SRC_0178 preserved,Uploaded v4.4 reconciled with newer carrier/tanker branch.
