External Event ID,Date,Event Family,Event Type,Subtype,Mode,Region / Theatre,Country / Countries,Location,Title,Status,Severity,Time Horizon,Operational Impact,Trade / Commercial Impact,Actor / Driver,Primary Source ID,Primary Source URL,Secondary Source URL,Last Verified
EXT_0001,2026-09-06,Natural Hazard,Volcanic eruption / ash,,Multimodal,,Indonesia,Jakarta / Lampung / West Java / Sunda Strait,Anak Krakatau eruption,Active / developing,High,,Airport closures; flight cancellations; air-cargo interruption; maritime caution,Airport closures; flight cancellations; air-cargo interruption; maritime caution,,SRC_0245,https://www.reuters.com/business/environment/indonesias-jakarta-airport-suspends-flights-due-ash-mount-anak-krakatau-2026-09-06/,https://www.powerncorridors.com/regional-logistics-alert-06-sept-2026-indonesia-sunda-strait/,2026-09-07
EXT_0002,2026-09-02,Labour / Industrial Action,Port strike,,Maritime / Port / Inland,,Germany / Netherlands,Northern European ports,German and Dutch port industrial action,Active / developing,High,,Vessel delay; terminal handling interruption; cargo backlog and congestion displacement risk,Vessel delay; terminal handling interruption; cargo backlog and congestion displacement risk,,SRC_0247,https://www.powerncorridors.com/regional-trade-alert-04-sept-2026-northern-europe/,,2026-09-07
EXT_0003,2026-08-08,Weather,Typhoon,,Multimodal,,China / Japan / Taiwan,Okinawa / Zhejiang / Shanghai / Taiwan Strait,Typhoon Dolphin,Closed / precautionary disruption,High,,Port closure; vessel clearance; airport closure; flight cancellation; ferry and rail suspension,Port closure; vessel clearance; airport closure; flight cancellation; ferry and rail suspension,,SRC_0248,https://www.reuters.com/business/environment/typhoon-dolphin-hits-japans-okinawa-china-shuts-ports-ahead-landfall-2026-08-08/,,2026-09-07
EXT_0004,2026-06-24,Natural Hazard,Earthquake,,Aviation / Airport,,Venezuela,Simón Bolívar International Airport / La Guaira,Venezuela earthquakes,Recovery / partial reopening,High,,Extended airport closure; reduced cargo/passenger capacity; temporary facilities required,Extended airport closure; reduced cargo/passenger capacity; temporary facilities required,,SRC_0249,https://apnews.com/article/74144da8c39b41ba7f3559ff3bd264d7,,2026-09-07
EXT_0005,2026-09-02,Civil Unrest / Insecurity,Gang violence / aviation restriction,,Aviation,,Haiti,Port-au-Prince / Toussaint Louverture International Airport,FAA extends Port-au-Prince flight restriction,Active,High,,Commercial aviation access remains constrained; Port-au-Prince continues to be isolated from normal U.S.-linked air service,Commercial aviation access remains constrained; Port-au-Prince continues to be isolated from normal U.S.-linked air service,,SRC_0250,https://apnews.com/article/70e3aa409fb24c7916568b4d904bfa4a,,2026-09-07
EXT_0006,2026-04-13,Protest / Labour,Worker protest,,Road / Industrial / Urban logistics,,Haiti,Port-au-Prince,Haitian workers protest fuel-price shock,Occurred,High,,Potential production and commuting disruption; indicator of labour and cost-of-living pressure,Potential production and commuting disruption; indicator of labour and cost-of-living pressure,,SRC_0254,https://apnews.com/article/70b2c1166fc63788b36f9341d396e617,,2026-09-07
EXT_0007,2026-06-16,Civil Unrest / Insecurity,Gang clashes affecting port operations,,Port / Fuel / Road,,Haiti,Port-au-Prince port / Varreux fuel terminal,Gang clashes disrupt Port-au-Prince and Varreux operations,Severely disrupted,Moderate / High,,"Port and fuel-terminal operations severely constrained; implications for imports, fuel and inland distribution","Port and fuel-terminal operations severely constrained; implications for imports, fuel and inland distribution",,SRC_0251,https://lenouvelliste.com/en/article/268530/escalating-gang-violence-affects-activities-at-the-apn-and-varreux-terminal,https://www.mag.wcoomd.org/magazine/wco-news-110-issue-2-2026/revisiting-haiti/,2026-09-07
EXT_0008,2026-08-26,Natural Hazard,Glacial collapse / mudslide,,Land / Border Trade,,China / Nepal,Gyirong border crossing,Glacial collapse destroys China-Nepal trade port,Closed / destroyed,High,,Cross-border trade route physically destroyed; customs and road access lost,Cross-border trade route physically destroyed; customs and road access lost,,SRC_0253,https://www.reuters.com/world/china/flood-destroyed-china-nepal-border-no-sign-once-busy-port-reuters-witnesses-2026-09-06/,,2026-09-07
EXT_0010,2026-08-09,Weather,Drought / extreme low water,River navigation restriction,Inland Waterway / Barge / Industrial Logistics,Europe,Germany,Rhine / Kaub,Rhine low-water shipping constraint,Observed / partially improving,High,Weeks,Draft restrictions; reduced cargo lift; more voyages required; cargo shifted toward road and rail,Higher inland freight costs; industrial logistics bottlenecks; CMA CGM later imposed an inland emergency fee,Drought / prolonged heat and limited rainfall,SRC_0225,https://www.reuters.com/business/environment/german-shippers-warn-rhine-could-be-split-two-by-low-water-2026-08-09/,https://www.reuters.com/business/energy/frances-cma-cgm-charge-inland-emergency-fee-due-lower-river-levels-2026-08-21/,2026-09-07
EXT_0011,2026-07-16,Weather,Drought / extreme low water,River navigation restriction,Inland Waterway / Cruise / Passenger,Europe,Hungary,Danube / Budapest / Gonyu / Komarom / Mohacs,Danube near-record low-water disruption,Occurred / low-water constrained,Moderate / High,Days / weeks,Vessels stranded or held in ports; sightseeing services suspended north of Budapest,Passenger-shipping and tourism disruption; reduced operational flexibility on the Danube corridor,Drought / low river flow,SRC_0227,https://www.reuters.com/world/near-record-low-water-levels-disrupt-tourism-danube-2026-07-16/,,2026-09-07
EXT_0012,2026-07-11,Weather,Typhoon,High wind / heavy rain / flooding,Multimodal,East Asia / Western Pacific,China / Taiwan / Japan / Philippines,Zhejiang / Taizhou / Taiwan / Sakishima Islands,Typhoon Bavi regional transport disruption,Occurred,High,Immediate / days,Large-scale flight cancellations; reduced rail service; evacuations and weather restrictions across coastal transport systems,Air-cargo and passenger disruption; potential manufacturing and port-hinterland delays in eastern China and Taiwan,Typhoon Bavi,SRC_0228,https://www.reuters.com/business/environment/thousands-evacuated-taiwan-shuts-down-typhoon-bavi-2026-07-11/,,2026-09-07
EXT_0013,2025-03-06,Weather,Tropical cyclone,Flood / high wind / coastal surge,Aviation / Road / Urban Logistics,Oceania,Australia,Brisbane / southeast Queensland / northern New South Wales,Cyclone Alfred disrupts Brisbane transport system,Occurred / recovery,High,Days,Airport operations suspended; Qantas flights curtailed; public transport shut; power outages and flood risk,Air-cargo and passenger capacity loss; urban distribution delays and supply-chain disruption around Brisbane,Cyclone Alfred,SRC_0229,https://www.reuters.com/business/environment/cyclone-alfred-stalls-off-australias-east-residents-sandbag-homes-transport-2025-03-06/,,2026-09-07
EXT_0014,2025-07-22,Weather,Typhoon / tropical storm,Heavy rain / flooding / high wind,Multimodal,Southeast Asia / South China Sea,Vietnam / China / Hong Kong / Philippines,Northern Vietnam / Haiphong / Hong Kong / northern Philippines,"Wipha disrupts regional port, airport and rail services",Occurred,High,Days,Port and transport services suspended in Vietnam; flight cancellations; flooding and government closures in the Philippines,Regional cargo delay and distribution disruption across South China Sea supply chains,Typhoon / Tropical Storm Wipha,SRC_0230,https://www.reuters.com/business/environment/tropical-storm-wipha-makes-landfall-vietnam-heavy-rains-persist-philippines-2025-07-22/,,2026-09-07
EXT_0015,2025-09-24,Weather,Super typhoon,Hurricane-force wind / storm surge / flooding,Multimodal,East Asia / Pearl River Delta,China / Hong Kong / Taiwan,Hong Kong / Guangdong / Shenzhen / Pearl River Delta / Taiwan,Super Typhoon Ragasa disrupts Pearl River Delta,Occurred,High,Days,"Flight disruption, transport shutdowns, storm-surge warnings and widespread closures","Short-term disruption across one of the world's densest manufacturing, logistics and port regions",Super Typhoon Ragasa,SRC_0231,https://www.reuters.com/business/environment/super-typhoon-lashes-hong-kong-with-hurricane-force-winds-heavy-rain-2025-09-23/,,2026-09-07
EXT_0016,2025-10-09,Weather,Severe storm / high wind,Residual port congestion after storm,Maritime / Port,Europe,Netherlands,Port of Rotterdam,Storm Amy contributes to Rotterdam vessel backlog,Occurred / residual backlog,Moderate / High,Days,Ship queue roughly doubled from normal levels before strike effects became dominant,Container delays and reduced ability to absorb further disruption at Europe's largest port,Storm Amy,SRC_0232,https://www.reuters.com/business/world-at-work/lashers-strike-causes-growing-ship-backlog-rotterdam-port-2025-10-09/,,2026-09-07
EXT_0017,2026-02-18,Labour / Industrial Action,Maritime workers strike,48-hour port / maritime stoppage,Maritime / Port / Agricultural Exports,South America,Argentina,Rosario / Parana-Paraguay export corridor,Argentine maritime strike halts grain-export activity,Occurred,High,48 hours / backlog recovery,Agro-export activity brought close to a standstill and vessel dispatch constrained,"Disruption to a major global grain, soybean-oil and soybean-meal export system",FESIMAF maritime workers federation,SRC_0233,https://www.reuters.com/business/world-at-work/argentine-maritime-workers-begin-48-hour-strike-against-labor-reform-2026-02-18/,,2026-09-07
EXT_0018,2026-03-05,Labour / Industrial Action,Seafarers strike,24-hour ferry stoppage,Ferry / Maritime,Europe / Eastern Mediterranean,Greece,Piraeus / Greek domestic ferry network,Greek seafarers strike halts ferry services,Occurred,High,24 hours,Ferry sailings halted for the duration of the strike,"Passenger, vehicle and island-supply movements delayed; labour action tied directly to maritime security risk",PNO and Greek seafarer unions,SRC_0234,https://www.reuters.com/world/europe/greek-seafarers-strike-over-crews-stranded-gulf-by-iran-war-2026-03-05/,,2026-09-07
EXT_0019,2026-06-12,Labour / Industrial Action,Transport workers stoppage,Concrete-delivery suspension / blockade,Road / Industrial Construction,East Asia,South Korea,Seoul metropolitan area / Pyeongtaek / Yongin,Concrete transport strike disrupts semiconductor construction,Occurred / prolonged dispute,Moderate / High,Days / potentially longer,Concrete deliveries blocked and pouring halted at strategic chip-factory construction sites,Potential schedule slippage for semiconductor capacity expansion if stoppage persisted,National Ready-Mixed Concrete Transport Workers' Union,SRC_0235,https://www.reuters.com/business/world-at-work/south-korea-concrete-delivery-halt-threatens-samsung-sk-hynix-chip-plant-work-2026-06-12/,,2026-09-07
EXT_0020,2025-10-09,Labour / Industrial Action,Port strike,Lashers / cargo securing,Maritime / Container Port,Europe,Netherlands,Port of Rotterdam,Rotterdam lashers strike blocks container handling,Occurred / temporarily suspended,High,Days,Container loading/unloading effectively halted; vessel queue expanded,Backlogs at Europe's largest port with limited diversion capacity because Antwerp was also disrupted,FNV / Rotterdam lashers,SRC_0232,https://www.reuters.com/business/world-at-work/lashers-strike-causes-growing-ship-backlog-rotterdam-port-2025-10-09/,https://www.reuters.com/business/world-at-work/rotterdam-port-lashers-suspend-strike-monday-2025-10-12/,2026-09-07
