date,asset_id,event_type,headline,summary,source,url
2026-08-31,APM-BD-LALDIA,Construction,APM Terminals breaks ground in Laldia,US$550m PPP moves into construction; >800k TEU capacity planned.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260831-APMTerminals-breaks-ground-in-Laldia
2026-08-19,APM-ROTTERDAM-MAASVLAKTE-II,Ownership / expansion,Hapag-Lloyd agrees to acquire 25% of Maasvlakte II,"Expansion targets 2,000m deep-sea berth and 5.4m TEU annual capacity.",APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260819-APMTerminals-and-Hapag-Lloyd-partner-at-Maasvlakte-II
2026-07-30,APM-CORP,Technology,Kalmar and APM Terminals announce strategic terminal-technology partnership,Global equipment and automation partnership supports next-generation terminal operations.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases
2026-06-12,APM-SUAPE-TERMINAL,Opening / commissioning,APM Terminals delivers Suape terminal,New fully electric Northeast Brazil gateway reaches final readiness stage with 400k TEU initial capacity.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260612-APMTerminals-delivers-Suape-Brazil
2026-05-20,APM-CORP,Electrification,Kempower and APM Terminals sign global charging framework,Three-year framework covers fast-charging infrastructure across APM's network in 35 countries.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260520-Kempower-APMTerminals-sign-agreement-for-charging-infrastructure
2026-04-25,APM-VN-DANANG,Development,APM Terminals and Hateco partner on Da Nang deep-water terminal,Project targets >5.7m TEU and up to eight berths.,APM Terminals,https://akamai.apmterminals.com/en/news/news-releases/2026/260425-APM-Terminals-and-Hateco-partner-in-Da-Nang
2026-04-22,APM-VALENCIA,Concession / investment,Valencia partnership extended with electric upgrade,Concession extended to 2049 with quay and electrification investment.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260422-APM-Terminals-invests-in-upgrade-and-extends-partnership
2026-03-20,APM-LÁZARO-CÁRDENAS-TERMINAL,Expansion,Lázaro Cárdenas Phase II opens; Phase III begins,Capacity reaches up to 2m TEU; >US$350m next-stage investment launched.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260320-APMTerminals-lazaro-cardenas-announces-investment-PhaseII
2026-02-24,APM-PA-BALBOA,Temporary operation,APM Terminals begins temporary Balboa operations,Up to 18-month stabilization mandate includes TOS migration and asset diagnostics.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260224-APM-Terminals-begins-temporary-operations-Port-of-Balboa
2026-02-18,APM-SA-JEDDAH-SCT,Ownership / investment,APM Terminals and DP World announce Jeddah partnership,APM to acquire 37.5% minority stake; DP World retains 62.5% and operation.,APM Terminals,https://www2.apmterminals.com/en/news/news-releases/2026/260218-APM-Terminals-DPWorld-strategic-partnership-Jeddah-Islamic-Port
