Work ID,Company ID,Asset / Location,Country,Work Type,Project / Description,Announced Date,Status,Reported Value,Currency,Capacity / Scope,Strategic Relevance,Source ID
WORK_0001,COMP_CMA_CGM,,Global,Terminal development,2025 terminal portfolio investment programme,2025-12-31,Completed / ongoing,2500000000,USD,Expansion to 66 terminals across 40 countries,Terminal capacity and end-to-end control,SRC_0031
WORK_0002,COMP_CMA_TERMINALS,"Terminal 4, Jeddah Islamic Port",Saudi Arabia,Terminal development,Jeddah Terminal 4 initial development,2026-01-01,Development,434000000,USD,Up to 2.6m TEU target capacity,Saudi Red Sea gateway investment,SRC_0004
WORK_0003,COMP_CEVA,FedEx Supply Chain,United States,Acquisition,FedEx Supply Chain acquisition,2026-07-01,Pending close 2026,1400000000,USD,Would nearly triple CEVA North American contract logistics,Major North American logistics consolidation,SRC_0028
WORK_0004,COMP_APMT,APM Terminals Lázaro Cárdenas,Mexico,Terminal development,Lázaro Cárdenas Phase II,2026-03-20,Commissioned,140000000,USD,Capacity to 2m TEU,Pacific gateway automation/electrification,SRC_0044
WORK_0005,COMP_APMT,APM Terminals Lázaro Cárdenas,Mexico,Terminal development,Lázaro Cárdenas Phase III,2026-03-20,Construction started,350000000,USD,Further capacity expansion,Regional Mexico/Pacific trade growth,SRC_0044
WORK_0006,COMP_APMT,APM Terminals Suape,Brazil,Terminal development,Suape fully electric terminal,2026-01-01,Development / target Q3 2026,300000000,EUR,Port capacity +55% cited,Electrified terminal and Northeast Brazil gateway,SRC_0018
WORK_0007,COMP_ADPORTS,CLI,Brazil,Acquisition,CLI acquisition,2026-06-30,Announced Q2 2026,3100000000,AED,Strategic entry into South America,Corridor expansion into Brazil,SRC_0010
WORK_0008,COMP_ADPORTS,Khalifa Port,United Arab Emirates,Berth / quay,EGA dedicated berth infrastructure,2026-06-30,Agreement,84000000,AED,Enhance dedicated berth infrastructure,Industrial cargo integration,SRC_0010
WORK_0009,COMP_STENA_LINE_PORTS,Holyhead Terminals 3 and 5,United Kingdom,Terminal resilience / berth works,Holyhead ferry-terminal fender and mooring resilience upgrades,2026-09-04,Planned / ongoing,,,Remove protruding brackets; fender/anode replacement; two mooring dolphins renewed,Ferry resilience following casualty and repeated berth incidents,SRC_0340
WORK_0010,COMP_PORT_OAKLAND,Oakland Inner and Outer Harbor Turning Basins,United States,Navigation infrastructure,Oakland Harbor Turning Basins Widening Project,2026-08-27,Pre-construction engineering / design,642000000,USD,Widen turning basins for larger containerships; 50-ft channel already available,Removes maneuvering constraint at transpacific gateway,SRC_0347
WORK_0011,,Port of Antwerp-Bruges,Belgium,Modal shift / logistics projects,"Ten projects to shift freight from roads to rail, barge, night logistics and collaborative models",2026-09-08,Supported / implementation pipeline,1000000,EUR,Ten logistics projects across alternative modes,Hinterland resilience and congestion reduction,SRC_0342
WORK_0012,COMP_ROSNEFT,Bukhta Sever Terminal,Russia,New terminal / energy export infrastructure,Bukhta Sever Arctic oil export gateway,2026-09-07,Operating / ramp-up,,,"30m tonnes/year first phase; 790 km pipeline; 4 berths; 14 x 30,000t tanks",Creates new large-scale Arctic crude export corridor,SRC_0343
WORK_0013,COMP_CHCL,"Mauritius Container Terminal, Port Louis",Mauritius,Terminal equipment renewal,CHCL Port Louis equipment renewal program,2026-09-07,Ordered / delivery 2027-2028,57700000,USD,2 STS + 5 hybrid RTGs; second phase equipment/digitalisation planned,Raises vessel-handling capability and productivity,SRC_0344
