Infrastructure & Logistics Capital Universe,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Scope includes direct port infrastructure investors, infrastructure fund managers, logistics real-estate owners/managers, sovereign and pension capital, and investment platforms whose assets influence ports, free zones, dry ports, inland hubs, warehousing or trade corridors.",,,,,,,,,,,,,,
Total Investors,Canonical,Research Universe,Deals Seeded,Holdings Seeded,Economic Zones,Dry / Inland Hubs,Verified As Of,,,,,,,
28,14,14,16,14,4,5,2026-09-07,,,,,,,
Investor ID,Company ID,Investor / Platform,Investor Type,Parent / Manager,HQ Country,Core Strategies,Port / Terminal Exposure,Logistics Real Estate Exposure,Economic Zone / Inland Exposure,Current Scale / Notes,Canonical Status,Research Priority,Source ID,Verified As Of
INVESTOR_0001,COMP_BROOKFIELD_INFRA,Brookfield Infrastructure Partners,Listed infrastructure investor/operator,Brookfield Asset Management,Bermuda / Canada,Transport; utilities; midstream; data,PD Ports / UK port operation,Global intermodal/logistics exposure,Rail / logistics infrastructure,25% retained UK port interest after 2025 sell-down,Canonical,High,SRC_0255,2026-09-07
INVESTOR_0002,COMP_KKR,KKR,Alternative asset manager,,United States,Infrastructure; real estate; private equity; credit,Monitor direct port bids / infrastructure transactions,Mirastar European logistics platform,Transport-linked real estate,July 2026 UK logistics portfolio acquisition,Canonical,High,SRC_0263,2026-09-07
INVESTOR_0003,COMP_STONEPEAK,Stonepeak,Infrastructure / real-assets investor,,United States,Transport & logistics; real estate; digital; energy,United Ports; GeelongPort,Rail-served logistics real estate,Transport-linked real assets,Approx. $93bn AUM in Aug 2026 source,Canonical,High,SRC_0285,2026-09-07
INVESTOR_0004,COMP_BLACKROCK,BlackRock,Global asset manager,,United States,Infrastructure; private markets; public markets,Via GIP and port transaction consortiums,Real estate / private-markets exposure,Infrastructure capital,Parent of GIP since Oct 2024,Canonical,High,SRC_0258,2026-09-07
INVESTOR_0005,COMP_GIP,Global Infrastructure Partners,Infrastructure investment platform,BlackRock,United States,Transport; energy; digital; water/waste,Peel Ports; Port of Melbourne; port deal pipeline,Infrastructure rather than warehouse-led,Transport / logistics infrastructure,Part of BlackRock; global transport investment platform,Canonical,High,SRC_0259,2026-09-07
INVESTOR_0006,COMP_MACQUARIE_AM,Macquarie Asset Management,Infrastructure / real-asset manager,Macquarie Group,Australia,Infrastructure; real estate; transport,ITS; other North American port terminal assets,Logistics infrastructure / real estate,Intermodal / transport infrastructure,Significant port-terminal manager in Americas,Canonical,High,SRC_0261,2026-09-07
INVESTOR_0007,COMP_IFM,IFM Investors,Infrastructure investment manager,,Australia,Infrastructure equity; debt,9 ports in 5 countries,Real assets,Transport infrastructure,US$95.9bn infrastructure equity AUM at 30 Jun 2026,Canonical,High,SRC_0262,2026-09-07
INVESTOR_0008,COMP_BLACKSTONE,Blackstone,Alternative asset manager,,United States,Real estate; private equity; credit; infrastructure,Port-specific exposure to research,Proxity; Link Logistics; large global logistics exposure,Gateway-city / corridor real estate,Logistics about 40% of global real-estate exposure in 2026,Canonical,High,SRC_0265,2026-09-07
