Date,Side / Actor,Vessel,IMO,Vessel Type / Class,Flag,Location / Port,Attack Method,Result,Casualties / Notes,Confidence,Source URL
2026-01-09,Russia attacking Ukrainian maritime corridor,WAEL K,9001148,Bulker,St Kitts & Nevis,Port of Chornomorsk / approach,Shahed-136/131 UAV,Damaged; remained seaworthy,Second officer wounded,High,https://www.blackseanews.net/en/read/247386
2026-01-09,Russia attacking Ukrainian maritime corridor,LADONNA,9107033,Dry cargo,Comoros,Port of Odesa,UAV strike,Stern damaged,1 crew member killed,High,https://www.blackseanews.net/en/read/247386
2026-01-12,Russia attacking Ukrainian maritime corridor,ATA VOYAGER,9408360,Tanker,Panama,Port of Chornomorsk / awaiting entry,UAV strike,Superstructure hit,1 crew member seriously wounded,High,https://www.blackseanews.net/en/read/247386
2026-01-12,Russia attacking Ukrainian maritime corridor,BLUE BEAD,9171113,Bulker,San Marino,Port of Chornomorsk / departing,UAV strike,Hit; remained underway,,High,https://www.blackseanews.net/en/read/247386
2026-01-15,Russia attacking Ukrainian maritime corridor,Unidentified civilian vessel,,Civilian vessel,Malta,Port of Chornomorsk,Iskander-M BM hit pier near vessel,Nearby strike / fire,1 crew member injured; 3 containers damaged; oil spill,Medium-High,https://www.blackseanews.net/en/read/247386
2026-03-04,Russia attacking Ukrainian maritime corridor,BULL,9582489,Bulker,Liberia (some media: Panama),Port of Chornomorsk,Likely Italmás or Molniya-type UAV,Damaged,Crew members injured,Medium-High,https://www.blackseanews.net/en/read/247386
2026-03-20,Russia attacking Ukrainian maritime corridor,AT-27 (likely),9136539,Bulker,Palau,Likely Port of Chornomorsk,UAV strike,Damaged while berthed,"Identity assessed, not officially confirmed",Medium,https://www.blackseanews.net/en/read/247386
2026-03-20,Russia attacking Ukrainian maritime corridor,PRINCESS FAYZAH (likely),9260859,Bulker,Barbados,Likely Port of Chornomorsk,UAV strike,Damaged while berthed,"Identity assessed, not officially confirmed",Medium,https://www.blackseanews.net/en/read/247386
2026-02-12,Ukraine attacking Russian naval assets,BK-16,,Landing ship / Project 02510,,"Novoozerne area, occupied Crimea",Unspecified,Destroyed,,High,https://www.blackseanews.net/en/read/242584
2026-02-21,Ukraine attacking Russian naval assets,Two Project 22460 Okhotnik patrol ships,,Border guard patrol ships,,"Inkerman area, occupied Crimea",UAV attack,Hit,2 vessels,High,https://www.blackseanews.net/en/read/242584
2026-03-02,Ukraine attacking Russian naval assets,ADMIRAL ESSEN,,Frigate Project 11356R Burevestnik,,Novorossiysk Naval Base,Ukrainian drones,Damaged,,Medium-High,https://www.blackseanews.net/en/read/242584
2026-03-02,Ukraine attacking Russian naval assets,ADMIRAL MAKAROV,,Frigate Project 11356R Burevestnik,,Novorossiysk Naval Base,Ukrainian drones,Damaged,,Medium-High,https://www.blackseanews.net/en/read/242584
2026-03-02,Ukraine attacking Russian naval assets,VALENTIN PIKUL,,Minesweeper Project 266M Aquamarine-M,,Novorossiysk Naval Base,SBU drones,Significantly damaged,,Medium-High,https://www.blackseanews.net/en/read/242584
2026-03-02,Ukraine attacking Russian naval assets,YEYSK,,Small anti-submarine ship Project 1124 Albatros,,Novorossiysk Naval Base,SBU drones,Likely damaged,,Medium,https://www.blackseanews.net/en/read/242584
2026-03-02,Ukraine attacking Russian naval assets,KASIMOV,,Small anti-submarine ship Project 1124 Albatros,,Novorossiysk Naval Base,SBU drones,Likely damaged,,Medium,https://www.blackseanews.net/en/read/242584
2026-03-06,Ukraine attacking Russian naval assets,BK-16,,Landing ship / Project 02510,,"Novoozerne, occupied Crimea",UAV,Hit,,Medium-High,https://www.blackseanews.net/en/read/242584
2026-04-06,Ukraine attacking Russian naval assets,ADMIRAL MAKAROV,,Frigate Project 11356R Burevestnik,,Port of Novorossiysk,Unmanned Systems Forces strike,Hit,Kalibr carrier / Shtil-1 air defence vessel,High,https://www.blackseanews.net/en/read/242584
