Staging ID,Company ID,Vessel Name,Canonical Vessel ID,IMO,National / Official Number,Vessel Type,Capacity,Year Built,Operating Region,Status,Primary Cargo,Infrastructure / Corridor Exposure,Priority,Data Status,Source ID,Notes
GL_VS_0001,COMP_INTERLAKE,Paul R. Tregurtha,VESSEL_00315,7729057,U.S. Official Number to populate,Self-unloading bulk carrier,"68,000 gross tons capacity",1981,Great Lakes,Operating,Iron ore / bulk,Soo Locks; lower Great Lakes steel corridor,High,Promoted to canonical vessel,SRC_0156,Longest vessel on Great Lakes per Interlake.
GL_VS_0002,COMP_INTERLAKE,Mark W. Barker,VESSEL_00314,9962445,U.S. Official Number to populate,Self-unloading bulk carrier,"26,000 gross tons capacity",2022,Great Lakes,Operating,Bulk,Multiple Great Lakes ports,High,Promoted to canonical vessel,SRC_0156,Newest Interlake vessel in public fleet list.
GL_VS_0003,COMP_INTERLAKE,James R. Barker,VESSEL_00316,7390260,U.S. Official Number to populate,Self-unloading bulk carrier,"63,300 gross tons capacity",1976,Great Lakes,Operating,Bulk,Soo Locks / Great Lakes,High,Promoted to canonical vessel,SRC_0156,
GL_VS_0004,COMP_CSL_CANADA,Baie Comeau,VESSEL_00274,9639892,,Self-unloading bulk carrier,"34,400 DWT",,Great Lakes/St. Lawrence,Operating,Dry bulk,Seawaymax system,High,Promoted to canonical vessel,SRC_0153,
GL_VS_0005,COMP_CSL_CANADA,Baie St. Paul,VESSEL_00275,9601027,,Self-unloading bulk carrier,"35,250 DWT",,Great Lakes/St. Lawrence,Operating,Dry bulk,Seawaymax system,High,Promoted to canonical vessel,SRC_0153,
GL_VS_0006,COMP_CSL_CANADA,CSL Assiniboine,VESSEL_00276,7413218,,Self-unloading bulk carrier,"36,050 DWT",,Great Lakes/St. Lawrence,Operating,Dry bulk,Seawaymax system,High,Promoted to canonical vessel,SRC_0153,
GL_VS_0007,COMP_CSL_CANADA,CSL Laurentien,VESSEL_00277,7423108,,Self-unloading bulk carrier,"37,200 DWT",,Great Lakes/St. Lawrence,Operating,Dry bulk,Seawaymax system,High,Promoted to canonical vessel,SRC_0153,
GL_VS_0008,COMP_CSL_CANADA,CSL Niagara,VESSEL_00278,7128423,,Self-unloading bulk carrier,"37,200 DWT",,Great Lakes/St. Lawrence,Operating,Dry bulk,Seawaymax system,High,Promoted to canonical vessel,SRC_0153,
GL_VS_0009,COMP_CSL_CANADA,CSL St-Laurent,VESSEL_00285,9665281,,Gearless bulk carrier,"34,425 DWT",,Great Lakes/St. Lawrence,Operating,Dry bulk,Seawaymax system,High,Promoted to canonical vessel,SRC_0153,
GL_VS_0010,COMP_CSL_CANADA,CSL Tadoussac,VESSEL_00279,6918716,,Self-unloading bulk carrier,"29,630 DWT",,Great Lakes/St. Lawrence,Operating,Dry bulk,Seawaymax system,High,Promoted to canonical vessel,SRC_0153,
GL_VS_0011,COMP_CSL_CANADA,Frontenac,VESSEL_00280,6804848,,Self-unloading bulk carrier,"26,325 DWT",1968,Great Lakes / St. Lawrence,Operating,Dry bulk / cement,Seaway / Great Lakes corridor,High,Promoted to canonical vessel,SRC_0153,Current 2026 CSL regional fleet.
GL_VS_0012,COMP_CSL_CANADA,Nukumi,VESSEL_00281,9914711,,Self-unloading bulk carrier,"32,085.7 DWT",2021,Great Lakes / St. Lawrence,Operating,Dry bulk / cement,Seaway / Great Lakes corridor,High,Promoted to canonical vessel,SRC_0153,Current 2026 CSL regional fleet.
GL_VS_0013,COMP_CSL_CANADA,Rt. Hon. Paul J. Martin,VESSEL_00282,7324405,,Self-unloading bulk carrier,"37,200 DWT",1973,Great Lakes / St. Lawrence,Operating,Dry bulk / cement,Seaway / Great Lakes corridor,High,Promoted to canonical vessel,SRC_0153,Current 2026 CSL regional fleet.
GL_VS_0014,COMP_CSL_CANADA,Thunder Bay,VESSEL_00283,9601039,,Self-unloading bulk carrier,"35,250 DWT",2013,Great Lakes / St. Lawrence,Operating,Dry bulk / cement,Seaway / Great Lakes corridor,High,Promoted to canonical vessel,SRC_0153,Current 2026 CSL regional fleet.
GL_VS_0015,COMP_CSL_CANADA,Whitefish Bay,VESSEL_00284,9639880,,Self-unloading bulk carrier,"34,400 DWT",2013,Great Lakes / St. Lawrence,Operating,Dry bulk / cement,Seaway / Great Lakes corridor,High,Promoted to canonical vessel,SRC_0153,Current 2026 CSL regional fleet.
GL_VS_0016,COMP_CSL_CANADA,CSL Welland,VESSEL_00286,9665279,,Gearless bulk carrier,"35,425 DWT",2014,Great Lakes / St. Lawrence,Operating,Dry bulk / cement,Seaway / Great Lakes corridor,High,Promoted to canonical vessel,SRC_0153,Current 2026 CSL regional fleet.
GL_VS_0017,COMP_CSL_CANADA,Ferbec,VESSEL_00287,9259848,,Gearless bulk carrier,"51,209 DWT",2002,Great Lakes / St. Lawrence,Operating,Dry bulk / cement,Seaway / Great Lakes corridor,High,Promoted to canonical vessel,SRC_0153,Current 2026 CSL regional fleet.
GL_VS_0018,COMP_CSL_CANADA,Oakglen,VESSEL_00288,7901148,,Gearless bulk carrier,"34,540 DWT",,Great Lakes / St. Lawrence,Operating,Dry bulk / cement,Seaway / Great Lakes corridor,High,Promoted to canonical vessel,SRC_0153,Current 2026 CSL regional fleet.
GL_VS_0019,COMP_CSL_CANADA,Spruceglen,VESSEL_00289,8119261,,Gearless bulk carrier,"34,150 DWT",,Great Lakes / St. Lawrence,Operating,Dry bulk / cement,Seaway / Great Lakes corridor,High,Promoted to canonical vessel,SRC_0153,Current 2026 CSL regional fleet.
GL_VS_0020,COMP_CSL_CANADA,Tamarack,VESSEL_00290,1037153,,Cement carrier,"12,500 DWT",2025,Great Lakes / St. Lawrence,Operating,Dry bulk / cement,Seaway / Great Lakes corridor,High,Promoted to canonical vessel,SRC_0153,Current 2026 CSL regional fleet.
GL_VS_0021,COMP_INTERLAKE,Mesabi Miner,VESSEL_00317,7390272,,Self-unloading bulk carrier,"63,300 gross tons",1977,Great Lakes / St. Lawrence,Operating,Dry bulk,Great Lakes / Soo / industrial corridor,High,Promoted to canonical vessel,SRC_0156,Current official Interlake fleet.
GL_VS_0022,COMP_INTERLAKE,Lee A. Tregurtha,VESSEL_00318,5385625,,Self-unloading bulk carrier,"29,360 gross tons",1942,Great Lakes / St. Lawrence,Operating,Dry bulk,Great Lakes / Soo / industrial corridor,High,Promoted to canonical vessel,SRC_0156,Current official Interlake fleet.
GL_VS_0023,COMP_INTERLAKE,Honorable James L. Oberstar,VESSEL_00319,5322518,,Self-unloading bulk carrier,"31,000 gross tons",1959,Great Lakes / St. Lawrence,Operating,Dry bulk,Great Lakes / Soo / industrial corridor,High,Promoted to canonical vessel,SRC_0156,Current official Interlake fleet.
GL_VS_0024,COMP_INTERLAKE,Kaye E. Barker,VESSEL_00320,5097450,,Self-unloading bulk carrier,"25,900 gross tons",1952,Great Lakes / St. Lawrence,Operating,Dry bulk,Great Lakes / Soo / industrial corridor,High,Promoted to canonical vessel,SRC_0156,Current official Interlake fleet.
GL_VS_0025,COMP_INTERLAKE,Herbert C. Jackson,VESSEL_00321,5148417,,Self-unloading bulk carrier,"24,800 gross tons",1959,Great Lakes / St. Lawrence,Operating,Dry bulk,Great Lakes / Soo / industrial corridor,High,Promoted to canonical vessel,SRC_0156,Current official Interlake fleet.
GL_VS_0026,COMP_INTERLAKE,Dorothy Ann,VESSEL_00322,8955732,,Tug,,,Great Lakes / St. Lawrence,Operating,Dry bulk,Great Lakes / Soo / industrial corridor,High,Promoted to canonical vessel,SRC_0156,Current official Interlake fleet.
