Holding ID,Investor Company ID,Investor,Target Entity / Asset ID,Target / Asset,Asset Class,Country / Region,Interest %,Interest Type,Operating Control,Effective From,Effective To,Status,Source ID,Source URL,Notes
HOLD_0001,COMP_BROOKFIELD_INFRA,Brookfield Infrastructure Partners,COMP_PDPORTS,PD Ports,Port company,United Kingdom,25,Equity / investment in associate,No / consortium structure,2025-10-01,,Current,SRC_0255,https://www.sec.gov/Archives/edgar/data/1406234/000140623426000006/bip-20260630_d2.htm,Brookfield sold 34% and retained 25%; remaining ownership requires resolution.
HOLD_0002,COMP_STONEPEAK,Stonepeak,COMP_UNITED_PORTS,United Ports LLC,Port terminal portfolio,Global,25,Equity,No,2026-07-28,,Current,SRC_0256,https://stonepeak.com/news/cma-cgm-and-stonepeak-complete-the-formation-of-united-ports-llc,Stonepeak may invest up to another $3.6bn with CMA CGM in future port opportunities.
HOLD_0003,COMP_CMA_CGM,CMA CGM Group,COMP_UNITED_PORTS,United Ports LLC,Port terminal portfolio,Global,75,Equity,Yes / full operational control,2026-07-28,,Current,SRC_0256,https://stonepeak.com/news/cma-cgm-and-stonepeak-complete-the-formation-of-united-ports-llc,Financial ownership and operating control deliberately separated.
HOLD_0004,COMP_STONEPEAK,Stonepeak,COMP_GEELONGPORT,GeelongPort,Landlord port,Australia,70,Equity,Majority investor,2023-04-26,,Current,SRC_0257,https://stonepeak.com/investments,
HOLD_0005,COMP_CARESUPER,CareSuper,COMP_GEELONGPORT,GeelongPort,Landlord port,Australia,30,Equity,Minority investor,2023-04-26,,Current,SRC_0257,https://stonepeak.com/investments,CareSuper formerly Spirit Super in original acquisition announcement.
HOLD_0006,COMP_BLACKROCK,BlackRock,COMP_GIP,Global Infrastructure Partners,Infrastructure investment platform,Global,100,Corporate ownership,Parent,2024-10-01,,Current,SRC_0258,https://ir.blackrock.com/news-and-events/press-releases/press-releases-details/2024/BlackRock-Completes-Acquisition-of-Global-Infrastructure-Partners/default.aspx,
HOLD_0007,COMP_GIP,Global Infrastructure Partners,,Peel Ports,Port group,United Kingdom,,Portfolio investment,,,,Current / stake to resolve,SRC_0259,https://www.blackrock.com/corporate/newsroom/media/press-releases/blackrock-agrees-to-acquire-global-infrastructure-partners,Official BlackRock/GIP profile identifies Peel Ports among GIP investments; exact current stake requires asset-level verification.
HOLD_0008,COMP_GIP,Global Infrastructure Partners,,Port of Melbourne,Landlord port / concession,Australia,,Portfolio investment,,,,Current / stake to resolve,SRC_0259,https://www.blackrock.com/corporate/newsroom/media/press-releases/blackrock-agrees-to-acquire-global-infrastructure-partners,Exact consortium share to resolve.
HOLD_0009,COMP_MACQUARIE_AM,Macquarie Asset Management,COMP_ITS,International Transportation Service,Container terminal company,United States,,Portfolio investment,Asset management / owner exposure,2020,,Current,SRC_0260,https://www.macquarie.com/au/en/about/company/macquarie-asset-management/financial-advisor/insights/2025/transforming-terminals-international-transportation-service.html,Exact ownership vehicle and stake to resolve.
HOLD_0010,COMP_BLACKSTONE,Blackstone-managed real-estate funds,COMP_PROXITY,Proxity logistics portfolio,Logistics real estate,Europe,,Fund ownership / platform,Platform controlled via managed funds,2025-04-29,,Current,SRC_0264,https://www.blackstone.com/news/press/blackstone-launches-proxity-a-new-pan-european-logistics-platform/,Platform initially ~500 properties and >7m sqm.
HOLD_0011,COMP_CIC,China Investment Corporation,COMP_LOGICOR,Logicor,Logistics real estate,Europe,,Majority ownership,Majority owner,,,Current,SRC_0270,https://www.logicor.eu/en/eu/investors,Exact percentage to resolve.
HOLD_0012,COMP_LA_CAISSE,La Caisse (CDPQ),COMP_PLIVE,PLIVE,Logistics real estate JV,Europe,70,Equity,Shared governance,2026-04-09,,Current,SRC_0268,https://ir.prologis.com/news-events/press-releases/detail/1035/la-caisse-and-prologis-launch-pan-european-logistics-joint-venture,
HOLD_0013,COMP_PROLOGIS,Prologis,COMP_PLIVE,PLIVE,Logistics real estate JV,Europe,30,Equity / operating partner,Operating partner / shared governance,2026-04-09,,Current,SRC_0268,https://ir.prologis.com/news-events/press-releases/detail/1035/la-caisse-and-prologis-launch-pan-european-logistics-joint-venture,
HOLD_0014,COMP_ADPORTS,AD Ports Group,COMP_TBILISI_DRY_PORT,Tbilisi Dry Port LLC,Dry port / inland intermodal,Georgia,60,Equity,Majority owner,2024-08-15,,Current,SRC_0277,https://www.adportsgroup.com/en/news-and-media/2024/08/15/ad-ports-group-completes-tbilisi-dry-port-acquisition-to-become-majority-owner,Remaining 40% split between Wilhelmsen Port Services Georgia and Inveco LLC is not publicly specified in cited source.
