carrier_id,carrier,scac,fleet_universe_count,vessel_name,imo,flag,call_sign,mmsi,teu,dwt,gross_tonnage,net_tonnage,loa_m,beam_m,year_built,shipyard,registered_owner,beneficial_owner,commercial_operator,technical_manager,fuel_propulsion,relationship_basis,deployment_origin,deployment_destination,deployment_departure,deployment_arrival,source_url,source_type,verified_as_of,notes
COMP_CMA_CGM,CMA CGM,CMDU,844,A KEIGA,9385453,HK,VRTQ3,477630400,,,,,,,,,,,,,,Listed in CMA CGM commercial carrier universe,,,,,https://www.linescape.com/vessels/3320/,Linescape vessel record,2026-09-07,
COMP_CMA_CGM,CMA CGM,CMDU,844,ADONIS,9972892,MH,V7A6457,538011017,,,,,,,,,,,,,,Listed in CMA CGM commercial carrier universe,,,,,https://www.linescape.com/vessels/121903/,Linescape vessel record,2026-09-07,
COMP_CMA_CGM,CMA CGM,CMDU,844,AGAETE,9044932,AG,V2QV9,305783000,,,,,,,,,,,,,,Listed in CMA CGM commercial carrier universe,,,,,https://www.linescape.com/vessels/19384/,Linescape vessel record,2026-09-07,
COMP_CMA_CGM,CMA CGM,CMDU,844,AILA,9354337,FI,OJMM,230985000,,,,,,,,,,,,,,Listed in CMA CGM commercial carrier universe,,,,,https://www.linescape.com/vessels/8198/,Linescape vessel record,2026-09-07,
COMP_CMA_CGM,CMA CGM,CMDU,844,ALESSIA,9225653,LR,D5YJ5,636092976,,,,,,,,,,,,,,CMA CGM schedule/service-universe association; shared vessel,,,,,https://www.linescape.com/vessels/888/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_CMA_CGM,CMA CGM,CMDU,844,ALEXANDER B,9328649,AG,V2FE7,305654000,,,,,,,,,,,,,,Listed in CMA CGM commercial carrier universe,,,,,https://www.linescape.com/vessels/87161/,Linescape vessel record,2026-09-07,
COMP_CMA_CGM,CMA CGM,CMDU,844,ALEXANDRA MAERSK,9948786,DK,OZOK2,219634000,,,,,,,,,,,,,,CMA CGM schedule association; Maersk-branded shared deployment,,,,,https://www.linescape.com/vessels/115162/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_CMA_CGM,CMA CGM,CMDU,844,ALS CERES,9938303,SG,9V8621,563186500,,,,,,,,,,,,,,Listed in CMA CGM commercial carrier universe,,,,,https://www.linescape.com/vessels/111146/,Linescape vessel record,2026-09-07,
COMP_CMA_CGM,CMA CGM,CMDU,844,ALS CLIVIA,9969405,SG,9V8629,563205500,,,,,,,,,,,,,,Listed in CMA CGM commercial carrier universe,,,,,https://www.linescape.com/vessels/114548/,Linescape vessel record,2026-09-07,
COMP_CMA_CGM,CMA CGM,CMDU,844,ALS FIDES,9938315,SG,9V8623,563191200,,,,,,,,,,,,,,Listed in CMA CGM commercial carrier universe,,,,,https://www.linescape.com/vessels/111544/,Linescape vessel record,2026-09-07,
COMP_CMA_CGM,CMA CGM,CMDU,844,ALS LUNA,9969390,SG,9V8628,563198300,,,,,,,,,,,,,,Listed in CMA CGM commercial carrier/service universe,,,,,https://www.linescape.com/carriers/3/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_CMA_CGM,CMA CGM,CMDU,844,ANAXAGORAS,9972983,MH,V7A6462,538011020,,,,,,,,,,,,,,Listed in CMA CGM commercial carrier/service universe,,,,,https://www.linescape.com/vessels/114309/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
