asset_id,legacy_asset_ids,asset_name,parent_port,country,city,region,asset_type,portfolio_entity,operator,ownership_or_structure,status,concession_term,container_capacity_teu_pa,area_sqm,quay_length_m,max_depth_m,berths,rail_connected,reefer_plugs,source_url,source_date,confidence,notes
APM-LÁZARO-CÁRDENAS-TERMINAL,ASSET017,Lázaro Cárdenas terminal,Port of Lázaro Cárdenas,Mexico,Lázaro Cárdenas,North America Pacific / Gulf,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals concession/operation,Operating / Phase III expanding,,2000000,650000,750,16.5,,Yes,342,https://www2.apmterminals.com/en/lazaro-cardenas/about/our-terminal,2026-09-08,High,Phase II inaugurated 20 Mar 2026; >$350m Phase III construction launched; 8 STS cranes and 5 rail tracks.
APM-SUAPE-TERMINAL,ASSET018,Suape terminal,Port of Suape,Brazil,Suape,South America Atlantic,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals greenfield terminal,Delivered / commissioning into operation,,400000,495000,430,15.1,1,Future rail / intermodal,300,https://www2.apmterminals.com/en/suape/about/our-terminal,2026-09-08,High,"Latin America's first fully electric container terminal; 2 STS, 7 eRTG, 14 electric terminal tractors, 2 e-reach stackers, 1 electric empty handler."
APM-BAHRAIN,ASSET020,Bahrain,Khalifa Bin Salman Port,Bahrain,Bahrain,Arabian Gulf,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals Bahrain operator,Operating,,,900000,1800,15,,,,https://www2.apmterminals.com/en/bahrain/about/our-terminal,2026-09-08,High,Multi-purpose Khalifa Bin Salman Port terminal.
APM-POINTE-NOIRE,ASSET021,Pointe-Noire,Port of Pointe-Noire,Congo,Pointe-Noire,Gulf of Guinea,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals minority interest / partner terminal,Operating,,,,,16.5,,,,https://akamai.apmterminals.com/en/pointe-noire/about/our-terminal,2026-09-08,High,Congo Terminal; official page cites 16.5m access channel and APM Terminals minority participation.
APM-ABIDJAN-CÔTE-D-IVOIRE-TERMINAL-CIT,ASSET022,Abidjan Côte d’Ivoire Terminal (CIT),Port of Abidjan,Côte d'Ivoire,Abidjan Côte d’Ivoire Terminal (CIT),Gulf of Guinea,Container terminal,APM Terminals,APM Terminals / partner operator,CIT partnership / APM Terminals investment,Operating,,1500000,375000,1100,16,,Yes,1100,https://www2.apmterminals.com/en/cit/about/our-terminal,2026-09-08,High,6 electric post-Panamax gantry cranes; 13 electric RTGs; 2 x 300m rail tracks.
APM-SAN-PEDRO,ASSET023,San Pedro,Port of San Pedro,Côte d'Ivoire,San Pedro,Gulf of Guinea,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-SUEZ-CANAL-CONTAINER-TERMINAL-SCCT,ASSET024,Suez Canal Container Terminal (SCCT),Port Said East Port,Egypt,Suez Canal Container Terminal (SCCT),Eastern Mediterranean / Suez,Container terminal,APM Terminals,APM Terminals / partner operator,SCCT JV / APM Terminals investment,Operating,,5000000,,2400,17,,,4000,https://www2.apmterminals.com/en/scct/about/our-terminal,2026-09-08,High,Strategic East Port Said terminal; 18 STS cranes and 60 RTGs in current public terminal specifications.
APM-TEMA,ASSET025,Tema,Port of Tema,Ghana,Tema,Gulf of Guinea,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals network asset / partnership; detailed equity not verified in this pass,Operating / network,,,,,,,,,https://www2.apmterminals.com/en/,2026-09-08,Medium,Current APM Terminals network seed retained from v1.12; infrastructure enrichment pending.
APM-AQABA,ASSET026,Aqaba,Port of Aqaba,Jordan,Aqaba,Red Sea,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals 50% + 1 under BOT with Aqaba Development Company,Operating,,,500000,1000,16.5,3,,800,https://akamai.apmterminals.com/en/aqaba/about/our-terminal,2026-09-08,High,"7 STS, 22 RTG, 9 reach stackers, 12 empty handlers, 46 terminal trucks."
APM-MONROVIA,ASSET027,Monrovia,Freeport of Monrovia,Liberia,Monrovia,West Africa Atlantic,Container terminal,APM Terminals,APM Terminals / partner operator,APM Terminals concession; ownership increased to 100% per APM growth update,Operating,,200000,,,12.5,,,,https://www2.apmterminals.com/en/monrovia/about/our-terminal,2026-09-08,High,Multi-purpose terminal; port dredged to 12.5m in recent expansion.
