Equipment Record ID,Terminal ID,Equipment Type,Quantity,Specification,Status,Source Operator,Source URL,Source Asset ID
EQ00001,TERM0001,RTG,10,2023 investment doubled fleet to 10; verify subsequent changes.,,DP World,https://www.dpworld.com/en/news/dp-world-invests-in-new-rubber-tyred-gantry-cranes-at-sydney,DPW-AUS-SYD
EQ00002,TERM0012,STS quay crane,2,Two new STS cranes added in 2025; not total fleet.,,DP World,https://www.dpworld.com/en/news/dp-world-and-asian-terminals-inc-invest-us100-million-to-boost-capacity-at-manila-south-harbour,DPW-PHL-MSH
EQ00003,TERM0014,Fixed harbour crane,2,,,DP World,https://www.dpworld.com/en/ports-terminals/philippines/cavite-port,DPW-PHL-CAV
EQ00004,TERM0014,Reach stacker,2,,,DP World,https://www.dpworld.com/en/ports-terminals/philippines/cavite-port,DPW-PHL-CAV
EQ00005,TERM0014,Internal transfer vehicle,4,,,DP World,https://www.dpworld.com/en/ports-terminals/philippines/cavite-port,DPW-PHL-CAV
EQ00006,TERM0018,STS quay crane,15,,,DP World,https://www.dpworld.com/en/ports-terminals/belgium/antwerp,DPW-BEL-ANT
EQ00007,TERM0018,Automated stacking crane (ASC),38,,Automated,DP World,https://www.dpworld.com/en/ports-terminals/belgium/antwerp,DPW-BEL-ANT
EQ00008,TERM0018,Straddle carrier,65,,,DP World,https://www.dpworld.com/en/ports-terminals/belgium/antwerp,DPW-BEL-ANT
EQ00009,TERM0018,Rail-mounted gantry (RMG),2,,,DP World,https://www.dpworld.com/en/ports-terminals/belgium/antwerp,DPW-BEL-ANT
EQ00010,TERM0018,Mobile harbour crane,1,,,DP World,https://www.dpworld.com/en/ports-terminals/belgium/antwerp,DPW-BEL-ANT
EQ00011,TERM0021,Rail-mounted gantry (RMG),2,,,DP World,https://www.dpworld.com/en/ports-terminals/romania/constanta,DPW-ROU-CTA
EQ00012,TERM0021,Quay / mobile cranes,8,Mix of QGC and mobile/electric mobile harbour cranes.,,DP World,https://www.dpworld.com/en/ports-terminals/romania/constanta,DPW-ROU-CTA
EQ00013,TERM0026,STS quay crane,16,,,DP World,https://www.dpworld.com/en/ports-terminals/united-kingdom/london-gateway/infrastructure-facts,DPW-GBR-LGW
EQ00014,TERM0026,Automated stacking crane (ASC),78,,Automated,DP World,https://www.dpworld.com/en/ports-terminals/united-kingdom/london-gateway/infrastructure-facts,DPW-GBR-LGW
EQ00015,TERM0026,Straddle carrier,60,,,DP World,https://www.dpworld.com/en/ports-terminals/united-kingdom/london-gateway/infrastructure-facts,DPW-GBR-LGW
EQ00016,TERM0026,Rail-mounted gantry (RMG),5,,,DP World,https://www.dpworld.com/en/ports-terminals/united-kingdom/london-gateway/infrastructure-facts,DPW-GBR-LGW
EQ00017,TERM0026,Reach stacker,4,,,DP World,https://www.dpworld.com/en/ports-terminals/united-kingdom/london-gateway/infrastructure-facts,DPW-GBR-LGW
EQ00018,TERM0027,STS quay crane,14,,,DP World,https://www.dpworld.com/en/ports-terminals/united-kingdom/southampton/infrastructure-facts,DPW-GBR-SOU
EQ00019,TERM0030,Super-post-Panamax STS,12,,,DP World,https://www.dpworld.com/en/ports-terminals/algeria/djendjen,DPW-DZA-DJD
EQ00020,TERM0030,Feeder STS,2,,,DP World,https://www.dpworld.com/en/ports-terminals/algeria/djendjen,DPW-DZA-DJD
EQ00021,TERM0030,RTG,35,,,DP World,https://www.dpworld.com/en/ports-terminals/algeria/djendjen,DPW-DZA-DJD
EQ00022,TERM0030,Mobile harbour crane,1,,,DP World,https://www.dpworld.com/en/ports-terminals/algeria/djendjen,DPW-DZA-DJD
EQ00023,TERM0030,Internal transfer vehicle,6,,,DP World,https://www.dpworld.com/en/ports-terminals/algeria/djendjen,DPW-DZA-DJD
EQ00024,TERM0030,Reach stacker,4,,,DP World,https://www.dpworld.com/en/ports-terminals/algeria/djendjen,DPW-DZA-DJD
EQ00025,TERM0030,Empty container handler,2,,,DP World,https://www.dpworld.com/en/ports-terminals/algeria/djendjen,DPW-DZA-DJD
EQ00026,TERM0031,Mobile harbour crane,6,2 Gottwald + 2 Gottwald + 2 Liebherr across berth equipment listings.,,DP World,https://www.dpworld.com/en/ports-terminals/egypt/sokhna/infrastructure-facts,DPW-EGY-SOK
EQ00027,TERM0032,Quay crane,8,,,DP World,https://www.dpworld.com/en/ports-terminals/india/nsict/infrastructure,DPW-IND-NSI
EQ00028,TERM0032,RTG,26,,,DP World,https://www.dpworld.com/en/ports-terminals/india/nsict/infrastructure,DPW-IND-NSI
EQ00029,TERM0032,Reach stacker,2,,,DP World,https://www.dpworld.com/en/ports-terminals/india/nsict/infrastructure,DPW-IND-NSI
EQ00030,TERM0032,Empty container handler,2,,,DP World,https://www.dpworld.com/en/ports-terminals/india/nsict/infrastructure,DPW-IND-NSI
EQ00031,TERM0032,Forklift,2,,,DP World,https://www.dpworld.com/en/ports-terminals/india/nsict/infrastructure,DPW-IND-NSI
EQ00032,TERM0033,Quay crane,8,,,DP World,https://www.dpworld.com/en/ports-terminals/india/nsigt/infrastructure,DPW-IND-NSG
EQ00033,TERM0033,RTG,26,,,DP World,https://www.dpworld.com/en/ports-terminals/india/nsigt/infrastructure,DPW-IND-NSG
EQ00034,TERM0033,Reach stacker,2,,,DP World,https://www.dpworld.com/en/ports-terminals/india/nsigt/infrastructure,DPW-IND-NSG
EQ00035,TERM0033,Empty container handler,2,,,DP World,https://www.dpworld.com/en/ports-terminals/india/nsigt/infrastructure,DPW-IND-NSG
EQ00036,TERM0033,Forklift,2,,,DP World,https://www.dpworld.com/en/ports-terminals/india/nsigt/infrastructure,DPW-IND-NSG
EQ00037,TERM0034,Quay crane,8,After new crane addition in 2025.,,DP World,https://www.dpworld.com/en/news/india/dp-world-mundra-boosts-capacity-sustainability,DPW-IND-MUN
EQ00038,TERM0034,RTG,29,Conflicts with another DP World page showing 27 RTGCs.,,DP World,https://www.dpworld.com/en/ports-terminals/india/mict/infrastructure,DPW-IND-MUN
EQ00039,TERM0034,Rail-mounted gantry (RMG),3,,,DP World,https://www.dpworld.com/en/ports-terminals/india/mict/infrastructure,DPW-IND-MUN
EQ00040,TERM0034,Reach stacker,1,,,DP World,https://www.dpworld.com/en/ports-terminals/india/mict/infrastructure,DPW-IND-MUN
EQ00041,TERM0034,Empty container handler,1,,,DP World,https://www.dpworld.com/en/ports-terminals/india/mict/infrastructure,DPW-IND-MUN
EQ00042,TERM0035,Gantry / quay crane,7,,,DP World,https://www.dpworld.com/en/ports-terminals/india/cct/infrastructure,DPW-IND-CCT
EQ00043,TERM0035,RTG,15,,,DP World,https://www.dpworld.com/en/ports-terminals/india/cct,DPW-IND-CCT
EQ00044,TERM0035,Reach stacker,3,,,DP World,https://www.dpworld.com/en/ports-terminals/india/cct,DPW-IND-CCT
EQ00045,TERM0036,Quay crane,7,,,DP World,https://www.dpworld.com/en/ports-terminals/india/ictt/infrastructure,DPW-IND-COK
EQ00046,TERM0036,RTG,21,,,DP World,https://www.dpworld.com/en/ports-terminals/india/ictt/infrastructure,DPW-IND-COK
EQ00047,TERM0038,Mobile harbour crane,3,,,DP World,https://www.dpworld.com/en/ports-terminals/mozambique/maputo,DPW-MOZ-MAP
EQ00048,TERM0038,RTG,6,,,DP World,https://www.dpworld.com/en/ports-terminals/mozambique/maputo,DPW-MOZ-MAP
EQ00049,TERM0039,RTG,45,,,DP World,https://www.dpworld.com/en/ports-terminals/pakistan/qasim,DPW-PAK-QAS
EQ00050,TERM0039,Reach stacker,7,,,DP World,https://www.dpworld.com/en/ports-terminals/pakistan/qasim,DPW-PAK-QAS
EQ00051,TERM0039,Empty container handler,3,,,DP World,https://www.dpworld.com/en/ports-terminals/pakistan/qasim,DPW-PAK-QAS
EQ00052,TERM0039,Internal transfer vehicle,82,,,DP World,https://www.dpworld.com/en/ports-terminals/pakistan/qasim,DPW-PAK-QAS
EQ00053,TERM0040,Quay crane,14,Narrative on same public page references a larger fleet; flagged for refresh.,,DP World,https://www.dpworld.com/en/ports-terminals/saudi-arabia/jeddah,DPW-SAU-JED
