Relationship ID,Source Entity,Relationship,Target Entity,As Of,Confidence,Source ID
REL_00001,COMP_CMA_CGM,OWNS,COMP_CEVA,2026-09-07,High,SRC_0028
REL_00002,COMP_CMA_CGM,OWNS,COMP_CMA_TERMINALS,2026-09-07,High,SRC_0003
REL_00003,COMP_APMT,PART_OF,A.P. Moller - Maersk,2026-09-07,High,SRC_0019
REL_00004,COMP_ADPORTS,MAJORITY_OWNED_BY,ADQ,2026-09-07,High,SRC_0012
REL_00005,COMP_ADPORTS,PARTNERS_WITH,COMP_CMA_CGM,2026-09-07,High,SRC_0015
REL_00006,COMP_CEVA,USES_AIR_CAPACITY_FROM,CMA CGM AIR CARGO,2026-09-07,High,SRC_0025
REL_00007,COMP_FINCANTIERI,BUILDS_FOR,Italian Navy,2026-09-07,High,SRC_0037
REL_00008,COMP_CMA_CGM,OWNS,COMP_CMA_AIR,2026-09-07,High,SRC_0046
REL_00009,COMP_MAERSK,OWNS,COMP_APMT,2026-09-07,High,SRC_0019
REL_00010,COMP_MAERSK,OWNS,COMP_MAERSK_AIR,2026-09-07,High,SRC_0049
REL_00011,COMP_MSC,MAJORITY_OWNS,COMP_TIL,2026-09-07,High,SRC_0052
REL_00012,COMP_COSCO_GROUP,OWNS,COMP_COSCO_LINES,2026-09-07,High,SRC_0053
REL_00013,COMP_COSCO_GROUP,OWNS,COMP_COSCO_PORTS,2026-09-07,High,SRC_0055
REL_00014,COMP_ADPORTS,OWNS,COMP_NOATUM,2026-09-07,High,SRC_0059
REL_00015,COMP_NOATUM,HAS_BUSINESS_UNIT,COMP_NOATUM_MARITIME,2026-09-07,High,SRC_0065
REL_00016,COMP_NOATUM,HAS_BUSINESS_UNIT,COMP_NOATUM_LOGISTICS,2026-09-07,High,SRC_0065
REL_00017,COMP_ADPORTS,OWNS_81_PERCENT,COMP_GFS,2026-09-07,High,SRC_0058
REL_00018,COMP_ADNOC,PARENT_GROUP_OF,COMP_ADNOC_LS,2026-09-07,High,SRC_0067
REL_00019,COMP_ADNOC_LS,OWNS_80_PERCENT,COMP_NAVIG8,2026-09-07,High,SRC_0069
REL_00020,COMP_ADNOC_LS,OWNS_100_PERCENT,COMP_ZMI,2026-09-07,High,SRC_0069
REL_00021,COMP_ADNOC_LS,JV_PARTNER_IN,COMP_AW_SHIPPING,2026-09-07,High,SRC_0071
REL_00022,COMP_WANHUA,JV_PARTNER_IN,COMP_AW_SHIPPING,2026-09-07,High,SRC_0071
REL_00023,COMP_ADNOC_LS,LONG_TERM_SHIPPING_PARTNER_OF,COMP_ADNOC_GAS,2026-09-07,High,SRC_0068
REL_00024,COMP_MILAHA,SHAREHOLDER_36_PERCENT,COMP_NAKILAT,2026-09-07,High,SRC_0082
