Aircraft Relationship ID,Aircraft ID,Registration,Company ID,Relationship Type,Effective From,Effective To,Confidence,Source ID,Notes
AREL_000001,AIRFRAME_00001,N1013A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000002,AIRFRAME_00002,N1049A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000003,AIRFRAME_00003,N1093A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000004,AIRFRAME_00004,N1181A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000005,AIRFRAME_00005,N1229A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000006,AIRFRAME_00006,N1321A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000007,AIRFRAME_00007,N1327A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000008,AIRFRAME_00008,N1361A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000009,AIRFRAME_00009,N1373A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000010,AIRFRAME_00010,N1381A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000011,AIRFRAME_00011,N1409A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000012,AIRFRAME_00012,N1427A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000013,AIRFRAME_00013,N1439A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000014,AIRFRAME_00014,N1487A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000015,AIRFRAME_00015,N1489A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000016,AIRFRAME_00016,N1499A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000017,AIRFRAME_00017,N1511A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000018,AIRFRAME_00018,N1619A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000019,AIRFRAME_00019,N1709A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000020,AIRFRAME_00020,N1997A,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000021,AIRFRAME_00021,N227AZ,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000022,AIRFRAME_00022,N229AZ,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000023,AIRFRAME_00023,N233AZ,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000024,AIRFRAME_00024,N239AZ,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000025,AIRFRAME_00025,N241AZ,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000026,AIRFRAME_00026,N251AZ,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000027,AIRFRAME_00027,N257AZ,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000028,AIRFRAME_00028,N307AZ,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
AREL_000029,AIRFRAME_00029,N311AZ,COMP_AMAZON_AIR,NETWORK_CUSTOMER / BRAND,,,High,SRC_0326,Aircraft assigned to or tracked in network/customer fleet.
