Impact ID,External Event ID,Mode,Impact Type,Asset / Geography,Status,Severity,Time Horizon,Operational Effect,Trade / Commercial Effect
IMPACT_0001,EXT_0001,Air Cargo,Airport closure,Jakarta and regional airports,Closed / suspended,High,Immediate,Flight and cargo capacity removed from affected airports,Air cargo diversion / backlog risk
IMPACT_0002,EXT_0001,Maritime,Ferry / shipping caution,Sunda Strait,Operating with caution,Moderate,Immediate,Waterway remained operational,Potential delay / safety restrictions rather than closure
IMPACT_0003,EXT_0002,Maritime / Port,Labour stoppage,German / Dutch port network,Disrupted,High,24-72h,Vessel and terminal handling constrained,Backlogs can propagate into inland logistics and adjacent ports
IMPACT_0004,EXT_0003,Maritime / Port,Port closure,Zhejiang / Shanghai,Closed / cleared,High,Immediate,Port operations halted or vessels cleared,Container and feeder schedules disrupted
IMPACT_0005,EXT_0003,Aviation,Airport closure,Ningbo and regional aviation,Closed / cancelled,High,Immediate,Air transport suspended,Air cargo delay / diversion
IMPACT_0006,EXT_0004,Aviation,Airport infrastructure damage,Simón Bolívar International Airport,Closed then partial,Severe,Weeks / months,Runways/buildings damaged,Reduced international air-cargo capacity
IMPACT_0007,EXT_0005,Aviation,Regulatory flight restriction,Port-au-Prince,Restricted,High,Months,U.S.-linked commercial aviation constrained,Isolation and air-cargo access friction
IMPACT_0008,EXT_0007,Port / Fuel,Security disruption,Port-au-Prince / Varreux,Near standstill,Severe,Immediate,Port and fuel-terminal activity heavily constrained,"Import, fuel and inland-distribution risk"
IMPACT_0009,EXT_0008,Land / Border,Border-port destruction,Gyirong,Destroyed,Severe,Long duration,Customs and road infrastructure destroyed,China-Nepal trade corridor interruption
IMPACT_0010,EXT_0009,Air Cargo,Cargo aircraft accident / runway disruption,Miami International Airport,Partially disrupted,High,Hours / days,Runway and emergency response constraints,Cargo and passenger delay; aircraft capacity loss
IMPACT_0011,EXT_0010,Inland Waterway / Barge / Industrial Logistics,Draft / navigation restriction,Rhine / Kaub,Observed / partially improving,High,Weeks,Draft restrictions; reduced cargo lift; more voyages required; cargo shifted toward road and rail,Higher inland freight costs; industrial logistics bottlenecks; CMA CGM later imposed an inland emergency fee
