carrier_id,carrier,scac,fleet_universe_count,captured_vessels,capture_pct,definition,source_url,verified_as_of,notes
COMP_CMA_CGM,CMA CGM,CMDU,844,66,7.82,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/3/,2026-09-07,Dynamic carrier/service universe; not a legal-owned-fleet total. v1.7 larger IMO-resolved population pass.
COMP_MSC,MSC,MSCU,980,21,2.14,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/2/,2026-09-07,Dynamic carrier/service universe; not a legal-owned-fleet total. v1.7 larger IMO-resolved population pass.
COMP_MAERSK,Maersk,MAEU,672,23,3.42,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/1/,2026-09-07,Dynamic carrier/service universe; not a legal-owned-fleet total. v1.7 larger IMO-resolved population pass.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,21,4.39,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/5/,2026-09-07,Dynamic carrier/service universe; not a legal-owned-fleet total. v1.7 larger IMO-resolved population pass.
COMP_EVERGREEN,Evergreen,EGLV,289,5,1.73,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/4/,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_ONE,ONE,ONEY,268,6,2.24,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/21/,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_COSCO_LINES,COSCO,COSU,225,7,3.11,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/6/,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_WAN_HAI,Wan Hai,WHLC,170,5,2.94,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/20/,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_HMM,HMM,HDMU,148,5,3.38,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/18/,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_YANG_MING,Yang Ming,YMJA,130,5,3.85,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/16/,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_ZIM,ZIM,ZIMU,118,5,4.24,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/14/,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_PIL,PIL,PCIU,111,5,4.50,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/19/,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_XPRESS,X-Press Feeders,XCLX,84,4,4.76,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/30/,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_UNIFEEDER,Unifeeder,UFEE,49,4,8.16,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/43/,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_ESL,Emirates Shipping Line,EPIR,32,4,12.50,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/39/,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_GFS,Global Feeder Shipping,GFSX,36,5,13.89,Commercial carrier/service universe; daily-changing schedule population,https://www.linescape.com/carriers/66/,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_SEALEAD,SeaLead,,,4,,Current deployment seed; full carrier universe to resolve,https://www.fluentcargo.com/carriers/sealead-shipping,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
COMP_SAFEEN_FEEDERS,SAFEEN Feeders,,,4,,Current deployment seed; full carrier universe to resolve,https://www.fluentcargo.com/carriers/safeen-feeders,2026-09-07,Counts are carrier/service universes and can change daily; captured records are an incremental research build.
