Deal ID,Announced Date,Completed / Effective Date,Investor / Buyer IDs,Co-Investor / Partner IDs,Seller / Counterparty,Target Entity / Asset ID,Target / Asset,Asset Class,Country / Region,Deal Type,Equity %,Reported Value,Currency,Operating Control,Status,Regulatory / Political Status,Source ID,Source URL,Notes
IDEAL_0001,2026-01-28,2026-07-28,COMP_STONEPEAK,COMP_CMA_CGM,,COMP_UNITED_PORTS,United Ports LLC / 9-terminal portfolio,Port terminals,Global,Minority investment / JV formation,25,2400000000,USD,CMA CGM retains full operational control,Completed,Regulatory approvals received,SRC_0256,https://stonepeak.com/news/cma-cgm-and-stonepeak-complete-the-formation-of-united-ports-llc,Potential addition of Nhava Sheva Freeport Terminal remains subject to approvals; Stonepeak may invest up to another $3.6bn.
IDEAL_0002,,2025-10-01,COMP_BROOKFIELD_INFRA,,,COMP_PDPORTS,UK port operation / PD Ports,Port infrastructure,United Kingdom,Partial disposition,34,380000000,USD,Retained 25% interest only,Completed,Completed,SRC_0255,https://www.sec.gov/Archives/edgar/data/1406234/000140623426000006/bip-20260630_d2.htm,Value is net proceeds to Brookfield Infrastructure partnership; consortium-level proceeds higher.
IDEAL_0003,,2026-07-31,COMP_KKR,COMP_MIRASTAR,COMP_PLP,ASSET077,Four UK logistics assets,Logistics real estate,United Kingdom,Portfolio acquisition,,170000000,GBP,KKR/Mirastar ownership / asset management,Completed,Completed,SRC_0263,https://media.kkr.com/news-details?news_id=4f6ff0d9-9b59-487c-abce-108f533fdd9b,"Stafford, Crewe, Ellesmere Port and Wakefield; 1.25m sq ft."
IDEAL_0004,2026-03-19,2026-03-19,COMP_PROLOGIS,COMP_GIC,,,U.S. Build-to-Suit Logistics JV,Logistics real estate,United States,JV formation / development capital,,1600000000,USD,Prologis development / operating expertise,Formed,Active,SRC_0267,https://ir.prologis.com/news-events/press-releases/detail/1034/prologis-and-gic-form-1-6-billion-u-s-build-to-suit-logistics-joint-venture,Initial portfolio ~4.1m sq ft.
IDEAL_0005,2026-04-09,2026-04-09,COMP_LA_CAISSE,COMP_PROLOGIS,,COMP_PLIVE,PLIVE,Logistics real estate,Europe,JV formation,70,1000000000,EUR,Shared governance; Prologis operating partner,Formed,Active,SRC_0268,https://ir.prologis.com/news-events/press-releases/detail/1035/la-caisse-and-prologis-launch-pan-european-logistics-joint-venture,Reported value is seed portfolio; equity percentage shown for La Caisse.
IDEAL_0006,2024-01-12,2024-10-01,COMP_BLACKROCK,,GIP owners / partners,COMP_GIP,Global Infrastructure Partners,Infrastructure investment platform,Global,Corporate acquisition,100,3000000000,USD,BlackRock parent ownership,Completed,Completed,SRC_0258,https://ir.blackrock.com/news-and-events/press-releases/press-releases-details/2024/BlackRock-Completes-Acquisition-of-Global-Infrastructure-Partners/default.aspx,$3bn cash plus BlackRock shares; reported cash value is not total consideration.
IDEAL_0007,2022-11-20,2023-04-26,COMP_STONEPEAK,COMP_CARESUPER,,COMP_GEELONGPORT,GeelongPort,Port infrastructure,Australia,Acquisition,70,,,Stonepeak majority investor,Completed,Completed,SRC_0257,https://stonepeak.com/investments,CareSuper owns remaining 30%.
IDEAL_0008,2024-03-22,2024-08-15,COMP_ADPORTS,COMP_WILHELMSEN_PORT_SERVICES;COMP_INVECO,,COMP_TBILISI_DRY_PORT,Tbilisi Dry Port,Dry port / inland logistics,Georgia,Majority acquisition,60,,,AD Ports majority owner,Completed,Completed,SRC_0277,https://www.adportsgroup.com/en/news-and-media/2024/08/15/ad-ports-group-completes-tbilisi-dry-port-acquisition-to-become-majority-owner,Remaining ownership percentages not publicly specified in cited source.
IDEAL_0009,2025-04-29,2025-04-29,COMP_BLACKSTONE,,,COMP_PROXITY,Proxity,Logistics real estate,Europe,Platform formation,,,,Blackstone-managed funds own underlying assets,Active platform,Active,SRC_0264,https://www.blackstone.com/news/press/blackstone-launches-proxity-a-new-pan-european-logistics-platform/,~500 properties and developments / >7m sqm at launch.
IDEAL_0010,2025-03-04,,COMP_BLACKROCK;COMP_GIP,COMP_TIL,CK Hutchison,43-port sale perimeter,CK Hutchison global port portfolio,Port terminals,23 countries,In-principle acquisition,80,22800000000,USD,,In principle / unresolved,"Strategic, competition and geopolitical review; specific Barcelona approval request withdrawn Aug 2026",SRC_0283;SRC_0284,https://www.ckh.com.hk/en/media/press_each.php?id=3431&print=Y | https://www.reuters.com/business/msc-blackrock-withdraw-approval-request-purchase-stake-barcelona-port-2026-08-10/,Track failed/withdrawn approvals and any revised transaction perimeter separately; do not treat as closed ownership.
IDEAL_0011,,2026-08-11,COMP_STONEPEAK,,,ASSET078,Fort Worth rail-served logistics asset,Logistics real estate / intermodal,United States,Asset acquisition,,,,Stonepeak owner,Completed,Completed,SRC_0285,https://stonepeak.com/news/stonepeak-acquires-rail-served-logistics-asset-in-fort-worth-texas,"860,100 sq ft; BNSF Alliance, cargo airport and I-35 corridor."
IDEAL_0012,2025,,COMP_KEZAD,COMP_ADPORTS,Suez Canal Economic Zone,ASSET088,KEZAD East Port Said Economic Zone,Economic zone / logistics real estate,Egypt,50-year renewable usufruct / development,,120000000,USD,Developer/operator under agreement,Development,Phase 1 development,SRC_0281,https://www.adportsgroup.com/-/media/sites/adports/investors/2025/downloads/adpg-earnings-presentation-q3-2025.pdf?rev=-1,Reported value relates to phase-1 investment over three years.
IDEAL_0013,2026-09-03,,COMP_ICTSI,,COMP_AIIM;COMP_MOKOBELA,COMP_TLG,The Logistics Group (TLG),Integrated logistics / ports / rail,Southern Africa,Corporate acquisition,100,,,ICTSI would control TLG,Agreement signed / pending close,Subject to closing conditions / approvals,SRC_0354,https://maritime-executive.com/article/ictsi-expands-southern-africa-market-grip-with-tlg-acquisition,AIIM 74% and Mokobela Shataki 26% pre-transaction ownership cited.
IDEAL_0014,,,COMP_HANWHA_GROUP,,COMP_AUSTAL,COMP_AUSTAL_USA,Austal USA,Defense shipbuilding,United States,Indicative acquisition / due diligence,100,1050000000,USD,Would transfer U.S. operations if completed,Due diligence,National-security / regulatory sensitivity,SRC_0348,https://maritime-executive.com/article/potential-u-s-bidder-emerges-to-challenge-hanwha-for-austal-usa,"Reported indicative range extends to about $1.2bn; stored low end in value field, range noted here."
IDEAL_0015,2026-09-07,,COMP_WILDCAT_INFRA,,COMP_AUSTAL,COMP_AUSTAL_USA,Austal USA,Defense shipbuilding,United States,Potential competing bid,,,,,Preliminary discussions / no proposal,National-security / regulatory sensitivity,SRC_0348,https://maritime-executive.com/article/potential-u-s-bidder-emerges-to-challenge-hanwha-for-austal-usa,Austal confirmed preliminary discussions; no formal proposal at cited date.
IDEAL_0016,,,COMP_HAPAG_LLOYD,,COMP_ZIM,COMP_ZIM,ZIM Integrated Shipping Services,Container shipping,Israel / Global,Proposed acquisition,,4200000000,USD,,Regulatory review / restructuring,Israeli golden-share / ministry review; other competition reviews,SRC_0350,https://maritime-executive.com/article/hapag-lloyd-gets-extension-to-address-concerns-and-rework-bid-for-zim,30-day extension reported; revised proposal expected by end-Sep 2026.
