Carrier Deployment Seeds — IMO-Level Service Evidence,,,,,,,,,,,,,,,,,,,,,
Deployment Observations,,Unique IMOs,,Carriers,,Canonical Vessel Links,,,,,,,,,,,,Carrier,Seed Vessels,Company ID,Source ID
85,,85,,18,,85,,,,,,,,,,,,CMA CGM,5,COMP_CMA_CGM,SRC_0191
,,,,,,,,,,,,,,,,,,MSC,5,COMP_MSC,SRC_0192
"Interpretation rule: a carrier schedule is evidence that the vessel is deployed/marketed on that carrier's service. It is NOT, by itself, evidence that the carrier is the registered owner, beneficial owner, technical manager, ISM manager or actual ship operator.",,,,,,,,,,,,,,,,,,Maersk,5,COMP_MAERSK,SRC_0193
,,,,,,,,,,,,,,,,,,COSCO,5,COMP_COSCO_LINES,SRC_0194
Seed ID,Company ID,Carrier,Carrier Code,Vessel Name,IMO,Evidence Type,Origin,Destination,Departure,Arrival,Relationship,Ownership Inference,Source ID,Source URL,Verified As Of,Canonical Vessel ID,,Evergreen,5,COMP_EVERGREEN,SRC_0195
DEP_00001,COMP_CMA_CGM,CMA CGM,CMDU,SIGYN W,9754446,Carrier schedule / service deployment,Rotterdam,Runavik,2026-08-26,2026-08-29,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0191,https://www.fluentcargo.com/carriers/scac/CMDU,2026-09-07,VESSEL_00185,,Hapag-Lloyd,5,COMP_HAPAG_LLOYD,SRC_0196
DEP_00002,COMP_CMA_CGM,CMA CGM,CMDU,KOI,9461489,Carrier schedule / service deployment,Busan,Houston,2026-08-27,2026-09-21,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0191,https://www.fluentcargo.com/carriers/scac/CMDU,2026-09-07,VESSEL_00186,,ONE,5,COMP_ONE,SRC_0197
DEP_00003,COMP_CMA_CGM,CMA CGM,CMDU,CMA CGM AMBER,9350381,Carrier schedule / service deployment,Ningbo,Shanghai,2026-08-27,2026-08-29,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0191,https://www.fluentcargo.com/carriers/scac/CMDU,2026-09-07,VESSEL_00187,,Yang Ming,5,COMP_YANG_MING,SRC_0198
DEP_00004,COMP_CMA_CGM,CMA CGM,CMDU,CMA CGM SORBONNE,9839210,Carrier schedule / service deployment,Malta Freeport,Port Klang,2026-08-26,2026-09-11,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0191,https://www.fluentcargo.com/carriers/scac/CMDU,2026-09-07,VESSEL_00188,,HMM,5,COMP_HMM,SRC_0199
DEP_00005,COMP_CMA_CGM,CMA CGM,CMDU,CMA CGM MEKONG,9718105,Carrier schedule / service deployment,Rotterdam,Hamburg,2026-08-26,2026-08-27,SCHEDULED_BY / SERVICE_DEPLOYMENT,Do not infer ownership/management from schedule,SRC_0191,https://www.fluentcargo.com/carriers/scac/CMDU,2026-09-07,VESSEL_00189,,PIL,5,COMP_PIL,SRC_0200
