ID,2026 Event Date,Original Contract / Decision Date,Customer Country,Customer / Service,Vessel / Program,Transaction / Event Type,New / Used,Quantity,Builder / Seller / Partner,Shipyard / Build Location,Build Country,Industrial Group / Parent,Original Value Low,Original Value High,Currency,USD per Local Unit,USD Value Low,USD Value High,2026 Status / Milestone,Expected Delivery / Completion,Industrial / Strategic Relevance,Source URL
1,2026-09-04,2026-08-28,Brazil,Brazilian Navy,HMS Bulwark / Albion-class LPD,Used vessel sale / transfer,Used,1,UK Ministry of Defence / Royal Navy,Devonport / transfer preparation,United Kingdom,UK MoD,26000000,26000000,USD,1,26000000,26000000,UK confirmed sale/transfer to Brazil; vessel undergoing completion of midlife...,TBD,Second-hand major warship transfer increases Brazilian amphibious lift at ver...,https://maritime-executive.com/article/uk-confirms-sale-of-hms-bulwark-to-bra...
2,2026-08-31,2026-08-31,Sweden,Royal Swedish Navy,Luleå-class / FDI frigates,New-build contract,New,4,Naval Group,Lorient / French naval industrial base,France,Naval Group,4300000000,4300000000,EUR,1.1614,4994020000,4994020000,Contract signed for four FDI frigates with weapons and support package,First ship 2030,Major Baltic naval rearmament and a large cross-border European shipbuilding ...,https://www.navalnews.com/naval-news/2026/08/sweden-inks-contract-france-4-fd...
3,2026-07-07,2026-07-07,United Kingdom / Netherlands,Royal Navy + Royal Netherlands Navy,Next-generation amphibious transport ships,Bilateral new-build program,New,8,UK/Dutch industrial partnership; Dutch design,UK shipyards + Dutch industry,United Kingdom / Netherlands,UK MoD / Dutch partners,2400000000,2400000000,GBP,1.35895,3261480000.0000005,3261480000.0000005,£2.4bn agreement signed; four ships for each navy,2030s,Replaces Albion-type capability and embeds drone/autonomous-system operations...,https://www.navalnews.com/naval-news/2026/07/uk-netherlands-new-amphibious-sh...
4,2026-08-24,2026-08-24,Canada,Canadian Coast Guard,Program Icebreakers,New-build contract,New,6,Chantier Davie Canada Inc.,"Lévis, Quebec",Canada,Davie,11300000000,11300000000,CAD,0.722674,8166216200,8166216200,Fixed-price design/build contract awarded for six program icebreakers,Construction from 2027; deliveries through 2030s,One of the world's largest coast-guard shipbuilding awards; anchors long-dura...,https://www.canada.ca/en/public-services-procurement/services/acquisitions/de...
5,2026-05-13,2026-02-10,United States,U.S. Coast Guard,Arctic Security Cutters – Davie tranche,New-build contract finalized,New,5,Davie Defense,Helsinki Shipyard (2); Texas yards (3),Finland / United States,Davie / Inocea,3500000000,3500000000,USD,1,3500000000,3500000000,Five-ship contract finalized,First deliveries late 2020s / early 2030s,Creates transatlantic icebreaker production chain and gives Davie a major U.S...,https://maritime-executive.com/article/u-s-coast-guard-finalizes-five-ship-ic...
6,2026-07-03,2025-12-29,United States,U.S. Coast Guard,Arctic Security Cutters – Bollinger tranche,New-build contract finalized,New,4,Bollinger Shipyards Lockport,"Lockport, Louisiana",United States,Bollinger,2200000000,2200000000,USD,1,2200000000,2200000000,Four ASC contracts finalized,By 2031,Large U.S. Gulf Coast icebreaker program expands federal shipbuilding demand ...,https://maritime-executive.com/article/u-s-finalizes-contract-for-six-arctic-...
7,2026-07-03,2025-12-29,United States,U.S. Coast Guard,Arctic Security Cutters – Rauma tranche,New-build contract finalized,New,2,Rauma Marine Constructions,Rauma,Finland,RMC,1100000000,1100000000,USD,1,1100000000,1100000000,Two Finnish-built ASC contracts finalized,By 2031,Direct U.S.-Finland shipbuilding cooperation under Arctic fleet expansion.,https://maritime-executive.com/article/u-s-finalizes-contract-for-six-arctic-...
8,2026-06-01,2025-12-03,United States,Davie Defense,Gulf Copper shipyards – Port Arthur & Galveston,Shipyard acquisition + modernization,N/A,2,Davie Defense / Gulf Copper,"Port Arthur and Galveston, Texas",United States,Davie / Inocea,1000000000,1000000000,USD,1,1000000000,1000000000,Davie broke ground on $1bn modernization after 2025 acquisition,Multi-year,A foreign-rooted shipbuilder is converting acquired Texas repair/industrial y...,https://maritime-executive.com/article/davie-defense-kicks-off-1-billion-ship...
9,2026-08-11,2026-08-11,United States,Austal USA / Hanwha Defense USA,Austal USA operations and Mobile shipyard,Proposed shipyard acquisition,N/A,1,Hanwha Defense USA,"Mobile, Alabama",United States,Hanwha,1050000000,1200000000,USD,1,1050000000,1200000000,Indicative non-binding acquisition proposal submitted,Pending,Potential consolidation of U.S. naval shipbuilding under a major South Korean...,https://www.navalnews.com/naval-news/2026/08/hanwha-defense-usa-offer-austal-...
10,2026-05-09,2026-05-08,Germany,German naval industrial base,German Naval Yards Kiel,Proposed shipyard acquisition,N/A,1,Rheinmetall; competing interest from TKMS,Kiel,Germany,Rheinmetall / TKMS,,,,,,,Rheinmetall submitted non-binding offer and initiated due diligence,Pending,Shows consolidation pressure as German naval programs expand and industrial c...,https://www.navalnews.com/naval-news/2026/05/rheinmetall-plans-to-acquire-ger...
