Coverage ID,Company ID,Dataset,Known Total,Individual Records Captured,Capture %,Coverage Status,Definition / Caveat,Last Verified,Priority,Source ID
COV_0001,COMP_ADNOC_LS,Shipping fleet,112,93,0.8303571428571429,Partial / strong seed,Official shipping-fleet total is 112; individual records captured from the public fleet sheet do not yet cover every container/dry-bulk/other shipping asset.,2026-09-07,High,SRC_0066
COV_0002,COMP_NAVIG8,Individual vessel register,32,29,0.90625,Partial,ADNOC L&S reported Navig8 integration of a 32-vessel fleet; current individual seed is based on vessels visible in the ADNOC L&S fleet sheet.,2026-09-07,High,SRC_0069
COV_0003,COMP_BYD,Dedicated vehicle carriers,8,8,1,Good seed / role reconciliation ongoing,"All eight current dedicated BYD fleet names are captured; ownership/management is mixed, including two Zodiac-owned vessels chartered to BYD.",2026-09-07,Medium,SRC_0090
COV_0004,COMP_SINOKOR,Operating fleet,66,47,0.7121212121212122,Partial / reconciliation required,English corporate site states 66 operating vessels; public vessel-information page exposes fewer named vessels. Do not equate page list with full operating fleet.,2026-09-07,High,SRC_0099
COV_0005,COMP_BAHRI,Owned fleet,107,,,Fleet summary only,"Current total is known, but the individual-vessel register has not yet been populated from Bahri vessel-level sources.",2026-09-07,High,SRC_0074
COV_0006,COMP_NAKILAT,Existing fleet,,,,Needs reconciliation,Current live fleet definitions and annual-report totals need reconciliation before setting a canonical current-vessel total. The 40-vessel newbuild orderbook is separately captured.,2026-09-07,High,SRC_0079
COV_0007,COMP_MILAHA,Wholly owned gas/petrochem vessels,3,,,Fleet summary only,2025 annual-report structure identifies two LNG vessels and one FSO; names/specifications still to populate.,2026-09-07,Medium,SRC_0082
COV_0008,COMP_QATARENERGY,Existing LNG transport fleet,69,1,0.014492753623188406,Program / charter structure,QatarEnergy and venture partners use 69 LNG vessels; ownership/operator mapping is distributed across JVs and shipowners. Rex Tillerson is seeded as a program vessel.,2026-09-07,High,SRC_0085
COV_0009,COMP_ZIM,Operated shipping fleet,128,,,Fleet summary only,"115 containerships plus 13 car carriers in Q2 2026; vessel names, owners and charter counterparties remain to populate.",2026-09-07,High,SRC_0096
COV_0010,COMP_BP_SHIPPING,International fleet baseline,48,,,Stale baseline,48-vessel figure is an end-2024 filing baseline; current 2026 vessel list and owned/chartered split require refresh.,2026-09-07,High,SRC_0103
COV_0011,COMP_CHEVRON_SHIPPING,Owned / bareboat-chartered fleet,,1,,Partial,Chevron confirms the ownership/charter model but the cited current page does not publish a total fleet count. Asia Excellence is seeded.,2026-09-07,High,SRC_0105
COV_0012,COMP_EXXON,Marine charter / cargo exposure,,3,,Charter-exposure seed,"Do not infer Exxon ownership from cargo bookings. P. Long Beach, Largo Eagle and Nord Ventura are represented through charter/cargo relationships.",2026-09-07,High,SRC_0110
COV_0013,COMP_CMA_CGM,Commercially scheduled carrier fleet,844,1,0.001184834123222749,Early seed / full harvest queued,Linescape daily fleet snapshot; this is commercially scheduled fleet and must not be equated with CMA CGM's owned-vessel count.,2026-09-07,High,SRC_0182
COV_0014,COMP_GFS,Commercial carrier fleet,36,2,0.05555555555555555,Partial / role reconciliation,Linescape commercial carrier snapshot. Only vessels with a defensible current operator relationship are counted here; GFS Ship Management fleet is tracked separately.,2026-09-07,High,SRC_0181
