Company ID,Company,Entity Type,HQ City,HQ Country,Ownership,Business Segments,Senior Leader,Title,Scale / Network Notes,Status,Source ID,As Of
COMP_CMA_CGM,CMA CGM Group,Company,Marseille,France,Private / Saadé family controlled,Shipping; terminals; air cargo; logistics; inland transport; media,Rodolphe Saadé,Chairman & CEO,66 terminals across 40 countries reported for 2025,Active,SRC_0031,2026-09-07
COMP_CEVA,CEVA Logistics,Company,Marseille,France,Subsidiary of CMA CGM Group,Contract logistics; freight forwarding; air; ocean; ground; automotive; eCommerce,Patrick Moebel,CEO,Global 3PL; major North American expansion underway,Active,SRC_0029,2026-09-07
COMP_CMA_TERMINALS,CMA Terminals,Company,Marseille,France,100% owned by CMA CGM Group,Container terminals; port development,,,45 terminals; ~22m TEU handled in 2025,Active,SRC_0003,2026-09-07
COMP_APMT,APM Terminals,Company,The Hague,Netherlands,Part of A.P. Moller - Maersk,Container terminals; port development,Keith Svendsen,CEO,60 strategic locations globally; APM states operations in 35 countries in 2026,Active,SRC_0019,2026-09-08
COMP_DPW,DP World,Company,Dubai,United Arab Emirates,Dubai-government-linked global trade group,Ports; terminals; logistics; freight forwarding; marine services; economic zones,Yuvraj Narayan,Group CEO,93.4m TEU in 2025; nearly 300 forwarding branches; 500+ logistics locations,Active,SRC_0034,2026-09-07
COMP_ADPORTS,AD Ports Group,Company,Abu Dhabi,United Arab Emirates,75.42% owned by ADQ,Ports; economic cities/free zones; maritime/shipping; logistics; digital,Captain Mohamed Juma Al Shamisi,Managing Director & Group CEO,Current management page references 36 terminals; 50+ countries; 140+ offices,Active,SRC_0013,2026-09-07
COMP_GULFTAINER,Gulftainer,Company,Sharjah,United Arab Emirates,Private,Ports; terminals; inland logistics; warehousing; container shipping; maritime services,Farid Belbouab,Group CEO,Strategy targets 10m+ TEU future Khorfakkan capacity and 2.3m TEU inland logistics capacity,Active,SRC_0040,2026-09-07
COMP_CARGOLUX,Cargolux Airlines International,Company,Luxembourg,Luxembourg,Luxair 35.10%; HNCA 35.00%; BCEE 10.90%; SNCI 10.67%; Luxembourg State 8.32%,Air cargo; road feeder services; specialist freight,Richard Forson,President & CEO,30 Boeing 747 freighters; 70+ flight destinations; 85+ offices in 50+ countries,Active,SRC_0022,2026-09-07
COMP_FINCANTIERI,Fincantieri,Company,Trieste,Italy,Publicly listed; Italian state influence through CDP,Naval shipbuilding; cruise shipbuilding; offshore; underwater; defence systems,Pierroberto Folgiero,CEO & Managing Director,~€74bn backlog at 1H 2026; deliveries visible to 2039,Active,SRC_0038,2026-09-07
COMP_ABP,Associated British Ports,Company,London,United Kingdom,Private infrastructure ownership,Ports; terminals; rail freight; property; dredging; marine consultancy,,,21 UK ports; around a quarter of UK seaborne trade in goods,Active,SRC_0009,2026-09-07
COMP_PEEL,Peel Ports Group,Company,Liverpool,United Kingdom,Private,Ports; terminals; logistics; marine services,,,Major UK/Ireland port network,Active,SRC_0043,2026-09-07
COMP_FORTH,Forth Ports,Company,Edinburgh,United Kingdom,Private,Ports; terminals; logistics; towage; heavy lifting,,,"8 UK ports; 30m tonnes cargo; 2,000-acre estate",Active,SRC_0005,2026-09-07
COMP_PDPORTS,PD Ports,Company,Middlesbrough,United Kingdom,Brookfield Infrastructure retained a 25% interest after partial disposition; remaining ownership to resolve,Ports; logistics; warehousing; freight forwarding; rail; stevedoring,,,11 UK sites nationwide; current investor/control structure requires consortium-level resolution,Active,SRC_0255,2026-09-07
COMP_HUTCHISON,Hutchison Ports,Company,Hong Kong,"Hong Kong, China",Part of CK Hutchison Holdings,Ports; terminals; logistics,,,"53 ports in 24 countries as of 2025; UK: Felixstowe, Harwich, London Thamesport",Active,SRC_0008,2026-09-07
COMP_BRISTOL,The Bristol Port Company,Company,Bristol,United Kingdom,Private,Port operations; containers; automotive; liquid bulk; dry bulk; project cargo,,,Avonmouth + Royal Portbury; consented deep-sea container terminal adds 1.5m TEU,Active,SRC_0021,2026-09-07
COMP_CMA_AIR,CMA CGM AIR CARGO,Business unit,Paris,France,CMA CGM Group,Air cargo,Damien Mazaudier,CEO,"Dedicated CMA CGM air-freight division; strategic hubs in France, Belgium and the United States.",Active,SRC_0046,2026-09-07
COMP_MAERSK,A.P. Moller - Maersk,Company,Copenhagen,Denmark,Publicly listed / foundation-influenced,Container shipping; logistics; terminals; air cargo,,,Integrated logistics group; Q1 2026 review reports 21 dual-fuel vessels operating and 33 vessels on order.,Active,SRC_0047,2026-09-07
COMP_MAERSK_AIR,Maersk Air Cargo,Business unit,,Denmark,A.P. Moller - Maersk,Air cargo,,,In-house cargo airline within Maersk's integrated logistics network.,Active,SRC_0049,2026-09-07
COMP_MSC,MSC Mediterranean Shipping Company,Company,Geneva,Switzerland,Independent / family-owned,Container shipping; logistics; air cargo; terminals,Soren Toft,CEO,"MSC reports about 1,000 cargo vessels, 300 routes, 520 ports of call, and 7 aircraft.",Active,SRC_0050,2026-09-07
COMP_TIL,Terminal Investment Limited,Company,Geneva,Switzerland,MSC majority-owned; co-investors,Container terminal investment and operations,,,MSC stated TiL had operations across 29 countries in 2019; terminal investor/operator.,Active,SRC_0052,2026-09-07
COMP_MSC_CRUISES,MSC Cruises,Company,Geneva,Switzerland,MSC Group,Cruise shipping,,,Cruise operating company within MSC Group.,Active,SRC_0064,2026-09-07
COMP_COSCO_GROUP,COSCO SHIPPING,Company,Shanghai,China,State-owned,Shipping; ports; logistics; finance; equipment manufacturing; digital,,,"Group reported 1,660 vessels at end-2025 across container, dry bulk, tanker and specialized fleets.",Active,SRC_0054,2026-09-07
COMP_COSCO_LINES,COSCO SHIPPING Lines,Company,Shanghai,China,COSCO SHIPPING subsidiary,Container shipping; logistics,,,By end-May 2026: 456 container vessels / ~2.4m TEU; with OOCL 596 / ~3.6m TEU.,Active,SRC_0053,2026-09-07
