Asset ID,Company ID,Asset,Asset Type,Location,Country,Role / Function,Primary Mode,Status,Ownership / Operating Interest,Source ID
ASSET001,COMP_CMA_TERMINALS,Santos Brasil / Tecon Santos,Container terminal,Santos,Brazil,Largest container terminal in South America; CMA CGM acquired 100%,Container,Operating,100% control,SRC_0031
ASSET002,COMP_CMA_TERMINALS,CMA Terminals Khalifa Port,Container terminal,Abu Dhabi,United Arab Emirates,Strategic Gulf hub,Container,Operating / expanding,JV with AD Ports Group,SRC_0031
ASSET003,COMP_CMA_TERMINALS,Terminal 4 Jeddah Islamic Port,Container terminal,Jeddah,Saudi Arabia,New Saudi container platform,Container,Development,JV with RSGT,SRC_0004
ASSET004,COMP_CEVA,Chicago Gateway,Air freight / logistics gateway,Chicago,United States,"700,000 sq ft facility near ORD; freight, FTZ and cold storage",Air cargo / logistics,Operating,,SRC_0025
ASSET005,COMP_CEVA,Lakes Road Logistics Hub,Contract logistics hub,Perth,Australia,"37,000 sqm logistics centre",Warehousing / logistics,Operating,,SRC_0026
ASSET006,COMP_CEVA,Dubai South eCommerce warehouse,Contract logistics hub,Dubai,United Arab Emirates,"23,000 sqm multi-user eCommerce facility",Warehousing / eCommerce,Operating,,SRC_0027
ASSET007,COMP_CARGOLUX,Luxembourg Airport hub,Air cargo hub,Luxembourg,Luxembourg,Primary home base and European cargo hub,Air cargo,Operating,,SRC_0024
ASSET008,COMP_CARGOLUX,Boeing 747 freighter fleet,Aircraft fleet,Global,Global,30 Boeing 747-400 and 747-8 purpose-built freighters,Air cargo fleet,Operating,,SRC_0023
ASSET009,COMP_GULFTAINER,Khorfakkan Commercial Terminal,Container terminal,Khorfakkan,United Arab Emirates,East Coast transshipment gateway; 10m+ TEU future capacity target,Container,Operating / planned expansion,,SRC_0040
ASSET010,COMP_GULFTAINER,Al Dhaid Multi-Modal Trade Corridor,Inland logistics hub,Al Dhaid,United Arab Emirates,150 ha inland ecosystem; planned 1.5m TEU capacity,Inland logistics,Development,,SRC_0041
ASSET011,COMP_ADPORTS,Khalifa Port,Deep-water port,Abu Dhabi,United Arab Emirates,Core UAE container / industrial gateway,Port / container,Operating / expanding,AD Ports Group,SRC_0011
ASSET012,COMP_ADPORTS,Fujairah Terminals,Port terminal,Fujairah,United Arab Emirates,East Coast industrial gateway linked to inland rail strategy,Port / general cargo,Operating,AD Ports Group,SRC_0016
ASSET013,COMP_ADPORTS,ICAD rail-linked inland logistics network,Inland dry ports / cargo depots,Abu Dhabi,United Arab Emirates,Rail-linked inland network for industrial cargo,Inland logistics,Development / integration,AD Ports Group,SRC_0016
ASSET014,COMP_DPW,Jebel Ali Port,Port / container terminal,Dubai,United Arab Emirates,Flagship global hub and JAFZA-linked gateway,Container / logistics,Operating,DP World,SRC_0034
ASSET015,COMP_DPW,London Gateway,Port / logistics park,London Gateway,United Kingdom,UK deep-sea container gateway and logistics park,Container / logistics,Operating / expanding,DP World,SRC_0034
ASSET016,COMP_DPW,Southampton Container Terminal,Container terminal,Southampton,United Kingdom,Major UK container gateway,Container,Operating,DP World,SRC_0034
ASSET017,COMP_APMT,Lázaro Cárdenas terminal,Container terminal,Lázaro Cárdenas,Mexico,Automated Pacific gateway; Phase II opened Mar 2026; Phase III under construction; canonical infrastructure in Port Terminals,Container,Operating / expanding,APM Terminals,SRC_0044
ASSET018,COMP_APMT,Suape terminal,Container / general cargo terminal,Suape,Brazil,Fully electric Suape terminal delivered Jun 2026; commissioning/operational ramp-up; canonical infrastructure in Port Terminals,Container / general cargo,Delivered / commissioning,APM Terminals,SRC_0018
ASSET019,COMP_FINCANTIERI,Muggiano Integrated Shipyard,Naval shipyard,La Spezia,Italy,U212 NFS submarine construction site,Defence shipbuilding,Operating,Fincantieri,SRC_0037
ASSET020,COMP_APMT,Bahrain,Container terminal,Bahrain,Bahrain,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET021,COMP_APMT,Pointe-Noire,Container terminal,Pointe-Noire,Congo,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET022,COMP_APMT,Abidjan Côte d’Ivoire Terminal (CIT),Container terminal,Abidjan Côte d’Ivoire Terminal (CIT),Côte d'Ivoire,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET023,COMP_APMT,San Pedro,Container terminal,San Pedro,Côte d'Ivoire,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET024,COMP_APMT,Suez Canal Container Terminal (SCCT),Container terminal,Suez Canal Container Terminal (SCCT),Egypt,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET025,COMP_APMT,Tema,Container terminal,Tema,Ghana,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET026,COMP_APMT,Aqaba,Container terminal,Aqaba,Jordan,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET027,COMP_APMT,Monrovia,Container terminal,Monrovia,Liberia,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET028,COMP_APMT,MedPort Tangier,Container terminal,MedPort Tangier,Morocco,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET029,COMP_APMT,Tangier,Container terminal,Tangier,Morocco,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET030,COMP_APMT,Apapa,Container terminal,Apapa,Nigeria,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET031,COMP_APMT,Onne,Container terminal,Onne,Nigeria,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET032,COMP_APMT,Salalah,Container terminal,Salalah,Oman,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET033,COMP_APMT,Guangzhou,Container terminal,Guangzhou,China,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET034,COMP_APMT,Qingdao,Container terminal,Qingdao,China,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET035,COMP_APMT,Shanghai,Container terminal,Shanghai,China,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET036,COMP_APMT,Tianjin,Container terminal,Tianjin,China,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET037,COMP_APMT,Xiamen,Container terminal,Xiamen,China,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET038,COMP_APMT,Mumbai,Container terminal,Mumbai,India,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET039,COMP_APMT,Pipavav,Container terminal,Pipavav,India,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET040,COMP_APMT,Yokohama,Container terminal,Yokohama,Japan,APM Terminals global network location,Container,Operating / network,,SRC_0020
ASSET041,COMP_APMT,Tanjung Pelepas,Container terminal,Tanjung Pelepas,Malaysia,APM Terminals global network location,Container,Operating / network,,SRC_0020
