External Event ID,Date,Event Family,Event Type,Mode,Country / Countries,Location,Title,Description,Assets / Modes Affected,Operational / Trade Impact,Status,Confidence,Primary Source,Secondary Source
EXT_0001,2026-09-06,Natural Hazard,Volcanic eruption / ash,Multimodal,Indonesia,Jakarta / Lampung / West Java / Sunda Strait,Anak Krakatau eruption,Volcanic ash forced suspension of operations at eight Indonesian airports; ferry operations in the Sunda Strait continued with caution and fishing activity was halted.,Airports / air cargo / ferries / fishing,Airport closures; flight cancellations; air-cargo interruption; maritime caution,Active / developing,High,https://www.reuters.com/business/environment/indonesias-jakarta-airport-suspends-flights-due-ash-mount-anak-krakatau-2026-09-06/,https://www.powerncorridors.com/regional-logistics-alert-06-sept-2026-indonesia-sunda-strait/
EXT_0002,2026-09-02,Labour / Industrial Action,Port strike,Maritime / Port / Inland,Germany / Netherlands,Northern European ports,German and Dutch port industrial action,"Sequential industrial action affected German ports and was followed by planned stoppages in Rotterdam, Amsterdam and Zeeland.",Ports / terminals / vessel handling / inland cargo,Vessel delay; terminal handling interruption; cargo backlog and congestion displacement risk,Active / developing,High,https://www.powerncorridors.com/regional-trade-alert-04-sept-2026-northern-europe/,
EXT_0003,2026-08-08,Weather,Typhoon,Multimodal,China / Japan / Taiwan,Okinawa / Zhejiang / Shanghai / Taiwan Strait,Typhoon Dolphin,"Typhoon Dolphin disrupted Okinawa and triggered Chinese port closures, ferry suspensions, vessel clearances, airport shutdowns and rail restrictions ahead of landfall.",Ports / shipping / aviation / rail,Port closure; vessel clearance; airport closure; flight cancellation; ferry and rail suspension,Closed / precautionary disruption,High,https://www.reuters.com/business/environment/typhoon-dolphin-hits-japans-okinawa-china-shuts-ports-ahead-landfall-2026-08-08/,
EXT_0004,2026-06-24,Natural Hazard,Earthquake,Aviation / Airport,Venezuela,Simón Bolívar International Airport / La Guaira,Venezuela earthquakes,"Two major earthquakes severely damaged airport runways and buildings, closing the country's main airport before partial operations resumed in September.",Airport / passenger and cargo aviation,Extended airport closure; reduced cargo/passenger capacity; temporary facilities required,Recovery / partial reopening,High,https://apnews.com/article/74144da8c39b41ba7f3559ff3bd264d7,
EXT_0005,2026-09-02,Civil Unrest / Insecurity,Gang violence / aviation restriction,Aviation,Haiti,Port-au-Prince / Toussaint Louverture International Airport,FAA extends Port-au-Prince flight restriction,Persistent gang violence and prior attacks on aircraft led the FAA to extend restrictions on U.S. commercial and civil aviation over Port-au-Prince.,Airport / aviation / air cargo,Commercial aviation access remains constrained; Port-au-Prince continues to be isolated from normal U.S.-linked air service,Active,High,https://apnews.com/article/70e3aa409fb24c7916568b4d904bfa4a,
EXT_0006,2026-04-13,Protest / Labour,Worker protest,Road / Industrial / Urban logistics,Haiti,Port-au-Prince,Haitian workers protest fuel-price shock,"More than 1,000 workers protested for higher wages after sharp fuel-price increases, illustrating how energy shocks can feed into labour and transport pressure.",Industrial workforce / road movement,Potential production and commuting disruption; indicator of labour and cost-of-living pressure,Occurred,High,https://apnews.com/article/70b2c1166fc63788b36f9341d396e617,
EXT_0007,2026-06-16,Civil Unrest / Insecurity,Gang clashes affecting port operations,Port / Fuel / Road,Haiti,Port-au-Prince port / Varreux fuel terminal,Gang clashes disrupt Port-au-Prince and Varreux operations,"Armed clashes brought activity at the Port-au-Prince seaport and Varreux fuel terminal close to a standstill, although the port was not formally closed.",Port / fuel terminal / cargo trucking,"Port and fuel-terminal operations severely constrained; implications for imports, fuel and inland distribution",Severely disrupted,Moderate / High,https://lenouvelliste.com/en/article/268530/escalating-gang-violence-affects-activities-at-the-apn-and-varreux-terminal,https://www.mag.wcoomd.org/magazine/wco-news-110-issue-2-2026/revisiting-haiti/
EXT_0008,2026-08-26,Natural Hazard,Glacial collapse / mudslide,Land / Border Trade,China / Nepal,Gyirong border crossing,Glacial collapse destroys China-Nepal trade port,A glacial collapse triggered a massive mudslide that destroyed the Gyirong border crossing and customs infrastructure.,Border port / customs / road corridor,Cross-border trade route physically destroyed; customs and road access lost,Closed / destroyed,High,https://www.reuters.com/world/china/flood-destroyed-china-nepal-border-no-sign-once-busy-port-reuters-witnesses-2026-09-06/,
EXT_0009,2026-09-06,Transport Accident,Cargo aircraft runway overrun / crash,Aviation / Air Cargo,United States,Miami International Airport,Amazon Prime Air cargo aircraft crash,"A Boeing 767 freighter operated by 21 Air for Amazon Prime Air overran the runway, causing fatalities, injuries, fuel leakage and substantial flight disruption.",Cargo aircraft / airport / runways,Runway disruption; cancellations and delays; cargo-aircraft loss; emergency response,Recovery,High,https://www.reuters.com/business/aerospace-defense/amazon-prime-air-boeing-767-overruns-runway-miami-airport-2026-09-06/,
EXT_0010,2026-08-09,Weather,Drought / extreme low water,Inland Waterway / Barge / Industrial Logistics,Germany,Rhine / Kaub,Rhine low-water shipping constraint,Critically low Rhine water levels threatened to halt commercial cargo traffic through the Kaub bottleneck and forced vessels to sail part-loaded.,Rhine barges / inland terminals / industrial supply chains,Draft restrictions; reduced cargo lift; more voyages required; cargo shifted toward road and rail; Higher inland freight costs; industrial logistics bottlenecks; CMA CGM later imposed an inland emergency fee,Observed / partially improving,High,https://www.reuters.com/business/environment/german-shippers-warn-rhine-could-be-split-two-by-low-water-2026-08-09/,https://www.reuters.com/business/energy/frances-cma-cgm-charge-inland-emergency-fee-due-lower-river-levels-2026-08-21/
