LRE ID,Asset ID,Asset / Portfolio,Country / Region,Location,Investor / Owner Company IDs,Developer / Manager,Asset Type,Reported Area,Area Unit,Properties / Units,Rail Access,Port Connection,Airport Connection,Tenant / Occupier Profile,Status,Related Deal ID,Source ID,Source URL,Notes
LRE_0001,ASSET077,KKR/Mirastar UK logistics portfolio,United Kingdom,Stafford / Crewe / Ellesmere Port / Wakefield,COMP_KKR;COMP_MIRASTAR,Mirastar,Prime logistics portfolio,1250000,sq ft,4,Site-specific / to resolve,Ellesmere Port asset is port-adjacent; wider portfolio linked to UK logistics markets,,Retail distribution; 3PL; e-commerce,Operating,IDEAL_0003,SRC_0263,https://media.kkr.com/news-details?news_id=4f6ff0d9-9b59-487c-abce-108f533fdd9b,Fully let portfolio acquired for ~GBP170m.
LRE_0002,ASSET078,Fort Worth rail-served logistics asset,United States,"Alliance submarket, Fort Worth, Texas",COMP_STONEPEAK,Stonepeak,Rail-served logistics facility,860100,sq ft,1,BNSF Alliance intermodal terminal / two Class I rail lines,North American inland/intermodal network,Fort Worth Alliance cargo airport,Supply-chain / logistics occupiers,Operating,IDEAL_0011,SRC_0285,https://stonepeak.com/news/stonepeak-acquires-rail-served-logistics-asset-in-fort-worth-texas,Direct I-35 NAFTA corridor relevance.
LRE_0003,ASSET079,Proxity pan-European logistics platform,Europe,Continental Europe / Nordics / Ireland,COMP_BLACKSTONE,COMP_PROXITY,Pan-European logistics portfolio,7000000,> sqm,500,,Gateway-market logistics network,,Diversified logistics / warehouse tenants,Operating / expanding,IDEAL_0009,SRC_0264,https://www.blackstone.com/news/press/blackstone-launches-proxity-a-new-pan-european-logistics-platform/,Reported as more than seven million sqm; approximately 500 properties/development projects at launch.
LRE_0004,,Prologis global logistics portfolio,20 countries,Global key commercial hubs,COMP_PROLOGIS,Prologis,Global logistics real-estate portfolio,1300000000,sq ft,5929,Many intermodal / gateway locations,Portfolio includes import and national distribution centres with seaport access,Major-market airport access,"~6,500 customers",Operating / expanding,,SRC_0266,https://ir.prologis.com/financials/sec-filings/content/0001193125-26-305416/pld-ex99_1.htm,June 30 2026 scale snapshot.
LRE_0005,ASSET080,PLIVE seed logistics portfolio,Europe,France / Germany / Netherlands / Sweden / United Kingdom,COMP_LA_CAISSE;COMP_PROLOGIS,Prologis,Pan-European logistics JV portfolio,1000000000,EUR seed value,,,Core European logistics markets,,Logistics customers,Operating / expanding,IDEAL_0005,SRC_0268,https://ir.prologis.com/news-events/press-releases/detail/1035/la-caisse-and-prologis-launch-pan-european-logistics-joint-venture,"Value is seed portfolio value, not physical area."
LRE_0006,ASSET086,JAFZA Logistics Park,United Arab Emirates,"Jebel Ali Free Zone, Dubai",COMP_DPW;COMP_JAFZA,JAFZA / DP World,Multi-tenant logistics park,562507,sq ft phase 1,,,Adjacent to Jebel Ali Port,Dubai air-cargo network,Dry storage; pharma; temperature-controlled; offices,Operating / expanding,,SRC_0274,https://www.jafza.ae/resource-centre/media/news/jafza-completes-phase-1-of-new-logistics-park/,"Phase 2 was planned to add 250,000 sq ft; current completion status to refresh separately."
LRE_0007,ASSET087,KEZAD warehouse / industrial real-estate ecosystem,United Arab Emirates,Abu Dhabi,COMP_ADPORTS;COMP_KEZAD,KEZAD Group,Economic-zone logistics / industrial real estate,625000,sqm warehouses,,Etihad Rail-connected ecosystem,Khalifa Port / AD Ports network,UAE airport connectivity,"2,100+ client ecosystem reported in 2025 presentation",Operating / expanding,,SRC_0276,https://www.adportsgroup.com/-/media/sites/adports/investors/2025/downloads/adpg--2025-capital-market-day-consolidated.pdf?rev=-1,Keep zone-level land and warehouse stock separate from individual tenant/build-to-suit facilities.
LRE_0008,ASSET081,Tbilisi Dry Port logistics real estate,Georgia,Tbilisi,COMP_ADPORTS;COMP_TBILISI_DRY_PORT,Tbilisi Dry Port LLC,Customs-bonded warehousing / container yards,12300,sqm warehouse,2,Four 600m rail spurs,Poti / Batumi,Near Tbilisi Airport,3PL; cross-stuffing; container storage; vehicle storage,Operating / expanding,IDEAL_0008,SRC_0278,https://www.tbilisidryport.com/infrastructure-facilities/,"9,800 sqm Class A + 2,500 sqm Class B warehouse; yard figures kept in dry-port table."
LRE_0009,ASSET092,DHL Supply Chain Halle Logistics Center,Germany,Halle / Leipzig region,COMP_DHL_SUPPLY_CHAIN,DHL Supply Chain,Multi-user / contract logistics warehouse,34000,sqm warehouse,"55,000 pallet spaces",,,Leipzig/Halle Airport / DHL Express global hub,Multi-sector contract-logistics customers,Operating / expanding,,SRC_0316,https://group.dhl.com/en/media-relations/press-releases/2025/dhl-supply-chain-invests-in-climate-neutral-expansion-new-logistics-center-strengthens-leipzig-halle-as-europes-freight-hub.html,Illustrates cross-division proximity between DHL Supply Chain warehousing and DHL Express air-hub capacity.
LRE_0010,ASSET093,DHL Supply Chain SILZ Regional Hub,Saudi Arabia,"Special Integrated Logistics Zone, Riyadh",COMP_DHL_SUPPLY_CHAIN,DHL Supply Chain,Airport-linked bonded logistics / warehouse development,53000,sqm warehouse,"78,000 sqm site; 26-year land lease",,,King Khalid International Airport ~8 km; bonded corridor,Technology; retail; consumer; automotive; energy; e-commerce,Development,,SRC_0296,https://group.dhl.com/en/media-relations/press-releases/2025/dhl-supply-chain-to-invest-eur-130-million-in-new-warehouse-at-saudi-arabia.html,Part of DHL's wider €500m Middle East investment program through 2030; do not double-count this €130m when aggregating the broader program.
LRE_0011,ASSET096,FedEx Delhi Integrated Air Cargo Hub,India,"GMR Cargo City, Delhi IGI Airport",COMP_FEDERAL_EXPRESS,Federal Express Corporation,Integrated air-cargo gateway / pickup-delivery hub,230000,sq ft,Planned automated hub,,,Delhi Indira Gandhi International Airport,North and East India international express / cargo customers,Development,,SRC_0300,https://newsroom.fedex.com/newsroom/global/fedex-announces-plans-to-develop-new-integrated-air-cargo-hub-at-gmr-cargo-city-delhi-airport,Gateway and pickup/delivery functions designed under one roof.
LRE_0012,ASSET097,Amazon Air CVG Hub,United States,Cincinnati/Northern Kentucky International Airport,COMP_AMAZON;COMP_AMAZON_AIR,Amazon Air,Air-cargo sortation / logistics campus,800000,sq ft,600-acre hub campus,,,CVG Airport,Amazon network / external logistics ecosystem,Operating,,SRC_0306,https://www.aboutamazon.com/news/operations/welcome-to-the-amazon-air-hub,Flagship Amazon Air hub; investment and land-area fields are captured separately.
LRE_0013,ASSET098,Aramex Healthcare Warehouse - Dubai Logistics City,United Arab Emirates,Dubai Logistics City / DWC Free Zone,COMP_ARAMEX,Aramex,Healthcare / cold-chain warehouse,5600,approx sqm combined,"6,750 ambient + 140 cold-chain pallet positions",,,Al Maktoum International Airport / DWC,Pharmaceuticals; medical devices; healthcare goods,Operating,,SRC_0315,https://www.aramex.com/ae/en/best-in-class-logistic-solutions-for-multi-faceted-industries/sciences-and-pharmaceutical-distribution,"Approximate area combines ~5,500 sqm ambient and ~100 sqm cold-chain; preserve component values in notes."
