VLCC Fleet Ranking Snapshots — Methodology-Aware Benchmark,,,,,,,,,,,,,,
World VLCC Fleet,,Sanctioned / Excluded,,Free to Trade,,Top 10 Count,,Top 10 Share of Tradeable,,,,,Company,VLCC Count
907,,167,,,740,,393,,0.5310810810810811,,,,SINOKOR,93
,,,,,,,,,,,,,China Merchants Energy Shipping,51
"Ranking rule: preserve the source methodology. A fleet ranking may count owned, operated, beneficially controlled or commercially controlled tonnage differently. Sanctions and other restrictions are filters, not ownership attributes. The same company can therefore have different valid fleet counts at different dates or under different definitions.",,,,,,,,,,,,,Bahri,49
,,,,,,,,,,,,,COSCO SHIPPING Energy,41
,,,,,,,,,,,,,Frontline,37
Ranking ID,Published Rank,Company ID,Company,VLCC Count,Metric / Scope,Included in Tradeable Ranking,Hypothetical Rank if Included,As Of,Source ID,Confidence,Notes,,Maran Tankers,33
RANK_VLCC_202609_01,1,COMP_SINOKOR,SINOKOR,93,Controlled / ranking-defined VLCC fleet,Yes,,2026-09,SRC_0213,Medium,"Benchmark graphic; reconcile operating company, registered owners and beneficial-control entities vessel by vessel.",,Mitsui O.S.K. Lines,30
RANK_VLCC_202609_02,2,COMP_CMES,China Merchants Energy Shipping,51,VLCC fleet,Yes,,2026-H1 / Sep ranking,SRC_0213,Medium,Benchmark count; Reuters independently confirms CMES and COSCO Energy together deploy more than 100 VLCCs in Middle East crude trades.,,DHT Holdings,23
RANK_VLCC_202609_03,3,COMP_BAHRI,Bahri,49,Ranking-source VLCC count,Yes,,2026-H1 / Sep ranking,SRC_0213,Medium,"Benchmark graphic shows 49; current Bahri corporate site shows 50 VLCCs, demonstrating date/methodology drift.",,NYK Line,22
RANK_VLCC_202609_04,4,COMP_COSCO_ENERGY,COSCO SHIPPING Energy,41,VLCC fleet,Yes,,2026-H1 / Sep ranking,SRC_0213,Medium,Benchmark count; separate COSCO Shipping Energy from COSCO Shipping Lines and parent COSCO SHIPPING.,,Asyad Shipping,14
RANK_VLCC_202609_05,5,COMP_FRONTLINE,Frontline,37,Ranking-source VLCC count,Yes,,2026-Q2 / Aug ranking,SRC_0213,Medium,Benchmark graphic shows 37; Frontline later disclosed a pro-forma 40-VLCC fleet after announced sales/newbuilding deliveries.,,,
RANK_VLCC_202609_06,6,COMP_MARAN_TANKERS,Maran Tankers,33,VLCC fleet,Yes,,2026-06 / Sep ranking,SRC_0213,Medium,Benchmark count; named-vessel public directory supports a large crude-tanker fleet but exact current VLCC total needs IMO-level reconciliation.,,,
RANK_VLCC_202609_07,7,COMP_MOL,Mitsui O.S.K. Lines,30,Operated VLCC fleet,Yes,,2026 guidebook / Sep ranking,SRC_0213,Medium,MOL fleet is diversified; ranking should retain 'operated VLCC' definition.,,,
RANK_VLCC_202609_08,8,COMP_DHT,DHT Holdings,23,VLCC fleet,Yes,,2026-Q2 / Sep ranking,SRC_0213,Medium,DHT is a pure-play VLCC company; exact count should be refreshed from fleet register after 2026 deliveries and disposals.,,,
RANK_VLCC_202609_09,9,COMP_NYK,NYK Line,22,Operated VLCC fleet,Yes,,2025 operated / Sep ranking,SRC_0213,Medium,NYK reports 106 tankers overall as of March 2026; VLCC subset needs individual-vessel reconciliation.,,,
RANK_VLCC_202609_10,10,COMP_ASYAD_SHIPPING,Asyad Shipping,14,Ranking-source VLCC count,Yes,,2026-Q1 / Sep ranking,SRC_0213,Medium,"Asyad official disclosures show 14 owned crude vessels at end-2025, but crude segment is not synonymous with VLCC; verify ship class individually.",,,
RANK_VLCC_202609_NITC,,COMP_NITC,National Iranian Tanker Company,37,VLCC fleet,No,5,2026-09,SRC_0213,Medium,Excluded by benchmark methodology because fleet is sanctioned; should remain in canonical fleet universe with restriction status attached separately.,,,
