ID,Date,Region,Country,Port / Location,Port-Side or Near-Port,Incident Category,Incident Sub-Type,Conflict-Related,Vessel / Asset,Operator / Authority,Event Summary,Fatalities,Injuries,Containers Lost / Damaged,Pollution / Environmental Impact,Port / Operational Impact,Damage / Loss Estimate,Cause / Attribution,Investigation / Status,Severity,Confidence,Primary Source,Secondary Source,Notes / Intelligence Relevance
1,2026-03-01,Middle East,Oman,Port of Duqm,Port-side,War / Conflict,Drone strike,Yes,Port infrastructure / worker accommodation,Port of Duqm / Oman authorities,Two drones targeted the commercial port; one struck worker accommodation and debris from the second landed near fuel tanks.,0,1,,No reported pollution,Localized impact; port security response activated,,Attributed in reporting to Iranian strike activity,Confirmed by Oman News Agency,High,High,https://omannews.gov.om/topics/en/79/show/127246/ona,https://airwars.org/incidents/irom260301e-march-1-2026,Direct attack on a commercial port; important benchmark for port resilience and fuel-storage exposure.
2,2026-03-01,Middle East,UAE,"Zayed Port, Abu Dhabi",Port-side,War / Conflict,Strike / fire,Yes,Port infrastructure,Abu Dhabi / port authorities,Smoke and fire were reported from the Zayed Port area following Iranian retaliatory strikes.,,,,,Operational disruption reported in wider UAE port response,,Iranian attack context,Confirmed visual reporting; detailed damage not fully public,High,Medium-High,https://www.reutersconnect.com/item/smoke-billows-from-zayed-port-after-an-iranian-attack-following-united-states-and-israel-strikes-on-iran-in-abu-dhabi/dGFnOnJldXRlcnMuY29tLDIwMjY6bmV3c21sX1JDMk9WSkFJQ0xMRA,https://www.reuters.com/world/middle-east/several-loud-blasts-heard-over-dubai-doha-second-day-witnesses-say-2026-03-01/,Shows conflict spillover directly into urban port infrastructure.
3,2026-03-01,Middle East,UAE,"Jebel Ali Port, Dubai",Port-side,War / Conflict,Missile/drone debris fire,Yes,Container port infrastructure,DP World / Dubai authorities,Missile or drone debris sparked a fire at Jebel Ali Port; smoke was visible over the terminal area.,0,,,,DP World paused activities temporarily during the immediate response,,Debris from intercepted incoming threat,Confirmed by Dubai/Reuters reporting,High,High,https://www.reutersconnect.com/item/smoke-billows-from-jebel-ali-port-after-missile-debris-sparked-fire-says-dubai-media-office/dGFnOnJldXRlcnMuY29tLDIwMjY6bmV3c21sX1ZBOTYxNzAxMDMyMDI2UlAx,https://www.reuters.com/world/middle-east/several-loud-blasts-heard-over-dubai-doha-second-day-witnesses-say-2026-03-01/,Major global transshipment hub; short disruption has regional supply-chain significance.
4,2026-03-14,Middle East,UAE,Fujairah oil/bunkering hub,Port-side,War / Conflict,Drone debris / fire,Yes,Oil loading and storage infrastructure,Fujairah authorities / ADNOC-linked infrastructure,Debris from an intercepted drone caused a fire at Fujairah; one person was lightly injured and some oil-loading operations were suspended.,0,1,,No major spill reported,Some oil-loading operations suspended; loadings resumed the next day,,Incoming Iranian drone intercepted; debris impact,Confirmed; operations subsequently resumed,High,High,https://www.reuters.com/world/middle-east/fire-occurred-uaes-fujairah-after-debris-fell-during-interception-drone-no-2026-03-14/,https://www.reuters.com/business/energy/oil-loading-operations-uaes-fujairah-have-restarted-industry-source-says-2026-03-15/,Critical because Fujairah sits outside Hormuz and functions as an energy bypass hub.
5,2026-03-28,Middle East,Oman,Port of Salalah,Port-side,War / Conflict,Drone strike / crane damage,Yes,Container crane / terminal infrastructure,Port of Salalah / APM Terminals,"Two drones targeted Salalah Port, injuring one worker and damaging a container crane.",0,1,,No major pollution reported,Port evacuated and operations temporarily suspended; roughly 48-hour estimate reported,,Likely Iranian strike; local authorities confirmed drone impact,Assessed / investigated,High,High,https://airwars.org/incidents/irom260328a-march-28-2026,,Notable because it extends conflict risk to a major Indian Ocean transshipment port outside Hormuz.
6,2026-07-28,Middle East,Egypt,Damietta Port,Port-side,War / Conflict,Drone strike / vessel fire,Yes,Energos Winter FSRU; GasLog Salem,Egyptian authorities / vessel owners,A drone hit a gas vessel at Damietta and fire spread to a second gas vessel.,0,0,,No major pollution reported,Emergency response; energy-import infrastructure disrupted / assessed,,Drone strike confirmed by Egyptian cabinet; attacker unclaimed,Investigation ongoing,High,High,https://www.reuters.com/world/middle-east/drone-hits-gas-storage-tanker-egypts-mediterranean-port-2026-07-29/,https://www.reuters.com/world/middle-east/us-military-says-it-hit-dozens-irans-irgc-targets-2026-07-30/,Direct attack on LNG/FSRU infrastructure broadens port conflict risk beyond Gulf ports.
7,2026-09-01,Europe,Ukraine,Odesa region ports / export facilities,Port-side,War / Conflict,Drone/missile strikes on port infrastructure,Yes,Export facilities / logistics infrastructure,Ukrainian port authorities,Russian strikes damaged port export infrastructure in the Odesa region and contributed to disruption of export routes.,,1,,,Export facilities damaged; wider seaport operations heavily constrained,,Russian drone/missile attacks,Confirmed by Ukrainian officials; conflict ongoing,High,High,https://www.reuters.com/world/middle-east/russia-hits-port-export-facilities-ukraines-odesa-region-kyiv-says-2026-09-01/,,"Important for grain, Danube rerouting and Black Sea maritime-risk assessment."
8,2026-04-14,Europe,Ukraine,Port of Izmail / Odesa maritime corridor,Port-side,War / Conflict,Drone strike on port and vessels,Yes,Two foreign civilian vessels / port logistics,Ukrainian authorities,"Russian drones hit Izmail port, damaging port infrastructure and foreign civilian vessels including a Panama-flagged vessel.",0,0,,,Port operations reportedly remained stable despite damage,,Russian drone attack,Confirmed by Ukrainian officials,High,High,https://www.reuters.com/world/americas/russian-drones-attacked-ukraines-izmail-port-damaged-panama-flagged-vessel-2026-04-14/,,Illustrates direct merchant-vessel exposure inside a functioning wartime export port.
9,2026-08-13,Europe,Netherlands,Port of Rotterdam,Port-side,Industrial Accident,Tank explosion during maintenance,No,Petroleum product storage tank,Gunvor / Rotterdam authorities,Explosion at a petroleum product storage facility during maintenance killed one and injured six.,1,6,,No major offsite pollution reported,Localized facility impact; major port systems remained operational,,Maintenance-related incident; sabotage not indicated initially,Authorities investigating,High,High,https://www.reuters.com/world/europe/rotterdam-port-explosion-causes-one-death-police-say-2026-08-13/,,Demonstrates maintenance and hazardous-storage risk inside a major energy port.
10,2026-07-19,Europe,United Kingdom,Port of Tyne,Port-side,Collision / Infrastructure,Vessel collision / gantry crane collapse,No,Wind Orca; BG Orange; 750-tonne gantry crane,Port of Tyne,"Wind Orca collided with berthed container ship BG Orange and then a quayside crane, causing the crane to collapse.",0,1,,Plastic pellets released to river/coastline,Recovery zone established; local operational disruption and cleanup,,"Under investigation by police, MAIB and harbour authority",Investigation ongoing,High,High,https://www.portoftyne.co.uk/news-and-media/news/port-of-tyne-pellet-incident-qa,https://www.gov.uk/government/publications/marine-accident-investigation-branch-current-investigations/marine-accident-investigation-branch-current-investigations,Strong combined case: collision + crane loss + cargo/environmental release + operational disruption.
