Vessel ID,Vessel Name,IMO,MMSI,USCG Official Number,Canadian Official Number,National Registry Number,Call Sign,Radio / Other Identifier,Flag,Identifier Status,Verified As Of,Source ID,Notes
VESSEL_00001,UGR Al Samha,9973444,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00002,UGR Zakher,9980411,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00003,UGR Al Reef,9448138,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00004,Al Jubail,9547219,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00005,Ramhan,9668960,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00006,UGR Arabian Gulf,9431836,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00007,Erk İzmir,9179983,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00008,Abu Samrah,9925655,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00009,UGR İstanbul,9179995,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00010,Saffet Bey,8417118,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00011,Super Fast Baleares,9398527,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00012,Chang Sheng Hong,9177040,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00013,JINANAH,9395343,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00014,SDERIA,9395355,,,,,,,IMO populated,2026-09-07,SRC_0060,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00015,CMA CGM MONTE CRISTO,1021051,,,,,,,IMO populated,2026-09-07,SRC_0045,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00016,Al Sadaf,9972957,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00017,Arada,9972969,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00018,Al Taweelah,9972971,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00019,Al Hamra,9074640,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00020,Al Rahba,9965435,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
VESSEL_00021,Al Reef,9972945,,,,,,,IMO populated,2026-09-07,SRC_0066,Primary IMO retained in canonical Vessels; additional national identifiers to be populated for ferry and domestic fleets.,
