Universe ID,Company ID,Company,Parent / Group,Segment,Relationship Basis,Fleet Count,Owned Count,Chartered / Managed Count,Orderbook Count,Metric Scope,Tradeability Scope,Sanctions Treatment,As Of,Confidence,Source ID,Source URL,Notes
TFU_0001,COMP_SINOKOR,SINOKOR Merchant Marine,,VLCC / crude tanker,Ranking-defined beneficial/commercial control,93,,,,Benchmark VLCC count,Tradeable ranking,Excluded if sanctioned vessel,2026-09,Medium,SRC_0213,https://www.gosships.com/,"Large gap versus earlier operating-fleet headline demonstrates need to reconcile legal owner, commercial operator and beneficial-control entities."
TFU_0002,COMP_CMES,China Merchants Energy Shipping,China Merchants Group,VLCC / crude tanker,Owned/operated fleet,51,,,10,Benchmark VLCC count,Tradeable ranking,Sanctioned tonnage excluded by ranking methodology,2026-H1,Medium,SRC_0213,https://www.gosships.com/,2026 H1 reporting also notes 10 newly ordered VLCCs among broader order activity; vessel-level orderbook to populate.
TFU_0003,COMP_BAHRI,Bahri,,VLCC / crude tanker,Owned and operated,50,50,,,Current corporate fleet fact,All canonical vessels,Restrictions modeled separately,2026-09-07,High,SRC_0214,https://www.bahri.sa/en/,Official current site shows 50 VLCCs; benchmark graphic showed 49 at its source date.
TFU_0004,COMP_COSCO_ENERGY,COSCO SHIPPING Energy,COSCO SHIPPING,VLCC / crude tanker,Owned/operated fleet,41,,,,Benchmark VLCC count,Tradeable ranking,Sanctioned tonnage excluded by ranking methodology,2026-H1,Medium,SRC_0213,https://www.gosships.com/,Reuters says COSCO Energy and CMES together deployed more than 100 VLCCs in Middle East crude trade.
TFU_0005,COMP_FRONTLINE,Frontline plc,,VLCC / crude tanker,Owned fleet / pro-forma after announced transactions,40,40,,,Pro-forma current fleet,All canonical vessels,Restrictions modeled separately,2026-08,High,SRC_0215,https://www.sec.gov/Archives/edgar/data/913290/000091957426005942/p15060813_ex-1.htm,Benchmark ranking showed 37; SEC update indicates 40 VLCCs after remaining announced sales and deliveries.
TFU_0006,COMP_MARAN_TANKERS,Maran Tankers Management,Angelicoussis Group,VLCC / crude tanker,Managed/operated fleet,33,,,,Benchmark VLCC count,Tradeable ranking,Restrictions modeled separately,2026-09,Medium,SRC_0213,https://www.gosships.com/,Named public fleet directory exists; exact IMO-level VLCC count to reconcile.
TFU_0007,COMP_MOL,Mitsui O.S.K. Lines,,VLCC / crude tanker,Operated fleet,30,,,,Ranking-source operated VLCC count,Tradeable ranking,Restrictions modeled separately,2026-09,Medium,SRC_0213,https://www.gosships.com/,MOL is a diversified owner/operator; operated VLCC subset must remain distinct from owned tanker fleet.
TFU_0008,COMP_DHT,DHT Holdings,,VLCC / crude tanker,Owned/operated fleet,23,,,1,Benchmark VLCC count + active renewal,All canonical vessels,Restrictions modeled separately,2026-09,Medium,SRC_0216,https://www.dhtankers.com/dht-holdings-inc-announces-fleet-update/,DHT fleet consists only of VLCCs; exact live count to refresh from individual fleet register.
TFU_0009,COMP_NYK,NYK Line,,VLCC / crude tanker,Operated fleet,22,,,,Ranking-source operated VLCC count,Tradeable ranking,Restrictions modeled separately,2026-09,Medium,SRC_0220,https://www.nyk.com/english/ir/library/result/2025/__icsFiles/afieldfile/2026/05/11/260511_ppt_en.pdf,NYK reported 106 tankers overall as of March 2026; VLCC subset needs IMO-level classification.
TFU_0010,COMP_ASYAD_SHIPPING,Asyad Shipping,Asyad Group,VLCC / crude tanker,Owned crude segment / ranking-defined VLCC subset,14,14,3,7,Benchmark VLCC count; official crude-segment overlay,All canonical vessels,Restrictions modeled separately,2025-12 / 2026 ranking,Medium,SRC_0218,https://www.asyadshipping.com/assets/frontend/uploads/ir/FY2025Resultsprsentation25Feb.pdf,"Official disclosure shows 14 owned crude vessels, 3 chartered-in and VLCC orderbook; classify each vessel before treating entire crude fleet as VLCC."
TFU_0011,COMP_NITC,National Iranian Tanker Company,,VLCC / crude tanker,Owned/controlled fleet,37,,,,Benchmark VLCC count,Restricted / sanctioned universe,"Sanctioned fleet retained, excluded only from tradeable ranking view",2026-09,Medium,SRC_0213,https://www.gosships.com/,Important control case: canonical model retains fleet even when ranking view excludes it.
TFU_0012,COMP_ADNOC_LS,ADNOC Logistics & Services,ADNOC,Crude / products / gas,Owned + operated + chartered fleet,,,,,Tanker subset to resolve,All canonical vessels,Restrictions modeled separately,2026-09,In progress,SRC_0110,,Priority Gulf tanker workstream because Hormuz exposure and Navig8 integration make fleet-control mapping analytically valuable.
TFU_0013,COMP_NAVIG8,Navig8,ADNOC L&S,Tankers,Owned/operated fleet,32,,,,Integrated fleet baseline,All canonical vessels,Restrictions modeled separately,2026-09,High,SRC_0110,,Existing canonical tanker fleet should be reclassified by tanker segment including VLCC/Suezmax/Aframax/MR where applicable.
