event_id,start_date,end_date,event_family,event_type,severity,status,mode,countries,location,title,description,operational_impact,commercial_impact,confidence,record_status,source_id
EVT_PORT_STRIKE_NE,2026-09-02,,Labour / Industrial Action,Port strike,High,Active / developing,Maritime / Port / Inland,Germany / Netherlands,Northern European ports,German and Dutch port industrial action,"Sequential industrial action affected German ports and planned stoppages in Rotterdam, Amsterdam and Zeeland.",Vessel delay; terminal handling interruption; cargo backlog,Backlogs can propagate into inland logistics and adjacent gateways.,High,verified,SRC_N_EU_STRIKE
EVT_TYPHOON_DOLPHIN,2026-08-08,,Weather,Typhoon,High,Closed / precautionary disruption,Multimodal,China / Japan / Taiwan,Okinawa / Zhejiang / Shanghai / Taiwan Strait,Typhoon Dolphin,"Typhoon Dolphin triggered port closures, vessel clearances, airport shutdowns, ferry suspensions and rail restrictions.","Port, aviation, ferry and rail closures","Container, feeder, air-cargo and inland schedules disrupted.",High,verified,SRC_TYPHOON_DOLPHIN
EVT_ZAYED_STRIKE,2026-03-01,,Conflict / Security,Drone strike / port attack,Severe,Occurred / recovery,Port / Maritime,United Arab Emirates,"Zayed Port, Abu Dhabi",Drone strike damages Zayed Port area,Reported retaliatory strike activity caused fire/smoke and damage in the Zayed Port area.,Port operations / cranes / local marine activity affected,Operational resilience and UAE port-security implications.,Medium-High,verified,SRC_ZAYED_EVENT
EVT_ROTTERDAM_EXPLOSION,2026-08-13,,Port / Infrastructure Incident,Explosion,High,Investigation / recovery,Port / Industrial,Netherlands,Port of Rotterdam,Rotterdam port explosion,Explosion at the Port of Rotterdam caused a fatality and triggered an investigation.,Localized port / industrial disruption,Potential terminal and industrial-zone disruption.,High,verified,SRC_ROTTERDAM_EVENT
EVT_LADONNA_ATTACK,2026-01-09,,Conflict / Security,Vessel attack,High,Occurred,Maritime / Port,Ukraine,Port of Odesa,Commercial vessel LADONNA hit at Odesa,"A UAV strike hit LADONNA at the Port of Odesa, killing one crew member and damaging the stern.",Commercial vessel and port safety affected,"Black Sea maritime corridor, grain and insurance risk.",High,verified,SRC_LADONNA_EVENT
EVT_JCG_RESCUE,2026-08-27,,Maritime Safety / SAR,Crew injury / foreign vessel rescue,Medium,Closed / final update,Maritime,Japan,~220 km northeast of Nosappu Cape,JCG foreign-vessel crew injury response,Japan Coast Guard coordinated response to a crew injury aboard a foreign-flagged cargo vessel.,SAR / medical response,Potential voyage interruption and operational delay.,High,verified,SRC_JCG
EVT_KCG_GROUNDING,2026-08-17,2026-08-18,Maritime Casualty,Grounding,Medium,Resolved / response,Maritime,South Korea,"South of Jawoldo, Incheon",Fishing vessel grounded near Jawoldo,Incheon Coast Guard reported a fishing vessel driven onto rocks by strong current; skipper rescued.,Grounding; SAR deployment,Localized navigation/safety event.,High,verified,SRC_KCG
EVT_MSC_ELSA3,2025-05-24,,Maritime Casualty / Pollution Risk,Loss of stability / distress,High,Historical / lessons retained,Maritime,India,"~38 nm southwest of Kochi, Kerala",MSC Elsa 3 casualty and ICG response,"Indian Coast Guard records describe MSC Elsa 3 developing a severe list, triggering SAR, salvage coordination and pollution monitoring.",Crew rescue; salvage; fire/pollution response,Containerized cargo and coastal pollution exposure.,High,verified,SRC_ICG
EVT_GENOA_MILESTONE,2026-09-08,,Infrastructure / Project,Construction milestone,Moderate,Under construction,Port / Rail,Italy,Port of Genoa,Genoa breakwater reaches new construction milestone,Crest-wall work began and another caisson was installed on the new breakwater.,Marine access expansion progressing,Improves future megaship access and rail-hinterland competitiveness.,High,verified,SRC_GENOA_EVENT
EVT_MOREBAYA_COMMISSION,2026-09-08,,Infrastructure / Commissioning,Port commissioning,High,Commissioning,Mine / Rail / Port,Guinea,Morebaya,Morebaya port commissioning begins,"Staged commissioning of stockyards, stacker-reclaimers and shiploaders began.",New export infrastructure entering service,Moves integrated mine-rail-port export chain toward operations.,High,verified,SRC_MOREBAYA_EVENT
