Rail Operator ID,Company ID,Operator,Operator Type,Jurisdiction,Role,Network Scale,Gauge,Electrification / Signalling,Status,Notes,Source ID,Source URL
ROP_0001,COMP_ETIHAD_RAIL,Etihad Rail,National railway owner/operator,United Arab Emirates,Freight + passenger,900 km,Standard 1435 mm,ETCS Level 2,Operating,"National UAE network linking ports, industry and borders.",SRC_0380,https://corporate.etihadrail.ae/en
ROP_0002,COMP_HAFEET_RAIL,Hafeet Rail,Cross-border infrastructure JV,UAE / Oman,Freight + passenger,238 km,Standard 1435 mm,ETCS Level 2,Under construction,Sohar-UAE link; 40% complete Apr 2026.,SRC_0383,https://corporate.etihadrail.ae/en/newsroom/press/hafeet-rail-announces-40-completion-of-omanuae-railway-connection-project
ROP_0003,COMP_SAR,Saudi Arabia Railways (SAR),National railway owner/operator,Saudi Arabia,Freight + passenger,"1,775 km East network",Standard gauge,,Operating,Dammam-Riyadh freight and national intercity rail.,SRC_0384,https://sar.com.sa/about-sar/railnetwork/
ROP_0004,COMP_GEORGIAN_RAILWAY,Georgian Railway,National railway operator,Georgia,Freight + passenger,,1520 mm,Electrified network,Operating,"Middle Corridor, BTK and Black Sea port access.",SRC_0387,https://www.railway.ge/baqo-tbilisi-yarsis-marshruti-akhal-shesadzleblobebs-qmnis/
ROP_0005,COMP_ADY,Azerbaijan Railways (ADY),National railway operator,Azerbaijan,Freight + passenger,,1520 mm,,Operating,Middle Corridor / BTK segment.,SRC_0386,https://transit.gov.az/en/corridors/east-west-corridor
ROP_0006,COMP_KTZ,Kazakhstan Temir Zholy (KTZ),National railway/logistics operator,Kazakhstan,Freight + passenger,,1520 mm,,Operating,China-Kazakhstan and Middle Corridor segment.,SRC_0386,https://transit.gov.az/en/corridors/east-west-corridor
ROP_0007,COMP_TCDD,Turkish State Railways (TCDD),National rail infrastructure operator,Türkiye,Freight + passenger,,1435 mm,,Operating,BTK connection to Türkiye/Europe.,SRC_0386,https://transit.gov.az/en/corridors/east-west-corridor
ROP_0008,COMP_CN,Canadian National Railway / CN,Class I railway,Canada / United States,Freight / intermodal,"~20,000 route miles",Standard gauge,Mixed,Operating,Tri-coastal network.,SRC_0389,https://www.cn.ca/en/our-services/rail
ROP_0009,COMP_CPKC,Canadian Pacific Kansas City (CPKC),Class I railway,Canada / US / Mexico,Freight / intermodal,"~20,000 route miles",Standard gauge,Mixed,Operating,Single-line Canada-US-Mexico network.,SRC_0392,https://author.cpkcr.com/en/media/SMX-May2026
ROP_0010,COMP_BNSF,BNSF Railway,Class I railway,United States,Freight / intermodal,,Standard gauge,Mixed,Operating,Western US intermodal/port network.,SRC_0394,https://www.bnsf.com/ship-with-bnsf/intermodal/service-options-and-details.html
ROP_0011,COMP_UNION_PACIFIC,Union Pacific Railroad,Class I railway,United States,Freight / intermodal,,Standard gauge,Mixed,Operating,Western US port gateway network.,SRC_0395,https://www.up.com/shipping/intermodal/us-westcoast
ROP_0012,COMP_CSX,CSX Transportation,Class I railway,United States,Freight / intermodal,,Standard gauge,Mixed,Operating,Eastern US railway / SMX partner.,SRC_0392,https://author.cpkcr.com/en/media/SMX-May2026
ROP_0013,COMP_NORFOLK_SOUTHERN,Norfolk Southern Railway,Class I railway,United States,Freight / intermodal,"19,200 route miles",Standard gauge,Mixed,Operating,Eastern US; serves 43 ports.,SRC_0396,https://www.norfolksouthern.com/en/ship-by-rail/our-rail-network
ROP_0014,COMP_ACTA,Alameda Corridor Transportation Authority,Port rail corridor authority,United States,Port intermodal rail,20 corridor miles / 60 track miles,Standard gauge,,Operating,Dedicated LA/Long Beach port rail corridor.,SRC_0393,https://www.acta.org/
ROP_0015,COMP_TRANSNET_FREIGHT_RAIL,Transnet Freight Rail,National freight railway,South Africa,Freight rail,,1067 mm Cape gauge,Mixed,Operating,Export/container corridors.,SRC_0398,https://www.transnet.net/SubsiteRender.aspx?id=4492347
ROP_0016,COMP_ONCF,ONCF,National railway operator,Morocco,Freight + passenger,,Standard gauge,Mixed/electrified,Operating,Tanger Med / industrial rail access.,SRC_0400,https://www.tangermedport.com/en/activities/railway/
ROP_0017,COMP_METRANS,METRANS,Intermodal rail operator,Europe,Container intermodal,,Standard gauge,Primarily electric,Operating,"20 terminals; 190+ locos; 4,000+ railcars.",SRC_0401,https://hhla.de/en/media/hhla-overview
ROP_0018,COMP_CONCOR,CONCOR,Intermodal rail/terminal operator,India,Container rail,,Indian broad gauge,Mixed/electrified,Operating,193 listed rail-terminal locations.,SRC_0405,https://www.concorindia.co.in/rail-terminals
ROP_0019,COMP_DFCCIL,DFCCIL,Dedicated freight infrastructure owner,India,Freight rail infrastructure,"1,506 km WDFC",Indian broad gauge,Electrified,Operating / final works,JNPT-Dadri double-stack corridor.,SRC_0406,https://dfccil.com/upload/1353697422824.pdf
