Fleet Research Universe — v1.8,,,,,,,,,,,,
Universe Companies,,Canonical Companies,,Canonical Vessels,,GFS Managed Seed,,,CMA CGM commercial snapshot,GFS commercial snapshot,AD Ports ownership of GFS,Verified
87,,61,,358,273,16,,,844,36,81%,2026-09-07
,,,,,,,,,,,,
"Data rule: IMO is the vessel key. Keep registered owner, beneficial owner, commercial operator, technical/ISM manager and charterer as separate relationships. Do not merge Global Feeder Shipping LLC with GFS Ship Management FZE until the legal corporate relationship is verified.",,,,,,,,,,,,
,,,,,,,,,,,,
Priority,Segment,Company / Brand,Parent / Strategic Link,Company ID,Canonical Status,Fleet Scope to Capture,Why Included,Primary Seed Source,Research Status,Known Fleet Snapshot,Last Verified,Notes
Tier 1,Container / liner,CMA CGM Group,CMA CGM Group,COMP_CMA_CGM,Canonical,Owned + chartered + commercially operated container fleet,Global top-tier liner; major Khalifa Port / UAE exposure,https://www.linescape.com/carriers/3/,In progress,844 commercially scheduled vessels,2026-09-07,Keep commercial fleet separate from 400-owned-vessel milestone.
Tier 1,Container / liner,MSC,MSC Group,COMP_MSC,Canonical,Cargo fleet; owned/chartered split,Largest-scale global container network; Khalifa Port JV exposure,https://www.linescape.com/carriers/,Queued,"~1,000 cargo vessels in current company baseline",2026-09-07,
Tier 1,Container / liner,Maersk,A.P. Moller - Maersk,COMP_MAERSK,Canonical,Owned + chartered container fleet,Global liner / terminals / air-logistics ecosystem,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 1,Container / liner,COSCO SHIPPING Lines,COSCO SHIPPING Group,COMP_COSCO_LINES,Canonical,Container fleet + OOCL group mapping,China-linked global fleet; terminal ownership and corridor exposure,https://www.linescape.com/carriers/,Queued,456 container vessels baseline,2026-09-07,
Tier 1,Container / liner,Evergreen Marine,,COMP_EVERGREEN,Canonical,Current operating fleet,Major East-West liner,https://www.linescape.com/carriers/,Queued,208-vessel 2023 baseline requires refresh,2026-09-07,
Tier 1,Container / liner,Hapag-Lloyd,,COMP_HAPAG_LLOYD,Canonical,Owned + chartered container fleet,Top-tier liner; alliance/service exposure,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 1,Container / liner,Ocean Network Express (ONE),NYK / MOL / K Line JV,COMP_ONE,Canonical,Commercially operated container fleet,Top-tier liner and partner-service exposure,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 1,Container / liner,Yang Ming,,COMP_YANG_MING,Canonical,Commercially operated container fleet,Top-tier liner / Asia-Europe and transpacific exposure,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 1,Container / liner,HMM,,COMP_HMM,Canonical,Commercially operated container fleet,Korean top-tier liner; shipyard/orderbook relevance,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 1,Container / liner,PIL,,COMP_PIL,Canonical,Commercially operated container fleet,Strong Asia-Africa / regional corridor relevance,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 1,Container / liner,Wan Hai Lines,,COMP_WAN_HAI,Canonical,Commercially operated container fleet,Major intra-Asia and global operator,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 1,Container / liner,ZIM,,COMP_ZIM,Canonical,Containerships + car carriers; charter counterparties,High charter intensity makes owner/operator separation useful,https://www.linescape.com/carriers/,Queued,115 containerships + 13 car carriers,2026-09-07,
Tier 1,Container / liner,SINOKOR Merchant Marine,,COMP_SINOKOR,Canonical,Container / bulk operating fleet,Korean regional operator; already partially seeded,https://www.sinokor.co.kr/en/,In progress,66 operating-vessel headline plus separate 93-VLCC control benchmark,2026-09-07,"Reconcile whether 93-VLCC benchmark reflects SINOKOR operating company, related beneficial owners, controlled tonnage or post-acquisition group exposure."
Tier 1,Container / liner,Emirates Shipping Line,,COMP_ESL,Canonical,Container fleet and Gulf services,Direct Gulf / UAE relevance,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 1,Container / liner,SeaLead Shipping,,COMP_SEALEAD,Canonical,Commercially operated container fleet,Fast-growing independent operator and charter-market exposure,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 1,Feeder,Global Feeder Shipping (GFS),81% AD Ports Group,COMP_GFS,Canonical,Commercial carrier fleet + legal owner/operator mapping,Direct AD Ports strategic link; Hormuz attack exposure,https://www.linescape.com/carriers/66/,In progress,36 commercial-carrier vessels,2026-09-07,Separate from GFS Ship Management FZE.
Tier 1,Ship management,GFS Ship Management FZE,Legal corporate link to GFS to reconcile,COMP_GFS_SHIP_MGMT,Canonical,"Managed/in-house container, bulk and car-carrier fleets",Critical for identifying technical-management layer behind GFS-linked vessels,https://gfsmgmt.com/container-fleet/,In progress,30+ in-house vessels; 16 named container vessels seeded,2026-09-07,Do not automatically attribute every managed vessel to AD Ports / GFS commercial operation.
Tier 1,Feeder,SAFEEN Feeders,AD Ports Group / Noatum Maritime,COMP_SAFEEN_FEEDERS,Canonical,Feeder fleet and services,Core AD Ports feeder business alongside GFS and Transmar,https://www.adportsgroup.com/en/news-and-media/2026/06/24/ad-ports-group-increases-ownership-in-global-feeder-shipping,Queued,,2026-09-07,
Tier 1,Feeder,Transmar International Shipping,70% AD Ports Group,COMP_TRANSMAR,Canonical,Regional container / feeder fleet,AD Ports Egypt / Red Sea feeder exposure,https://www.adportsgroup.com/en/news-and-media/2022/09/14/ad-ports-group-completes-acquisition-of-majority-stakes-in-egypts-transmar-and-transcargo-intl,Queued,,2026-09-07,
Tier 1,Feeder,X-Press Feeders,,COMP_XPRESS,Canonical,Feeder fleet / charter network,One of the largest independent feeder networks,https://www.linescape.com/carriers/,Queued,,2026-09-07,
Tier 1,Feeder,Unifeeder,DP World,COMP_UNIFEEDER,Canonical,Feeder / short-sea fleet + DP World link,Important for DP World corporate and port-network exposure,https://www.linescape.com/carriers/,Queued,,2026-09-07,
