Rail Link ID,Rail Network ID,Origin Rail Node ID,Destination Rail Node ID,Via / Intermediate Nodes,Link Role,Status,Notes,Source ID
RAILLINK_0001,RAILNET_0001,RAILNODE_0001,RAILNODE_0008,Ruwais; ICAD; Khalifa; Dubai Industrial City; Jebel Ali; Al Ghail,National trunk,Operating,Ghuwaifat-Fujairah,SRC_0380
RAILLINK_0002,RAILNET_0002,RAILNODE_0009,RAILNODE_0010,Al Buraimi; Wadi Al Jizzi,Cross-border trunk,Under construction,Sohar-UAE network,SRC_0383
RAILLINK_0003,RAILNET_0003,RAILNODE_0011,RAILNODE_0012,Al-Ahsa; Buqayq; Al-Kharj; Haradh,Port-inland freight,Operating,Dammam-Riyadh,SRC_0384
RAILLINK_0004,RAILNET_0004,RAILNODE_0013,RAILNODE_0016,Aktau/Kuryk; Caspian,Trans-Caspian,Operating,Kazakhstan-Azerbaijan,SRC_0386
RAILLINK_0005,RAILNET_0005,RAILNODE_0016,RAILNODE_0022,Tbilisi; Akhalkalaki,BTK trunk,Operating,Baku-Kars,SRC_0387
RAILLINK_0006,RAILNET_0006,RAILNODE_0017,RAILNODE_0019,,Black Sea branch,Operating,Tbilisi-Poti,SRC_0388
RAILLINK_0007,RAILNET_0006,RAILNODE_0017,RAILNODE_0020,,Black Sea branch,Operating,Tbilisi-Batumi,SRC_0388
RAILLINK_0008,RAILNET_0007,RAILNODE_0023,RAILNODE_0029,Edmonton; Winnipeg,Pacific gateway,Operating,Prince Rupert-Chicago/inland,SRC_0390
RAILLINK_0009,RAILNET_0007,RAILNODE_0024,RAILNODE_0029,Edmonton; Winnipeg,Pacific gateway,Operating,Vancouver-Chicago/inland,SRC_0390
RAILLINK_0010,RAILNET_0007,RAILNODE_0026,RAILNODE_0029,Montreal; Toronto,Atlantic gateway,Operating,Halifax-inland,SRC_0390
RAILLINK_0011,RAILNET_0007,RAILNODE_0041,RAILNODE_0029,Memphis; Midwest,Gulf gateway,Operating,New Orleans-inland,SRC_0390
RAILLINK_0012,RAILNET_0008,RAILNODE_0024,RAILNODE_0029,,Pacific gateway,Operating,Vancouver-Chicago,SRC_0391
