Rail Node ID,Node,Country,Node Type,Primary Company ID,Linked Port ID,Linked Terminal ID,Status,Notes,Source ID
RAILNODE_0001,Ghuwaifat Border Rail Gateway,United Arab Emirates,Border gateway,COMP_ETIHAD_RAIL,,,Active,Saudi border end of UAE National Rail Network,SRC_0380
RAILNODE_0002,Ruwais Freight Facility,United Arab Emirates,Freight terminal,COMP_ETIHAD_RAIL,,,Active,Industrial freight node,SRC_0381
RAILNODE_0003,ICAD / Mussafah Freight Facility,United Arab Emirates,Freight terminal,COMP_ETIHAD_RAIL,,,Active,Industrial City of Abu Dhabi rail node,SRC_0381
RAILNODE_0004,Khalifa Port Rail Terminal,United Arab Emirates,Port rail terminal,COMP_ETIHAD_RAIL,PORTG0065,,Active,Rail interface at Khalifa Port,SRC_0381
RAILNODE_0005,Dubai Industrial City Rail Facility,United Arab Emirates,Freight terminal,COMP_ETIHAD_RAIL,,,Active,Industrial rail node,SRC_0381
RAILNODE_0006,Jebel Ali Port Rail Terminal,United Arab Emirates,Port rail terminal,COMP_ETIHAD_RAIL,PORTG0042,,Active,Rail interface at Jebel Ali,SRC_0381
RAILNODE_0007,Al Ghail Rail Freight Facility,United Arab Emirates,Freight terminal,COMP_ETIHAD_RAIL,,,Active,Northern UAE rail node,SRC_0381
RAILNODE_0008,Fujairah Port Rail Terminal,United Arab Emirates,Port rail terminal,COMP_ETIHAD_RAIL,PORTG0071,,Active,East coast rail-port interface,SRC_0381
RAILNODE_0009,Sohar Port Rail Gateway,Oman,Port rail terminal,COMP_HAFEET_RAIL,PORTG0251,,Under construction,Oman endpoint of Hafeet Rail,SRC_0382
RAILNODE_0010,Al Ain / UAE Rail Junction,United Arab Emirates,Junction,COMP_HAFEET_RAIL,,,Under construction,Hafeet Rail connection to UAE network,SRC_0383
RAILNODE_0011,King Abdulaziz Port Dammam Rail Terminal,Saudi Arabia,Port rail terminal,COMP_SAR,PORTG0227,,Active,Start of SAR East Freight corridor,SRC_0384
RAILNODE_0012,Riyadh Rail Freight / Dry Port Node,Saudi Arabia,Dry port / inland terminal,COMP_SAR,,,Active,Dammam-Riyadh inland endpoint,SRC_0384
RAILNODE_0013,China-Kazakhstan Border Gateway,Kazakhstan,Border gateway,COMP_KTZ,,,Active,Eastern Middle Corridor rail gateway,SRC_0386
RAILNODE_0014,Aktau Rail-Port Interface,Kazakhstan,Port rail interface,COMP_KTZ,,,Active,Caspian Middle Corridor interface,SRC_0386
RAILNODE_0015,Kuryk Port Rail Interface,Kazakhstan,Port rail interface,COMP_KTZ,PORTG0084,,Active,Caspian port rail node,SRC_0386
RAILNODE_0016,Baku / Alat Rail-Port Interface,Azerbaijan,Port rail interface,COMP_ADY,,,Active,Western Caspian rail hub,SRC_0386
RAILNODE_0017,Tbilisi Rail Hub,Georgia,Rail hub,COMP_GEORGIAN_RAILWAY,,,Active,Georgia transit hub,SRC_0388
RAILNODE_0018,Tbilisi Intermodal Hub,Georgia,Dry port / intermodal terminal,COMP_TBILISI_DRY_PORT,,,Active,AD Ports-led Tbilisi dry port / rail-road transfer,SRC_0278
RAILNODE_0019,Poti Rail-Port Interface,Georgia,Port rail interface,COMP_GEORGIAN_RAILWAY,PORTG0174,,Active,Black Sea gateway,SRC_0388
RAILNODE_0020,Batumi Rail-Port Interface,Georgia,Port rail interface,COMP_GEORGIAN_RAILWAY,PORTG0299,,Active,Black Sea gateway,SRC_0388
