Build Record ID,Vessel ID,Vessel Name,Shipyard ID,Shipyard,Build Country,Hull No.,Order Date,Delivery Date / Year,Build Status,Capacity,Fuel / Propulsion,Source ID,Notes
BUILD_000001,VESSEL_00109,BYD Explorer No.1,YARD_0014,CIMC Raffles / Yantai Raffles,China,,,2024,Delivered,"7,000 CEU",LNG dual-fuel,SRC_0091,Zodiac-owned; chartered to BYD.
BUILD_000002,VESSEL_00110,BYD Changzhou,YARD_0014,CIMC Raffles / Yantai Raffles,China,,,2024,Delivered,"7,000 CEU",LNG dual-fuel,SRC_0091,Zodiac-owned; chartered to BYD.
BUILD_000003,VESSEL_00111,BYD Hefei,YARD_0013,Guangzhou Shipyard International,China,,,2025,Delivered,"7,000 CEU",LNG dual-fuel,SRC_0091,First BYD-owned PCTC in this series.
BUILD_000004,VESSEL_00112,BYD Zhengzhou,YARD_0013,Guangzhou Shipyard International,China,,,2025-07-16,Delivered,"7,000 CEU",LNG dual-fuel,SRC_0091,Sister to BYD Hefei.
BUILD_000005,VESSEL_00113,BYD Shenzhen,YARD_0011,China Merchants Jinling Shipyard (Jiangsu) Co Ltd,China,,,2025-04,Delivered,"9,200 CEU",LNG dual-fuel + battery,SRC_0092,Deltamarin individual reference.
BUILD_000006,VESSEL_00114,BYD Xi'an,YARD_0011,China Merchants Jinling Shipyard (Jiangsu) Co Ltd,China,,,2025-06,Delivered,"9,200 CEU",LNG dual-fuel + battery,SRC_0095,Deltamarin individual reference.
BUILD_000007,VESSEL_00115,BYD Changsha,YARD_0012,China Merchants Heavy Industry (Jiangsu) Co Ltd,China,,,2025-06,Delivered,"9,200 CEU",LNG dual-fuel + battery,SRC_0093,Deltamarin individual reference.
BUILD_000008,VESSEL_00116,BYD Jinan,YARD_0011,China Merchants Jinling Shipyard (Jiangsu) Co Ltd,China,,,2025-09,Delivered,"9,200 CEU",LNG dual-fuel + battery,SRC_0094,Individual Deltamarin page maps Jinan to CMJL; class-level yard split requires reconciliation.
BUILD_000009,VESSEL_00016,Al Sadaf,YARD_0003,Jiangnan Shipyard,China,2703,2022,2025,Delivered,"175,000 m3",,SRC_0070,Part of USD1.2bn six-vessel Jiangnan LNG order.
BUILD_000010,VESSEL_00017,Arada,YARD_0003,Jiangnan Shipyard,China,2704,2022,2026-03,Delivered,"175,000 m3",,SRC_0070,Part of USD1.2bn six-vessel Jiangnan LNG order.
BUILD_000011,VESSEL_00018,Al Taweelah,YARD_0003,Jiangnan Shipyard,China,2705,2022,2026-04,Delivered,"175,000 m3",,SRC_0070,Part of USD1.2bn six-vessel Jiangnan LNG order.
