ID,Region,Country,Port / Location,Project / Asset,Primary Company / Authority,Other Parties,Opportunity Type,Commercial Opportunity,Project / Tender Stage,2026 Development / Status,Reported Amount,Local Currency,Value Type,USD per Local Unit,Converted Value (USD),Secondary Reported Value / Notes,Concession / Contract Term,Deadline / Timing,Next Procurement / Entry Point,Cargo / Infrastructure,Strategic Theme,Confidence,Source Date,Source URL
1,Asia-Pacific,Vietnam,Da Nang / Lien Chieu,Lien Chieu Container Port,APM Terminals,Hateco Group; Da Nang City,Greenfield terminal,Terminal development / EPC / equipment / digital / utilities,Construction / development,Agreement signed and project launched in 2026; planned capacity >5.7m TEU,1700000000,USD,Project CAPEX,1,1700000000,Estimated investment reported as over USD 1.7bn,Not stated,Groundbreaking 25 Apr 2026,"Follow-on berth construction, equipment, automation, utilities and landside connectivity",Container terminal,Central Vietnam gateway / liner-terminal integration,High,2026-04-25,https://akamai.apmterminals.com/en/news/news-releases/2026/260425-APM-Terminals-and-Hateco-partner-in-Da-Nang
2,Asia-Pacific,Bangladesh,Chattogram,Laldia Container Terminal,APM Terminals,Chittagong Port Authority; QNS Container Services,PPP / greenfield terminal,EPC / terminal systems / equipment / logistics,Construction,"Groundbreaking held 31 Aug 2026; adds 800,000 TEU",550000000,USD,Project CAPEX,1,550000000,Flagship Bangladesh-Denmark G2G-linked PPP investment,Not stated,Construction underway from Aug 2026,"Construction packages, equipment, gate/yard systems, logistics integration",Container terminal,Bay of Bengal / Bangladesh trade capacity,High,2026-08-31,https://www2.apmterminals.com/en/news/news-releases/2026/260831-APMTerminals-breaks-ground-in-Laldia
3,Latin America,Peru,Callao,North Terminal Stage 3B,APM Terminals Callao,Peruvian port stakeholders,Brownfield expansion,Civil works / equipment / automation / cargo systems,Construction,Stage 3B construction launched 26 Jun 2026; completion targeted 2030,570000000,USD,Project CAPEX,1,570000000,Capacity to rise to 1.75m containers and 18m tonnes general cargo,Multi-year,2026-2030,"Phase works, handling equipment, systems integration",Container + general cargo,Pacific South America gateway expansion,High,2026-06-26,https://akamai.apmterminals.com/en/callao/customer-zone/news-and-alerts/2026/260626-APM-Terminals-launches-next-phase-of-expansion-in-Callao
4,Latin America,Brazil,"Suape, Pernambuco",APM Terminals Suape,APM Terminals,Suape Port Complex,Greenfield terminal,Equipment / electrification / commissioning / support services,Final construction / commissioning,Terminal delivered into final stages before operations; first fully electrified facility in Latin America,350000000,USD,Project CAPEX,1,350000000,Separate 2026 equipment package reported at USD 47m,Not stated,Final stage in 2026,"Commissioning, electrified equipment support, maintenance, digital systems",Container terminal,Electrification / Northeast Brazil gateway,High,2026-06-12,https://www2.apmterminals.com/en/news/news-releases/2026/260612-APMTerminals-delivers-Suape-Brazil
5,Asia-Pacific,Philippines,"Bauan, Batangas",South Luzon Container Terminal,ICTSI,Bauan International Port stakeholders,Greenfield / conversion,Marine works / equipment / yard systems / road connectivity,Construction,ICTSI officially launched SLCT in Mar 2026; commercial operations targeted 2028,800000000,USD,Project CAPEX,1,800000000,Planned capacity up to 2m TEU annually,Not stated,Construction 2026-2028,"Follow-on civil works, cranes, automation, utilities and logistics support",Container terminal,Southern Luzon manufacturing gateway,High,2026-03-13,https://www.ictsi.com/press-releases/ictsi-officially-launches-south-luzon-container-terminal
6,Latin America,Ecuador,Posorja,DP World Posorja expansion,DP World,Local / national stakeholders,Brownfield expansion,Berth extension / equipment / terminal systems,Construction / inaugurated phase,700m quay expansion inaugurated; berth expected to reach 800m by end-2026,190000000,USD,Project CAPEX,1,190000000,Capacity target 1.4m TEU,Not stated,End-2026 berth milestone,"Remaining quay works, equipment and capacity optimization",Container terminal,Pacific coast capacity / deep-water gateway,High,2026-04-23,https://www.dpworld.com/en/news/dp-world-inaugurates-posorja-terminal-expansion-boosting-ecuadors-global-trade-capacity
7,Middle East,Syria,Tartous,Port of Tartous modernisation,DP World,Syrian Government,Concession / modernization,Port equipment / civil works / IT / logistics,Concession implementation,First new mobile harbour crane arrived; first phase of long-term modernization,800000000,USD,Committed investment,1,800000000,Three MHCs due; cargo-handling capacity expected +40%,30 years,First cranes Jun-Aug 2026,"Further crane packages, civil works, systems and logistics development",Multipurpose port,Eastern Mediterranean reconstruction / gateway,High,2026-07-01,https://www.dpworld.com/en/news/dp-world-advances-port-of-tartous-modernisation-with-arrival-of-first-new-mobile-harbour-crane
8,Middle East,Saudi Arabia,Jeddah Islamic Port,Southern Container Terminal transformation,DP World,APM Terminals,Brownfield expansion / strategic equity,Equipment / automation / electrification / terminal services,Ongoing investment,35 electric terminal tractors deployed; APM Terminals taking 37.5% minority stake,800000000,USD,Long-term committed investment,1,800000000,Stake price not disclosed; DP World retains 62.5%,30-year BOT concession,Ongoing through concession,"Equipment, electrification, maintenance and terminal technology",Container terminal,Red Sea hub / liner-terminal partnership,High,2026-07-15,https://www.dpworld.com/en/news/dp-world-advances-jeddah-terminal-transformation-with-35-new-electric-tractors
9,North America,Canada,"Fraser Surrey, British Columbia",Rail yard expansion,DP World,Local rail / port stakeholders,Rail-port connectivity,Rail works / track / signaling / construction,Construction,Rail capacity expansion underway; completion expected 31 Dec 2026,13300000,CAD,Project CAPEX,0.722674,9611564.200000001,Track length increases from ~7.2km to nearly 13km,Not stated,31 Dec 2026,"Rail construction, signaling, maintenance, agri-export logistics",Rail / agri-bulk,Port-rail resilience / Canadian exports,High,2026-05-14,https://www.dpworld.com/en/news/usa/rail-yard-expansion-fraser-surrey-terminal
10,North America,Canada,"Fraser Surrey, British Columbia",Marine access / training wall upgrade,DP World,Government of Canada,Marine infrastructure,Marine civil works / maintenance,Completed,"Upgrade completed, unlocking up to 2m tonnes additional annual export capacity",9000000,CAD,Project CAPEX,0.722674,6504066,Includes CAD 2m Government of Canada funding,Not stated,Completed by Jul 2026,Follow-on maintenance and marine-access optimization,Marine access / bulk exports,Export capacity / resilience,High,2026-07-09,https://www.dpworld.com/en/news/usa/2026_07_09_fraser-surrey-training-wall
