Investment ID,Company ID,Project,Country,Asset / Location,Announced Date,Reported Value,Currency,USD Value if Reported,Status,Capacity / Scope,Strategic Relevance,Source ID
INV001,COMP_CMA_CGM,2025 terminal portfolio investment programme,Global,,2025-12-31,2500000000,USD,2500000000,Completed / ongoing,Expansion to 66 terminals across 40 countries,Terminal capacity and end-to-end control,SRC_0031
INV002,COMP_CMA_TERMINALS,Jeddah Terminal 4 initial development,Saudi Arabia,"Terminal 4, Jeddah Islamic Port",2026-01-01,434000000,USD,434000000,Development,Up to 2.6m TEU target capacity,Saudi Red Sea gateway investment,SRC_0004
INV003,COMP_CEVA,FedEx Supply Chain acquisition,United States,FedEx Supply Chain,2026-07-01,1400000000,USD,1400000000,Pending close 2026,Would nearly triple CEVA North American contract logistics,Major North American logistics consolidation,SRC_0028
INV004,COMP_APMT,Lázaro Cárdenas Phase II,Mexico,APM Terminals Lázaro Cárdenas,2026-03-20,140000000,USD,140000000,Commissioned,Capacity to 2m TEU,Pacific gateway automation/electrification,SRC_0044
INV005,COMP_APMT,Lázaro Cárdenas Phase III,Mexico,APM Terminals Lázaro Cárdenas,2026-03-20,350000000,USD,350000000,Construction started,Further capacity expansion,Regional Mexico/Pacific trade growth,SRC_0044
INV006,COMP_APMT,Suape fully electric terminal,Brazil,APM Terminals Suape,2026-01-01,300000000,EUR,,Development / target Q3 2026,Port capacity +55% cited,Electrified terminal and Northeast Brazil gateway,SRC_0018
INV007,COMP_DPW,2025 strategic infrastructure capex,Global,Global portfolio,2025-12-31,3100000000,USD,3100000000,Invested,"Tuna Tekra, Banana, Ndayane, Posorja and London Gateway among major projects",Global network expansion,SRC_0034
INV008,COMP_ADPORTS,CLI acquisition,Brazil,CLI,2026-06-30,3100000000,AED,,Announced Q2 2026,Strategic entry into South America,Corridor expansion into Brazil,SRC_0010
INV009,COMP_ADPORTS,EGA dedicated berth infrastructure,United Arab Emirates,Khalifa Port,2026-06-30,84000000,AED,,Agreement,Enhance dedicated berth infrastructure,Industrial cargo integration,SRC_0010
INV010,COMP_GULFTAINER,Al Dhaid Multi-Modal Trade Corridor,United Arab Emirates,Al Dhaid,2026-06-10,,,,Development,150 ha; 1.5m TEU annual capacity,Inland extension for Khorfakkan and GCC,SRC_0041
INV011,COMP_FORTH,Port of Leith renewables hub transformation,United Kingdom,Leith,2026-01-01,100000000,GBP,,Invested / ongoing,£100m+ investment; 175-acre renewables hub,Offshore wind and renewables infrastructure,SRC_0007
INV012,COMP_ABP,Ready for Tomorrow green investment pipeline,United Kingdom,ABP network,2024-01-01,5500000000,GBP,,Planned over ~10 years,£5.5bn+ future green investment cited,Energy transition across UK ports,SRC_0002
INV013,COMP_STONEPEAK,United Ports LLC 25% stake,Global,United Ports LLC / 9 port terminals,2026-07-28,2400000000,USD,2400000000,Completed,25% stake; CMA CGM retains 75% and operational control,Private infrastructure capital enters strategic terminal portfolio,SRC_0256
INV014,COMP_BROOKFIELD_INFRA,Partial disposition of UK port operation,United Kingdom,PD Ports / UK port operation,2025-10-01,380000000,USD,380000000,Completed,Sold 34% interest and retained 25%,Ownership/control change in UK port infrastructure,SRC_0255
INV015,COMP_KKR,Four-asset UK logistics portfolio acquisition,United Kingdom,Stafford / Crewe / Ellesmere Port / Wakefield,2026-07-31,170000000,GBP,,Completed,1.25m sq ft across four logistics assets,Port-adjacent and inland logistics real-estate accumulation,SRC_0263
INV016,COMP_PROLOGIS,U.S. build-to-suit logistics JV with GIC,United States,Major U.S. logistics markets,2026-03-19,1600000000,USD,1600000000,Formed,Combined capital commitments; initial portfolio ~4.1m sq ft,Institutional capital supporting logistics distribution capacity,SRC_0267
INV017,COMP_LA_CAISSE,PLIVE pan-European logistics JV,Europe,France / Germany / Netherlands / Sweden / UK,2026-04-09,1000000000,EUR,,Formed,"EUR1bn seed portfolio; La Caisse 70%, Prologis 30%",Large institutional capital platform for European logistics real estate,SRC_0268
INV018,COMP_BLACKROCK,Acquisition of Global Infrastructure Partners,Global,Global Infrastructure Partners,2024-10-01,3000000000,USD,3000000000,Completed,$3bn cash plus BlackRock shares; GIP branded as part of BlackRock,Consolidates major port/transport infrastructure investment platform,SRC_0258
INV019,COMP_ADPORTS,Tbilisi Dry Port 60% majority acquisition,Georgia,Tbilisi Dry Port / Tbilisi Intermodal Hub,2024-08-15,,,,Completed,60% majority stake,Middle Corridor inland-terminal ownership and logistics real-estate exposure,SRC_0277
INV020,COMP_KEZAD,KEZAD East Port Said Economic Zone,Egypt,East Port Said industrial and logistics park,2025-01-01,120000000,USD,120000000,Development / phase 1,20 km2 park; phase 1 2.8 km2; 50-year renewable usufruct,Port-linked economic-zone and logistics-real-estate expansion,SRC_0281
INV021,COMP_STONEPEAK,Fort Worth rail-served logistics asset acquisition,United States,"Alliance submarket, Fort Worth, Texas",2026-08-11,,,,Completed,"860,100 sq ft; rail-served; BNSF Alliance / cargo-airport / I-35 access",Infrastructure-oriented logistics real estate on North American trade corridor,SRC_0285
INV022,COMP_DHL_SUPPLY_CHAIN,SILZ Riyadh regional logistics and distribution hub,Saudi Arabia,"Special Integrated Logistics Zone, Riyadh",2025-11-24,130000000,EUR,,Development,"78,000 sqm site; 53,000 sqm multi-user warehouse; 26-year lease; completion expected Q2 2027",Places DHL inside Saudi Arabia's airport-linked bonded logistics-zone strategy; part of wider €500m Middle East program.,SRC_0296
INV023,COMP_FEDERAL_EXPRESS,Delhi Integrated Air Cargo Hub,India,"GMR Cargo City, Delhi IGI Airport",2026-08-25,150000000,USD,150000000,Planned / development,"230,000 sq ft automated hub integrating gateway and pickup/delivery",Expands FedEx physical control at a major Indian air-cargo gateway.,SRC_0300
INV024,COMP_AMAZON_AIR,Amazon Air CVG Hub,United States,Cincinnati/Northern Kentucky International Airport,2021-08-05,1500000000,USD,1500000000,Operating,"800,000 sq ft hub on 600-acre site",Flagship air-logistics infrastructure supporting Amazon's integrated fulfilment network.,SRC_0306
