asset_id,equipment_type,quantity,specification,status,source_url
APM-LÁZARO-CÁRDENAS-TERMINAL,STS crane,8,Large automated/electrified gateway cranes,Operating,https://www2.apmterminals.com/en/lazaro-cardenas/about/our-terminal
APM-SUAPE-TERMINAL,STS crane,2,Fully electric terminal,Operating,https://www2.apmterminals.com/en/suape/about/our-terminal
APM-SUAPE-TERMINAL,eRTG,7,Remote-operation capable,Operating,https://www2.apmterminals.com/en/suape/about/our-terminal
APM-SUAPE-TERMINAL,Electric terminal tractor,14,,Operating,https://www2.apmterminals.com/en/suape/about/our-terminal
APM-SUAPE-TERMINAL,Electric reach stacker,2,,Operating,https://www2.apmterminals.com/en/suape/about/our-terminal
APM-SUAPE-TERMINAL,Electric empty handler,1,,Operating,https://www2.apmterminals.com/en/suape/about/our-terminal
APM-ABIDJAN-CÔTE-D-IVOIRE-TERMINAL-CIT,Electric STS crane,6,Post-Panamax,Operating,https://www2.apmterminals.com/en/cit/about/our-terminal
APM-ABIDJAN-CÔTE-D-IVOIRE-TERMINAL-CIT,Electric RTG,13,,Operating,https://www2.apmterminals.com/en/cit/about/our-terminal
APM-SUEZ-CANAL-CONTAINER-TERMINAL-SCCT,STS crane,18,,Operating,https://www2.apmterminals.com/en/scct/about/our-terminal
APM-SUEZ-CANAL-CONTAINER-TERMINAL-SCCT,RTG,60,,Operating,https://www2.apmterminals.com/en/scct/about/our-terminal
APM-AQABA,STS crane,7,,Operating,https://akamai.apmterminals.com/en/aqaba/about/our-terminal
APM-AQABA,RTG,22,,Operating,https://akamai.apmterminals.com/en/aqaba/about/our-terminal
APM-AQABA,Reach stacker,9,,Operating,https://akamai.apmterminals.com/en/aqaba/about/our-terminal
APM-AQABA,Empty handler,12,,Operating,https://akamai.apmterminals.com/en/aqaba/about/our-terminal
APM-AQABA,Terminal truck,46,,Operating,https://akamai.apmterminals.com/en/aqaba/about/our-terminal
APM-MEDPORT-TANGIER,STS crane,20,Dual-trolley,Operating,https://www2.apmterminals.com/en/medport-tangier/about/our-terminal
APM-MEDPORT-TANGIER,ARMG,70,Automated rail-mounted gantry,Operating,https://www2.apmterminals.com/en/medport-tangier/about/our-terminal
APM-MEDPORT-TANGIER,Shuttle carrier,65,,Operating,https://www2.apmterminals.com/en/medport-tangier/about/our-terminal
APM-APAPA,RTG,27,,Operating,https://www2.apmterminals.com/en/apapa/about/our-terminal
APM-APAPA,Mobile harbour crane,13,,Operating,https://www2.apmterminals.com/en/apapa/about/our-terminal
APM-APAPA,Reach stacker,7,,Operating,https://www2.apmterminals.com/en/apapa/about/our-terminal
APM-APAPA,Empty handler,6,,Operating,https://www2.apmterminals.com/en/apapa/about/our-terminal
APM-APAPA,Terminal truck,65,,Operating,https://www2.apmterminals.com/en/apapa/about/our-terminal
APM-ONNE,RTG,20,,Operating,https://www2.apmterminals.com/en/onne/about/our-terminal
APM-ONNE,Mobile harbour crane,5,,Operating,https://www2.apmterminals.com/en/onne/about/our-terminal
APM-ONNE,Reach stacker,7,,Operating,https://www2.apmterminals.com/en/onne/about/our-terminal
APM-ONNE,Empty handler,6,,Operating,https://www2.apmterminals.com/en/onne/about/our-terminal
APM-ONNE,Terminal truck,37,,Operating,https://www2.apmterminals.com/en/onne/about/our-terminal
APM-SHANGHAI,STS crane,15,Super-Panamax,Operating,https://www2.apmterminals.com/en/shanghai/about/our-terminal
APM-SHANGHAI,Additional quay crane,2,,Operating,https://www2.apmterminals.com/en/shanghai/about/our-terminal
