carrier_id,carrier,scac,fleet_universe_count,vessel_name,imo,flag,call_sign,mmsi,teu,dwt,gross_tonnage,net_tonnage,loa_m,beam_m,year_built,shipyard,registered_owner,beneficial_owner,commercial_operator,technical_manager,fuel_propulsion,relationship_basis,deployment_origin,deployment_destination,deployment_departure,deployment_arrival,source_url,source_type,verified_as_of,notes
COMP_MSC,MSC,MSCU,980,A-REX DEXTERITY,9345996,LR,5LOQ9,636024386,3534,41964,,,230.98,32.28,2008,Shanghai Shipyard Co. Ltd,,,,,,Observed in MSC schedule / commercial universe,,,,,https://www.a-rex.com/fleet,Owner fleet page,2026-09-07,
COMP_MSC,MSC,MSCU,980,A.P. MOLLER,9948803,DK,OZTM2,219677000,15794,,,,351,54,2024,"Hyundai HI, Ulsan",Maersk Line A/S,,Maersk,,,Observed in MSC commercial universe; not MSC-owned,,,,,https://www.econdb.com/maritime/vessels/219677000/A.P.%20MOLLER/,Vessel particulars + schedule evidence,2026-09-07,
COMP_MSC,MSC,MSCU,980,ALESSIA,9225653,LR,D5YJ5,636092976,,,,,,,,,,,,,,MSC carrier-universe association; shared vessel,,,,,https://www.linescape.com/vessels/888/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_MSC,MSC,MSCU,980,ALLEGRO,9142447,VC,J8B5341,376609000,,,,,,,,,,,,,,Listed in MSC commercial carrier/service universe,,,,,https://www.linescape.com/vessels/12294/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_MSC,MSC,MSCU,980,AMALTHEA,9397913,PT,CQDE,255805781,,,,,,,,,,,,,,Observed in MSC commercial universe,,,,,https://www.linescape.com/vessels/4270/,Linescape vessel record,2026-09-07,
COMP_MSC,MSC,MSCU,980,AS CAMELLIA,9314947,PT,CQAA7,255806121,,,,,,,,,,,,,,MSC carrier-universe association; shared vessel,,,,,https://www.linescape.com/vessels/2397/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_MSC,MSC,MSCU,980,AS SVENJA,9410284,LR,D5PZ2,636092824,,,,,,,,,,,,,,MSC schedule/service-universe association; shared across carriers,,,,,https://www.linescape.com/vessels/7227/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_MSC,MSC,MSCU,980,AYSE NAZ BAYRAKTAR,9397420,TR,TCTE5,271002587,,21417,15479,7600,156.65,24.70,2008,,,,,,,Listed in MSC commercial carrier/service universe,,,,,https://www.linescape.com/vessels/9372/,Linescape + owner particulars,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_MSC,MSC,MSCU,980,BMI EAGLE,9200093,LR,5LLQ3,636023036,,,4631,,,,,,EAGLECONT CO LTD,,,BAYRAKTAR GEMI ISLETMECILIGI VE KIRALAMA A.S.,,Listed in MSC commercial carrier/service universe,,,,,https://www.linescape.com/vessels/5804/,Linescape + ClassNK,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_MSC,MSC,MSCU,980,BREMEN,9450387,LR,D5WM8,636020326,,,,,,,,,,,,,,Listed in MSC commercial carrier/service universe,,,,,https://www.linescape.com/vessels/5162/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
