Network ID,Parent Company ID,Platform / Division Company ID,Platform / Division,Network Role,Modes,Asset Model,Reported Scale,Key Hubs / Nodes,Geographic Footprint,External Customer Offering,Strategic / Market Signal,Status,Source ID,Source URL,As Of,Notes
ILN_0001,COMP_DHL_AG,COMP_DHL_EXPRESS,DHL Express,Time-definite express / air-network integrator,Air; road; customs,Dedicated + partner airline network; airport hubs; service points,">275 dedicated aircraft; >2,400 daily flights; 23 hubs; >500 airports",Leipzig; Hong Kong; Cincinnati + regional hubs,220+ countries/territories,International express and time-definite logistics,Control/reliability through a virtual-airline model rather than a single legal carrier,Active,SRC_0290,https://group.dhl.com/content/dam/deutschepostdhl/en/investors/creditor-relations/presentations/DHL-Group-Credit-Investor-Presentation-April-2026.pdf,2026-09-07,
ILN_0002,COMP_DHL_AG,COMP_DHL_GLOBAL_FORWARDING,DHL Global Forwarding,Asset-light freight forwarder / multimodal orchestrator,Air; ocean; rail; road; customs,Carrier procurement + terminals/storage + forwarding control tower,>200 terminals/storage facilities; >115 countries,Global gateways; carrier networks,Global,External air/ocean/overland forwarding,Connects owned/controlled network assets with third-party carrier capacity,Active,SRC_0291,https://group.dhl.com/en/about-us/corporate-divisions/global-forwarding-freight.html,2026-09-07,
ILN_0003,COMP_DHL_AG,COMP_DHL_SUPPLY_CHAIN,DHL Supply Chain,Contract-logistics / physical-infrastructure operator,Warehousing; road; air/port-linked distribution,Owned/leased warehouses + customer sites + automation,~17.5m sqm owned/leased warehousing and operational space,Halle; SILZ Riyadh + global facilities,>55 countries,"Contract logistics, warehousing, fulfilment and 4PL",Capital is being placed beside major air/logistics nodes to capture regional distribution flows,Active,SRC_0292,https://group.dhl.com/en/about-us/corporate-divisions/supply-chain.html,2026-09-07,
ILN_0004,COMP_DHL_AG,COMP_DHL_ECOMMERCE,DHL eCommerce,Parcel / last-mile network,Road; parcel; cross-border e-commerce,Lockers + service points + delivery network,">53,000 lockers; >167,000 service points",Distributed consumer network,>20 countries,External parcel and e-commerce logistics,Extends DHL from international freight into final-mile customer access nodes,Active,SRC_0293,https://group.dhl.com/en/about-us/corporate-divisions/ecommerce-solutions.html,2026-09-07,
ILN_0005,COMP_FEDEX_CORP,COMP_FEDERAL_EXPRESS,Federal Express,Integrated express / industrial network,Air; road; customs; parcel,Owned/leased aircraft + hubs + surface facilities + contractors,"700 aircraft; >180,000 vehicles; ~84,000 drop-off locations",Memphis; Indianapolis; regional hubs; global gateways,220+ countries/territories,"External express, freight and logistics connectivity","FedEx's physical network connects air hubs, surface transport and global trade flows",Active,SRC_0297,https://www.sec.gov/Archives/edgar/data/1048911/000104891126000105/fdx-20260531.htm,2026-09-07,
ILN_0006,COMP_FEDEX_CORP,COMP_FEDEX_SUPPLY_CHAIN,FedEx Supply Chain,Contract logistics,Warehousing; fulfilment; returns,Warehouse / contract-logistics footprint,"Nearly 10,000 employees; proposed sale would nearly triple CEVA North America contract logistics",North American contract-logistics network,North America,External contract logistics,Pending sale shows convergence between parcel/express networks and ocean-led integrated logistics groups,Active / sale pending,SRC_0301,https://investors.fedex.com/news-and-events/investor-news/investor-news-details/2026/CMA-CGM-Group-to-Acquire-FedEx-Supply-Chain-at-an-Enterprise-Value-of-1-4-billion-Strengthening-Its-Logistics-Presence-in-North-America/default.aspx,2026-09-07,Do not treat CMA CGM/CEVA as current owner until closing is verified.
ILN_0007,,COMP_FEDEX_FREIGHT,FedEx Freight,Independent LTL network,Road; terminal-to-terminal LTL,Terminal network + tractor/vehicle fleet,"~355 terminals; nearly 30,000 vehicles; ~17,000 tractors",North American LTL terminals,North America,External LTL freight,Corporate separation changes ownership/control without removing its relevance to trade-system flows,Independent public company,SRC_0299,https://www.sec.gov/Archives/edgar/data/2082247/000162828026053359/fdxf-20260531.htm,2026-09-07,
ILN_0008,COMP_AMAZON,COMP_AMAZON_SUPPLY_CHAIN,Amazon Supply Chain Services,End-to-end external logistics platform,Ocean; air; rail; road; warehousing; parcel,Amazon internal logistics infrastructure opened to outside businesses,"80,000+ trailers; 24,000+ intermodal containers; 100+ aircraft","Amazon fulfilment, air and middle-mile network",Primarily U.S. with international origin connectivity,"Freight, distribution, fulfilment and parcel shipping for non-Amazon businesses",Converts Amazon's internal commerce network into a third-party logistics platform,Active,SRC_0302,https://press.aboutamazon.com/2026/5/amazon-launches-amazon-supply-chain-services-opening-its-logistics-network-to-all-businesses,2026-09-07,
ILN_0009,COMP_AMAZON,COMP_AMAZON_GLOBAL_LOGISTICS,Amazon Global Logistics,International freight forwarder / origin-to-network bridge,Ocean; air; customs; road,Carrier capacity + origin pickup + customs + Amazon destination network,Public scale not stated separately,China origins → U.S. Amazon network,Cross-border,External/integrated seller freight,Bridges maritime and air freight directly into Amazon fulfilment infrastructure,Active,SRC_0304,https://supplychain.amazon.com/ocean-freight,2026-09-07,
ILN_0010,COMP_AMAZON,COMP_AMAZON_FREIGHT,Amazon Freight,Middle-mile freight network,Road; rail/intermodal,Amazon trailers + intermodal equipment + external carrier network,"80,000+ trailers; 24,000+ containers; 50,000+ vetted carriers",U.S. trucking / intermodal corridors,United States,"FTL, LTL and intermodal services",Turns Amazon's demand-driven middle-mile capacity into a commercial freight product,Active,SRC_0303,https://freight.amazon.com/,2026-09-07,
