Vessel ID,Vessel Name,Owner Company ID,Owner Name,IMO,Verification Status,Confidence,Verified As Of,IMO Verification URL,Fleet Source ID,Vessel Status,Notes
VESSEL_00001,UGR Al Samha,COMP_UGR,United Global Ro-Ro,9973444,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9973444,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00002,UGR Zakher,COMP_UGR,United Global Ro-Ro,9980411,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9980411,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00003,UGR Al Reef,COMP_UGR,United Global Ro-Ro,9448138,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9448138,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00004,Al Jubail,COMP_UGR,United Global Ro-Ro,9547219,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9547219,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00005,Ramhan,COMP_UGR,United Global Ro-Ro,9668960,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9668960,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00006,UGR Arabian Gulf,COMP_UGR,United Global Ro-Ro,9431836,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9431836,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00007,Erk İzmir,COMP_UGR,United Global Ro-Ro,9179983,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9179983,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00008,Abu Samrah,COMP_UGR,United Global Ro-Ro,9925655,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9925655,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00009,UGR İstanbul,COMP_UGR,United Global Ro-Ro,9179995,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9179995,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00010,Saffet Bey,COMP_UGR,United Global Ro-Ro,8417118,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/8417118,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00011,Super Fast Baleares,COMP_UGR,United Global Ro-Ro,9398527,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9398527,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00012,Chang Sheng Hong,COMP_UGR,United Global Ro-Ro,9177040,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9177040,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00013,JINANAH,COMP_UGR,United Global Ro-Ro,9395343,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9395343,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00014,SDERIA,COMP_UGR,United Global Ro-Ro,9395355,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9395355,SRC_0060,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00015,CMA CGM MONTE CRISTO,COMP_CMA_CGM,CMA CGM Group,1021051,IMO populated — checksum valid,High,2026-09-07,https://www.linescape.com/vessels/120935/,SRC_0045,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00016,Al Sadaf,COMP_ADNOC_LS,ADNOC Logistics & Services,9972957,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9972957,SRC_0066,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00017,Arada,COMP_ADNOC_LS,ADNOC Logistics & Services,9972969,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9972969,SRC_0066,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00018,Al Taweelah,COMP_ADNOC_LS,ADNOC Logistics & Services,9972971,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9972971,SRC_0066,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00019,Al Hamra,COMP_ADNOC_LS,ADNOC Logistics & Services,9074640,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9074640,SRC_0066,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00020,Al Rahba,COMP_ADNOC_LS,ADNOC Logistics & Services,9965435,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9965435,SRC_0066,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00021,Al Reef,COMP_ADNOC_LS,ADNOC Logistics & Services,9972945,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9972945,SRC_0066,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00022,Al Shelila,COMP_ADNOC_LS,ADNOC Logistics & Services,9965423,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9965423,SRC_0066,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00023,Ish (FSU),COMP_ADNOC_LS,ADNOC Logistics & Services,9035864,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9035864,SRC_0066,Operating / FSU,IMO added in v1.3 enrichment pass.
VESSEL_00024,Mraweh,COMP_ADNOC_LS,ADNOC Logistics & Services,9074638,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9074638,SRC_0066,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00025,Mubaraz,COMP_ADNOC_LS,ADNOC Logistics & Services,9074626,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9074626,SRC_0066,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00026,Shahamah,COMP_ADNOC_LS,ADNOC Logistics & Services,9035852,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9035852,SRC_0066,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00027,Umm Al Ashtan,COMP_ADNOC_LS,ADNOC Logistics & Services,9074652,IMO populated — checksum valid,High,2026-09-07,https://www.vesselfinder.com/vessels/details/9074652,SRC_0066,Operating,IMO added in v1.3 enrichment pass.
VESSEL_00028,Ruwais LNG H2711,COMP_ADNOC_LS,ADNOC Logistics & Services,,Pending — hull/newbuild,Pending,2026-09-07,,SRC_0066,On order / newbuild,Hull/newbuild record; no public IMO was confidently resolved in this pass.
VESSEL_00029,Ruwais LNG H2712,COMP_ADNOC_LS,ADNOC Logistics & Services,,Pending — hull/newbuild,Pending,2026-09-07,,SRC_0066,On order / newbuild,Hull/newbuild record; no public IMO was confidently resolved in this pass.
VESSEL_00030,Ruwais LNG H2713,COMP_ADNOC_LS,ADNOC Logistics & Services,,Pending — hull/newbuild,Pending,2026-09-07,,SRC_0066,On order / newbuild,Hull/newbuild record; no public IMO was confidently resolved in this pass.
VESSEL_00031,Ruwais LNG H2714,COMP_ADNOC_LS,ADNOC Logistics & Services,,Pending — hull/newbuild,Pending,2026-09-07,,SRC_0066,On order / newbuild,Hull/newbuild record; no public IMO was confidently resolved in this pass.
VESSEL_00032,Ruwais LNG H2598,COMP_ADNOC_LS,ADNOC Logistics & Services,,Pending — hull/newbuild,Pending,2026-09-07,,SRC_0066,On order / newbuild,Hull/newbuild record; no public IMO was confidently resolved in this pass.
VESSEL_00033,Ruwais LNG H2599,COMP_ADNOC_LS,ADNOC Logistics & Services,,Pending — hull/newbuild,Pending,2026-09-07,,SRC_0066,On order / newbuild,Hull/newbuild record; no public IMO was confidently resolved in this pass.
