carrier_id,carrier,scac,fleet_universe_count,vessel_name,imo,flag,call_sign,mmsi,teu,dwt,gross_tonnage,net_tonnage,loa_m,beam_m,year_built,shipyard,registered_owner,beneficial_owner,commercial_operator,technical_manager,fuel_propulsion,relationship_basis,deployment_origin,deployment_destination,deployment_departure,deployment_arrival,source_url,source_type,verified_as_of,notes
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,ACHELOOS,9972995,MH,V7A6461,538011019,,,,,,,,,,,,,,Listed in Hapag-Lloyd commercial carrier universe,,,,,https://www.linescape.com/vessels/114445/,Linescape vessel record,2026-09-07,
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,AFIF,9732345,DE,DINY2,,14993,,,,,,2017,,,,,,,Listed in Hapag-Lloyd commercial carrier universe,,,,,https://www.maersklinelimited.com/schedules/vesselSchedules?fromDate=2026-07-25&vesselCode=IC0,Official schedule particulars,2026-09-07,
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,AIN SNAN EXPRESS,9525869,LR,5LLM5,636093182,,,,,,,,,,,,,,Hapag-Lloyd carrier/service-universe association; shared with Maersk,,,,,https://www.linescape.com/vessels/8946/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,AL JASRAH,9732321,LR,5LIJ8,636093137,,,,,,,,,,,,,,Listed in Hapag-Lloyd commercial carrier/service universe,,,,,https://www.linescape.com/vessels/54550/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,AL JMELIYAH,9732357,DE,DIFL2,211886490,,,,,,,,,,,,,,Hapag-Lloyd service universe; shared with Maersk,,,,,https://www.linescape.com/vessels/53058/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,AL MANAMAH,9349538,LR,D5MD7,636093140,,,,,,,,,,,,,,Hapag-Lloyd service universe; shared with Maersk,,,,,https://www.linescape.com/vessels/3365/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,AL MASHRAB,9732319,LR,5LLM4,636093181,,,,,,,,,,,,,,Hapag-Lloyd service universe; shared with Maersk,,,,,https://www.linescape.com/vessels/53267/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,AL MURABBA,9708837,LR,5LLA7,636093171,,,,,,,,,,,,,,Hapag-Lloyd service universe; shared with Maersk,,,,,https://www.linescape.com/vessels/37890/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,AL MURAYKH,9708863,DE,DPAN,211897760,,,,,,,,,,,,,,Hapag-Lloyd service universe; shared with Maersk,,,,,https://www.linescape.com/vessels/43183/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,AL NASRIYAH,9708849,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Ningbo,Shanghai,,,https://www.fluentcargo.com/carriers/scac/HLCU,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,ALVA MAERSK,9961817,DK,OZEY2,219734000,,,,,,,,,,,,,,Hapag-Lloyd schedule association; Maersk-branded shared deployment,,,,,https://www.linescape.com/vessels/116733/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,AMALTHEA,9397913,PT,CQDE,255805781,,,,,,,,,,,,,,Active Hapag-Lloyd schedule evidence,,,,,https://www.linescape.com/vessels/4270/,Linescape vessel record,2026-09-07,
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,ANE MAERSK,9948748,DK,OZIA2,219561000,,,,,,,,,,,,,,Hapag-Lloyd schedule association; Maersk-branded shared deployment,,,,,https://www.linescape.com/vessels/113234/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,ANGELICA MAERSK,9948798,DK,OZRZ2,219658000,,,,,,,,,,,,,,Hapag-Lloyd schedule association; Maersk-branded shared deployment,,,,,https://www.linescape.com/vessels/115523/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,ANTONIA MAERSK,9948762,DK,OZHV2,219614000,,,,,,,,,,,,,,Hapag-Lloyd schedule association; Maersk-branded shared deployment,,,,,https://www.linescape.com/vessels/114348/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,AS SVENJA,9410284,LR,D5PZ2,636092824,,,,,,,,,,,,,,Hapag-Lloyd schedule association; shared across carriers,,,,,https://www.linescape.com/vessels/7227/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,ASG PORTOFINO,9229087,PW,T8A4548,511101258,,,,,,,,,,,,,,Hapag-Lloyd schedule association; shared across Hapag/Maersk/CMA,,,,,https://www.linescape.com/vessels/19012/,Linescape vessel / carrier universe record,2026-09-07,Carrier/service-universe evidence; does not by itself establish legal ownership.
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,CARTAGENA EXPRESS,9777618,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Rotterdam,London Gateway,,,https://www.fluentcargo.com/carriers/scac/HLCU,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,DAMIETTA EXPRESS,9543108,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Tanger Med,Singapore,,,https://www.fluentcargo.com/carriers/scac/HLCU,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,SALERNO EXPRESS,9439761,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Singapore,Mombasa,,,https://www.fluentcargo.com/carriers/scac/HLCU,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
COMP_HAPAG_LLOYD,Hapag-Lloyd,HLCU,478,VALPARAISO EXPRESS,9777589,,,,,,,,,,,,,,,,,SCHEDULED_BY / SERVICE_DEPLOYMENT,Antwerp,Caucedo,,,https://www.fluentcargo.com/carriers/scac/HLCU,Carrier schedule / service deployment,2026-09-07,Do not infer ownership/management from schedule
