source_id,publisher,source_type,coverage,url,checked_as_of,reliability,ingestion_method,active,notes
SRC_ADPORTS_CORP,AD Ports Group,Official / primary,Corporate profile,https://www.adportsgroup.com/en/about-us,2026-09-07,High,HTML/API/manual,Yes,Canonical company source.
SRC_ADPORTS_ANNUAL,AD Ports Group,Official / primary,Annual report / market-price history,https://www.adportsgroup.com/en/investors/annual-report,2026-09-10,High,PDF/HTML,Yes,Financial and historical market data.
SRC_ADPORTS_RESULTS,AD Ports Group,Official / primary,FY2025 results,https://www.adportsgroup.com/en/news-and-media/2026/02/12/ad-ports-group-reports-record-2025-revenue,2026-09-10,High,HTML,Yes,Financial metrics.
SRC_ADPORTS_Q2,AD Ports Group,Official / primary,Q2 2026 results,https://www.adportsgroup.com/en/news-and-media/2026/08/14/ad-ports-group-reports-q2-2026-net-profit-of-aed-836-million-demonstrating-strong-performance,2026-09-10,High,HTML,Yes,Financial metrics.
SRC_ADPORTS_LISTING,AD Ports Group,Official / primary,ADX listing,https://www.adportsgroup.com/en/news-and-media/2022/02/06/ad-ports-group-successfully-closes-aed-4-billion-primary-issuance-and-is-set-to-complete-listing-of,2026-09-10,High,HTML,Yes,Listing reference.
SRC_ADPORTS_INV,AD Ports Group,Official / primary,Investments / acquisitions,https://www.adportsgroup.com/en/news-and-media/2026/06/02/ad-ports-group-acquires-cli,2026-09-10,High,HTML,Yes,CLI transaction; investment seed.
SRC_ADPORTS_TBILISI,AD Ports Group,Official / primary,Tbilisi Dry Port investment / ownership,https://www.adportsgroup.com/,2026-09-10,High,HTML/manual,Yes,Seed reference; retain exact underlying article in full migration.
SRC_GULFTAINER_CORP,Gulftainer,Official / primary,Corporate profile,https://gulftainer.com/,2026-09-10,High,HTML,Yes,Canonical company source.
SRC_GULFTAINER_INV,Gulftainer / reporting,Official / secondary,Al Dhaid corridor development,https://gulftainer.com/,2026-09-10,Medium-High,HTML/manual,Yes,Seed reference; exact project source to be retained during migration.
SRC_CMA_CORP,CMA CGM Group,Official / primary,Corporate profile / terminals,https://www.cma-cgm.com/,2026-09-10,High,HTML,Yes,Canonical company source.
SRC_PGSA_PC,Power & Corridors,P&C analysis / curated,"PGSA blacklist, list expansion and STS exposure",https://www.powerncorridors.com/the-pgsa-blacklist-irans-expanding-maritime-compliance-regime-in-the-strait-of-hormuz/,2026-09-10,Medium-High,HTML/manual,Yes,Curated regime monitor pending a machine-readable primary list.
SRC_JCG,Japan Coast Guard,Official / primary,"Japan maritime incidents, rescue and navigation",https://www.kaiho.mlit.go.jp/e/topics_archive/index.html,2026-09-10,High,HTML monitor,Yes,Primary MARSEC feed.
SRC_KCG,Korea Coast Guard,Official / primary,South Korea maritime incidents,https://www.kcg.go.kr/,2026-09-10,High,HTML monitor,Yes,Primary MARSEC feed; regional stations may publish first.
SRC_ICG,Indian Coast Guard,Official / primary,"India SAR, casualty, pollution and maritime assistance",https://indiancoastguard.gov.in/,2026-09-10,High,HTML monitor,Yes,Primary Indian MARSEC operational feed.
SRC_DGS_INDIA,Directorate General of Shipping India,Official / primary,Marine casualty investigation and safety guidance,https://www.dgshipping.gov.in/,2026-09-10,High,HTML/PDF monitor,Yes,Regulatory/casualty follow-up source.
SRC_GASLOG_REF,Public vessel-reference source,Secondary vessel reference,GasLog Shanghai identity / ownership,https://www.shipspotting.com/photos/3877208,2026-09-10,Medium,Manual/API later,Yes,Reverify ownership through stronger maritime registry source.
SRC_ALREK_REF,Public vessel-reference source,Secondary vessel reference,Al Rekayyat identity / ownership,https://www.ship-db.de/nawbn.php?wbn_nr=hyhu1910010E,2026-09-10,Medium,Manual/API later,Yes,Reverify ownership through stronger maritime registry source.
SRC_HORMUZ_MON,P&C / public monitoring sources,Curated monitoring,Hormuz traffic and operational conditions,https://www.powerncorridors.com/intelligence/,2026-09-10,Medium-High,API + analysis,Yes,Watch-area source family.
SRC_N_EU_STRIKE,Power & Corridors / reporting,Curated / secondary,Northern Europe port strikes,https://www.powerncorridors.com/regional-trade-alert-04-sept-2026-northern-europe/,2026-09-10,High,HTML/manual,Yes,Operational disruption seed.
SRC_TYPHOON_DOLPHIN,Reuters,Major news,Typhoon Dolphin multimodal disruption,https://www.reuters.com/business/environment/typhoon-dolphin-hits-japans-okinawa-china-shuts-ports-ahead-landfall-2026-08-08/,2026-09-10,High,News monitor,Yes,Weather/disruption seed.
SRC_ZAYED_EVENT,Reuters,Major news,Zayed Port strike/damage reporting,https://www.reuters.com/world/middle-east/several-loud-blasts-heard-over-dubai-doha-second-day-witnesses-say-2026-03-01/,2026-09-10,Medium-High,News monitor,Yes,Conflict/security seed.
SRC_ROTTERDAM_EVENT,Reuters,Major news,Rotterdam port explosion,https://www.reuters.com/world/europe/rotterdam-port-explosion-causes-one-death-police-say-2026-08-13/,2026-09-10,High,News monitor,Yes,Port incident seed.
SRC_LADONNA_EVENT,BlackSeaNews,Specialist / database,LADONNA attack,https://www.blackseanews.net/en/read/247386,2026-09-10,High,HTML/database,Yes,Black Sea vessel attack seed.
SRC_GENOA_EVENT,Splash247,Specialist maritime media,Genoa breakwater milestone,https://splash247.com/genoa-pushes-ahead-with-megaship-access-expansion/,2026-09-10,Medium-High,News monitor,Yes,Infrastructure event seed.
SRC_MOREBAYA_EVENT,SimFer,Official / primary,Morebaya port commissioning,https://simfer-sa.com/en/media-centre/press-releases/simfer-starts-staged-commissioning-of-key-port-infrastructure-at-morebaya/,2026-09-10,High,HTML,Yes,Infrastructure commissioning seed.
