Route ID,System ID,Route Name,Origin Terminal ID,Origin Terminal,Destination Terminal ID,Destination Terminal,Country 1,Country 2,Cross-Border,Service Type,Vehicle / Freight,Typical Duration,Frequency / Cadence,Seasonality,Reservation / Booking,Route Status,Intermediate Stops / Corridor Notes,Source URL
FERRY_ROUTE_0001,FERRY_SYS_0001,Tsawwassen - Swartz Bay,FERRY_TERM_0001,Tsawwassen,FERRY_TERM_0002,Swartz Bay,Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,~1h35 typical - populate precisely later,Multiple daily,Year-round,Bookable,Active,,https://www.bcferries.com/routes-fares/discover-route-map
FERRY_ROUTE_0002,FERRY_SYS_0001,Tsawwassen - Duke Point,FERRY_TERM_0001,Tsawwassen,FERRY_TERM_0003,Duke Point,Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Multiple daily,Year-round,Bookable,Active,,https://www.bcferries.com/routes-fares/discover-route-map
FERRY_ROUTE_0003,FERRY_SYS_0001,Horseshoe Bay - Departure Bay,FERRY_TERM_0004,Horseshoe Bay,FERRY_TERM_0005,Departure Bay,Canada,Canada,No,Ro-Pax / vehicle ferry,Yes,,Multiple daily,Year-round,Bookable / advance purchase,Active,,https://www.bcferries.com/routes-fares/discover-route-map
FERRY_ROUTE_0004,FERRY_SYS_0001,Port Hardy - Prince Rupert,FERRY_TERM_0006,Port Hardy (Bear Cove),FERRY_TERM_0007,Prince Rupert,Canada,Canada,No,Long-distance Ro-Pax,Yes,,Scheduled,Seasonal / timetable-driven,Bookable,Active,,https://www.bcferries.com/on-the-ferry/our-fleet
FERRY_ROUTE_0005,FERRY_SYS_0002,Seattle - Bainbridge Island,FERRY_TERM_0008,Seattle,FERRY_TERM_0009,Bainbridge Island,United States,United States,No,Ro-Pax / commuter ferry,Yes,,High frequency,Year-round,,Active,,https://wsdot.wa.gov/travel/washington-state-ferries
FERRY_ROUTE_0006,FERRY_SYS_0002,Seattle - Bremerton,FERRY_TERM_0008,Seattle,FERRY_TERM_0010,Bremerton,United States,United States,No,Ro-Pax / commuter ferry,Yes,,Multiple daily,Year-round,,Active,,https://wsdot.wa.gov/travel/washington-state-ferries
FERRY_ROUTE_0007,FERRY_SYS_0002,Edmonds - Kingston,FERRY_TERM_0011,Edmonds,FERRY_TERM_0012,Kingston,United States,United States,No,Ro-Pax / commuter ferry,Yes,,High frequency,Year-round,,Active,,https://wsdot.wa.gov/travel/washington-state-ferries
FERRY_ROUTE_0008,FERRY_SYS_0002,Port Townsend - Coupeville,FERRY_TERM_0013,Port Townsend,FERRY_TERM_0014,Coupeville,United States,United States,No,Ro-Pax ferry,Yes,,Scheduled,Year-round / tide constrained,,Active,Low tides can disrupt service.,https://wsdot.wa.gov/travel/washington-state-ferries
FERRY_ROUTE_0009,FERRY_SYS_0002,Anacortes - San Juan Islands,FERRY_TERM_0015,Anacortes,FERRY_TERM_0016,Friday Harbor / San Juan Islands,United States,United States,No,Ro-Pax / island ferry,Yes,,Scheduled,Year-round,Reservations on select services,Active,Multi-stop island network.,https://wsdot.wa.gov/travel/washington-state-ferries
FERRY_ROUTE_0010,FERRY_SYS_0003,Southeast Mainline,FERRY_TERM_0017,Bellingham,FERRY_TERM_0018,Skagway,United States,United States,No,Long-distance marine highway,Yes,,Scheduled,Year-round / seasonal variation,Reservation,Active,"Intermediate stops include Ketchikan, Wrangell, Petersburg, Juneau and Haines.",https://dot.alaska.gov/amhs/route.shtml
FERRY_ROUTE_0011,FERRY_SYS_0003,Homer - Dutch Harbor,FERRY_TERM_0019,Homer,FERRY_TERM_0020,Dutch Harbor,United States,United States,No,Long-distance marine highway,Yes,,Scheduled,Seasonal/weather constrained,Reservation,Active,"Intermediate stops include Kodiak, Chignik, Sand Point, King Cove, Cold Bay, False Pass and Akutan.",https://dot.alaska.gov/amhs/route.shtml
