GL Port ID,System ID,Port Name,Country,State / Province,Waterway,Port Model,Authority / Operator,Cargo Focus,Rail / Inland Connectivity,Cruise Role,Industrial / Infrastructure Notes,System Role,Research Status,Source ID,Source URL
GL_PORT_0001,SYS_GLSS,Ashtabula,United States,Ohio,Lake Erie,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0002,SYS_GLSS,Burns Harbor,United States,Indiana,Lake Michigan,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0003,SYS_GLSS,Calcite,United States,Michigan,Lake Huron,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0004,SYS_GLSS,Chicago,United States,Illinois,Lake Michigan,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0005,SYS_GLSS,Cleveland,United States,Ohio,Lake Erie,Public / private port complex,To populate,Bulk; steel/industrial; containerized cargo; general cargo,To populate,Cruise capable,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/aglpa-members/port-of-cleveland/
GL_PORT_0006,SYS_GLSS,Conneaut,United States,Ohio,Lake Erie,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0007,SYS_GLSS,Detroit,United States,Michigan,Detroit River,Public / private port complex,To populate,Dry bulk; industrial; international commerce,To populate,Cruise/passenger capable,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/aglpa-members/port-detroit/
GL_PORT_0008,SYS_GLSS,Duluth,United States,Minnesota,Lake Superior,Public / private port complex,Duluth Seaway Port Authority + private terminal operators,Iron ore; coal; grain; limestone; breakbulk; project cargo; containers,Four Class I rail carriers at Clure terminal,Yes / Great Lakes cruise capability,Shipyard; dry docks; fueling; intermodal terminal; warehouses,Core AGLPA economic-impact port,Seeded,SRC_0151,https://duluthport.com/business/port-operations-and-facilities/
GL_PORT_0009,SYS_GLSS,Erie,United States,Pennsylvania,Lake Erie,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
GL_PORT_0010,SYS_GLSS,Green Bay,United States,Wisconsin,Green Bay / Lake Michigan,Public / private port complex,To populate,Bulk / general cargo / industrial mix to populate,To populate,To populate,To populate,Core AGLPA economic-impact port,Seeded,SRC_0149,https://www.greatlakesports.org/wp-content/uploads/2024/03/2023-Chicago-v2-9-13-23.pdf
