Research ID,Dataset,Subject,Priority,Task,Status
RQ_0001,Vessels,CMA CGM Group,High,"Build full owned/operated vessel register: vessel name, IMO, type, TEU, flag, year, owner, operator, shipyard, service.",Not started
RQ_0002,Vessels,A.P. Moller - Maersk,High,Build full vessel register and separate owned vs chartered fleet; connect newbuild orderbook and shipyards.,Not started
RQ_0003,Vessels,MSC,High,Build full cargo-vessel register and separate owned/chartered status where public data supports it.,Not started
RQ_0004,Vessels,COSCO SHIPPING / OOCL,High,Build full container fleet and map group fleets by segment.,Not started
RQ_0005,Vessels,Evergreen Marine,High,Refresh from latest official filings / fleet sources; existing 208-vessel figure is 2023 baseline only.,Not started
RQ_0006,Cruise,MSC Cruises / Explora,Medium,"Add cruise fleet, newbuilds, shipyards, homeports and terminal relationships.",Not started
RQ_0007,Air cargo,Maersk Air Cargo,High,"Build aircraft register, registrations, hubs, owned/leased status and route lanes.",Not started
RQ_0008,Air cargo,CMA CGM AIR CARGO,High,Build aircraft-level register and future A350F deliveries.,Not started
RQ_0009,Ports,Canada / US / Brazil / Singapore / Malaysia,High,Build landlord/authority/operator/equity/concession model and infrastructure works.,Not started
RQ_0010,Ports,China,High,"Dedicated port-ownership workstream: port groups, COSCO stakes, foreign/JV interests, terminals, rail/inland links.",Not started
RQ_0011,Infrastructure,Global port operators,High,"Mine press releases for dredging, berth deepening, cranes, rail links, warehouses, channel works and terminal capacity changes.",Not started
RQ_0012,Trade policy,Global,Medium,"Add FTAs/CEPAs, tariffs, export controls, sanctions, customs corridors and trade remedies.",Not started
RQ_0013,Vessels,ADNOC L&S / Navig8 / AW Shipping,High,"Resolve IMO, flag, build year and current delivery status for the 93 seeded shipping-fleet records; identify the remaining vessels needed to reconcile the 112-vessel shipping-fleet total.",Not started
RQ_0014,Vessels,Bahri,High,"Build the full 107-owned-vessel register by name, IMO, class, ownership vehicle, charter status, age, shipyard and service; retain separate 109-operated total.",Not started
RQ_0015,Vessels,Nakilat,High,Reconcile current live-fleet definitions against annual-report baselines; build individual existing LNG/LPG/FSRU fleet plus newbuilds.,Not started
RQ_0016,Vessels,Milaha,High,Populate the two wholly owned LNG vessels and one FSO by name/IMO; add minority stakes in six LNG carriers as vessel relationships rather than ownership.,Not started
RQ_0017,Vessels,QatarEnergy LNG fleet,High,"Map the 69 existing LNG vessels and 128-vessel expansion program to actual shipowners, operators, long-term charterers, shipyards and delivery schedules.",Not started
RQ_0018,Vessels,ZIM,High,"Populate names, owners and charter counterparties for 115 containerships and 13 car carriers; link the 40-vessel future charter portfolio.",Not started
RQ_0019,Vessels,SINOKOR,High,"Reconcile 66 operating-fleet headline with named public vessel page; enrich missing IMO, flag, class and shipyard fields.",Not started
RQ_0020,Vessels,bp Shipping,High,"Replace end-2024 48-vessel baseline with current 2026 fleet; separate owned, bareboat, time-chartered and managed vessels.",Not started
RQ_0021,Vessels,Chevron Shipping,High,Establish current fleet count and individual crude/LNG/product vessels; distinguish owned from bareboat-chartered capacity.,Not started
RQ_0022,Vessels,ExxonMobil / SeaRiver / IMT,High,"Build current marine-company and charter exposure from regulatory filings, shipping counterparties and cargo bookings; do not treat chartered capacity as Exxon-owned.",Not started
RQ_0023,Vehicle logistics,BYD,Medium,"Resolve technical/commercial managers, full ownership vehicles and the class-level yard allocation discrepancy; add service corridors and port calls.",Not started
RQ_0024,Vehicle logistics,Global PCTC operators,High,"Next pass: Höegh Autoliners, Wallenius Wilhelmsen, NYK, MOL, K Line, Hyundai Glovis, Grimaldi, SAIC/Anji and major automaker-controlled export fleets.",Not started
RQ_0025,Energy shipping,Global energy majors,High,"Next pass: Shell, TotalEnergies, Saudi Aramco / Bahri contract exposure, Kuwait Petroleum, OQ, Petrobras and trading houses with controlled/chartered fleets.",Not started
RQ_0026,Shipyards,Current merchant orderbook,High,"Expand builder layer across Chinese, Korean, Japanese and Gulf yards; connect each fleet order to yard ownership, capacity, delivery slots and industrial investment.",Not started
RQ_0027,Event entity resolution,Fleet incidents,High,"Use IMO/name matching plus manual review to link all piracy, conflict, port, weather and cyber observations to vessel/company/asset entities.",Not started
RQ_0028,IMO enrichment,ADNOC L&S / AW Shipping newbuilds,High,"Resolve public IMOs for remaining Ruwais LNG hulls, VLAC/VLEC newbuilds and the unnamed molten-sulphur newbuild as identities become public.",In progress
RQ_0029,IMO enrichment,Fleet-wide maintenance,High,Require IMO capture and checksum validation whenever a new individual merchant vessel is added to the canonical model.,Ongoing
RQ_0030,Ferry vessels,BC Ferries,High,"Populate all 39 ferries with IMO where applicable, Canadian Official Number, MMSI, class, capacity, build year/yard, propulsion, route assignment and current status.",Not started
RQ_0031,Ferry vessels,Washington State Ferries,High,"Populate all 21 ferries with USCG Official Number, IMO where assigned/applicable, MMSI, class, passenger/vehicle capacity, propulsion and route assignment.",Not started
RQ_0032,Ferry routes / terminals,BC Ferries + WSF,High,"Build complete terminal and route network with latitude/longitude, terminal ownership, vehicle staging, reservations, dangerous-goods and multimodal connections.",Not started
RQ_0033,Ferry operations,BC Ferries + WSF,High,Ingest delay/cancellation/performance data using normalized cause taxonomy; preserve sailing-level observations separately from aggregate performance.,Not started
RQ_0034,Ferry vessels,Alaska Marine Highway + Marine Atlantic,High,"Resolve IMO/USCG/Canadian identifiers, capacities, fleet status and shipyards; connect maintenance/overhaul to yards and service reductions.",Not started
RQ_0035,Ferry Europe,P&O Ferries / DFDS / CalMac,High,"Populate vessel fleets, IMO, Ro-Pax capacity, lane metres, routes, terminals, freight corridors, labour/weather/mechanical disruptions and parent-company relationships.",Not started
RQ_0036,Ferry Asia,MOL Sunflower / 2GO / ASDP / Star Ferry,High,"Populate individual fleets with IMO/national IDs, passenger/vehicle capacity, routes, ports, terminals, shipyards and service advisories.",Not started
RQ_0037,Ferry Middle East,Arab Bridge Maritime / Red Sea,High,Populate seven-vessel AB Maritime fleet and Aqaba/Nuweiba/Taba terminals; link Aqaba and Safaga/NEOM passenger systems to AD Ports assets and corridor relationships.,Not started
RQ_0038,Ferry Oceania,SeaLink / Fullers360,Medium,"Populate ferry IMO/national IDs, terminals, timetable patterns, newbuilds and service alerts; capture road-to-terminal disruption propagation.",Not started
RQ_0039,Ferry global coverage,Operator expansion,High,"Next global systems: Stena Line, Brittany Ferries, Irish Ferries, Tallink Silja, Color Line, GNV/Grimaldi, Attica/Blue Star, Jadrolinija, Sydney Ferries, Transdev/Brisbane, major Indian/Bangladesh systems.",Not started
RQ_0040,Great Lakes vessels,CSL Canada,High,"Populate all 17 Great Lakes/St. Lawrence CSL vessels with IMO, Canadian official number, MMSI, year, yard, class, capacity, ownership and cargo/service history.",Not started
RQ_0041,Cross-regional company graph,CSL Group,High,"Populate CSL Australia/Asia 15-vessel fleet, CSL Americas and other divisions so Great Lakes company queries retain global corporate exposure.",Not started
RQ_0042,Great Lakes vessels,Algoma,High,"Populate Canadian dry-bulk, tanker and international/JV fleet; separate Great Lakes vessels, international self-unloaders and FureBear/newbuild programs.",Not started
RQ_0043,Great Lakes vessels,Interlake / GLF / Mainstay group,High,"Resolve all individual vessels, USCG official numbers/IMO where applicable, build yards, cargo classes and route dependencies.",Not started
RQ_0044,Great Lakes ports,41 core ports,High,"Populate port authority, terminal operators, ownership/concession, cargo volumes, rail links, cruise facilities, shipyards, dredging and coordinates.",Not started
RQ_0045,Great Lakes infrastructure,Locks / canals / channels,High,"Populate individual Soo/Welland/Seaway locks, bridges, channel restrictions, maintenance windows, notices and incident history.",Not started
RQ_0046,Great Lakes cargo,Commodity flows,High,"Build mine/elevator/quarry/steel-mill/refinery origin-destination graph and connect cargo corridors to ports, carriers, railways and critical lock dependencies.",Not started
RQ_0047,Great Lakes cruise,Seven 2026 cruise lines / ten ships,Medium,"Resolve IMO, ownership, operator, shipyard, capacity, itineraries, port calls, lock transits and incidents for 2026 cruise fleet.",Not started
RQ_0048,Great Lakes incidents,Historical + current incident layer,High,"Ingest groundings, allisions, collisions, lock/bridge outages, weather, ice, machinery, spills, labour and pilotage disruptions; deduplicate to canonical events.",Not started
RQ_0049,Great Lakes API design,Pre-API schema validation,High,"Validate source refresh cadence, identifiers, entity resolution and update strategy before automating APIs/scrapers.",Not started
RQ_0050,Vessels,Global Feeder Shipping / GFS Ship Management,High,"Reconcile 36-vessel commercial-carrier fleet against 30+ in-house/managed fleet; resolve legal owners, technical managers, commercial operators, charters, flags and current services vessel by vessel.",In progress
