Rail Network ID,Network / Corridor,Lead Operator Company ID,Countries / Jurisdictions,Start Node,End Node,Length / Scale,Gauge,Electrification / Signalling,Status,Primary Cargo / Role,Notes,Source ID,Source URL
RAILNET_0001,UAE National Rail Network,COMP_ETIHAD_RAIL,United Arab Emirates,Ghuwaifat border,Fujairah,900 km,1435 mm,ETCS Level 2,Operating,Freight / intermodal / industrial,Four major ports and 11 freight terminals.,SRC_0380,https://corporate.etihadrail.ae/en
RAILNET_0002,Hafeet Rail UAE-Oman Link,COMP_HAFEET_RAIL,UAE / Oman,Sohar Port,UAE National Rail Network / Abu Dhabi,238 km,1435 mm,ETCS Level 2,Under construction,Freight + passenger,40% complete Apr 2026.,SRC_0383,https://corporate.etihadrail.ae/en/newsroom/press/hafeet-rail-announces-40-completion-of-omanuae-railway-connection-project
RAILNET_0003,SAR East Freight Train,COMP_SAR,Saudi Arabia,King Abdulaziz Port Dammam,Riyadh,566 km,Standard gauge,,Operating,Containers / petrochemicals / general freight,Port-capital freight corridor.,SRC_0384,https://sar.com.sa/about-sar/railnetwork/
RAILNET_0004,Middle Corridor / Trans-Caspian East-West,MULTI,China / Kazakhstan / Azerbaijan / Georgia / Türkiye,China-Kazakhstan border,Europe via Türkiye / Black Sea,"4,256 km rail + 508 km sea",1435/1520 mm,Multimodal,Operating,Containers / general cargo,Caspian sea bridge + rail corridor.,SRC_0386,https://transit.gov.az/en/corridors/east-west-corridor
RAILNET_0005,Baku-Tbilisi-Kars Railway,MULTI,Azerbaijan / Georgia / Türkiye,Baku network,Kars,~850 km,1520/1435 transition,,Operating,Transit / containers,Middle Corridor land bridge.,SRC_0387,https://www.railway.ge/baqo-tbilisi-yarsis-marshruti-akhal-shesadzleblobebs-qmnis/
RAILNET_0006,Georgia Black Sea Port Rail Corridor,COMP_GEORGIAN_RAILWAY,Georgia,Tbilisi,Poti / Batumi,,1520 mm,Electrified,Operating,Containers / bulk / transit,Tbilisi to Black Sea ports.,SRC_0388,https://www.railway.ge/en/traffic-general-schedule/
RAILNET_0007,CN Tri-Coastal Freight Network,COMP_CN,Canada / United States,Prince Rupert / Vancouver / Halifax / Montreal,US Midwest / Gulf Coast,"~20,000 route miles",Standard gauge,Mixed,Operating,Intermodal / bulk / auto,Three-coast network.,SRC_0389,https://www.cn.ca/en/our-services/rail
RAILNET_0008,CPKC North American Port Network,COMP_CPKC,Canada / US / Mexico,Vancouver / Saint John / Lázaro Cárdenas,Chicago / North America,"~20,000 route miles",Standard gauge,Mixed,Operating,Intermodal / auto / bulk,Single-line transnational gateway network.,SRC_0392,https://author.cpkcr.com/en/media/SMX-May2026
RAILNET_0009,Alameda Corridor,COMP_ACTA,United States,Los Angeles / Long Beach,Transcontinental rail connections,20 corridor miles / 60 track miles,Standard gauge,,Operating,International containers,32 trains/day current corridor statistic.,SRC_0393,https://www.acta.org/
RAILNET_0010,BNSF International Intermodal Network,COMP_BNSF,United States,West Coast gateways,Chicago / Kansas City / inland hubs,,Standard gauge,Mixed,Operating,International intermodal,LA/Oakland/Seattle/Portland inland connectivity.,SRC_0394,https://www.bnsf.com/ship-with-bnsf/intermodal/service-options-and-details.html
RAILNET_0011,Union Pacific West Coast Port Network,COMP_UNION_PACIFIC,United States,LA / Long Beach / Oakland / Tacoma / Seattle,US inland markets,,Standard gauge,Mixed,Operating,International intermodal,Five major West Coast ports.,SRC_0395,https://www.up.com/shipping/intermodal/us-westcoast
RAILNET_0012,Norfolk Southern East Coast Port Network,COMP_NORFOLK_SOUTHERN,United States,East/Gulf port gateways,US inland markets,"19,200 route miles",Standard gauge,Mixed,Operating,Intermodal / auto / bulk,43 ports served.,SRC_0397,https://www.norfolksouthern.com/en/ship-by-rail/our-rail-network/ports-international
RAILNET_0013,Southeast Mexico Express,MULTI,Mexico / United States,CPKC Mexico network,US Southeast via CSX,,Standard gauge,Mixed,Operating,Intermodal / automotive,CPKC-CSX service upgraded 2026.,SRC_0392,https://author.cpkcr.com/en/media/SMX-May2026
RAILNET_0014,Transnet Container Corridor,COMP_TRANSNET_FREIGHT_RAIL,South Africa,Port of Durban,Gauteng / City Deep,688 km,1067 mm,Mixed,Operating,Containers / fuel / grain / vehicles,Durban-Gauteng artery.,SRC_0398,https://www.transnet.net/SubsiteRender.aspx?id=4492347
RAILNET_0015,Transnet North Corridor,COMP_TRANSNET_FREIGHT_RAIL,South Africa,Coal/mineral origins,Richards Bay,,1067 mm,Mixed,Operating,Coal / chrome / ferrochrome,Richards Bay export corridor.,SRC_0399,https://www.transnet.net/SubsiteRender.aspx?id=4460373
RAILNET_0016,Tanger Med Rail Gateway,COMP_ONCF,Morocco,Tanger Med,Moroccan cities / auto plants,,Standard gauge,Mixed,Operating,Containers / vehicles,Three 800 m tracks + parking track.,SRC_0400,https://www.tangermedport.com/en/activities/railway/
