Staging ID,Company ID,Vessel Name,Canonical Vessel ID,IMO,MMSI,National / Official Number,Operating Region,Vessel Type,DWT / Capacity,Year Built,Status,Data Status,Priority,Source URL,Notes
GSTAGE_00001,COMP_CSL_AUSTRALIA,Adelie,,,,,Australia and Asia,Self-unloader,45155.2,1999,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00002,COMP_CSL_AUSTRALIA,CSL Reliance,,,,,Australia and Asia,Self-unloader,47665,,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00003,COMP_CSL_AUSTRALIA,Elanora,,,,,Australia and Asia,Self-unloader,45546,,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00004,COMP_CSL_AUSTRALIA,Yampu,,,,,Australia and Asia,Self-unloader,11900,2026,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00005,COMP_CSL_AUSTRALIA,Akuna,,,,,Australia and Asia,Cement carrier,26544,2009,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00006,COMP_CSL_AUSTRALIA,Goliath,,,,,Australia and Asia,Cement carrier,15599,1993,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00007,COMP_CSL_AUSTRALIA,Kondili,,,,,Australia and Asia,Cement carrier,26730.93,2006,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00008,COMP_CSL_AUSTRALIA,Luga,,,,,Australia and Asia,Cement carrier,28979,1984,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00009,COMP_CSL_AUSTRALIA,Wyuna,,,,,Australia and Asia,Cement carrier,26699.27,2010,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00010,COMP_CSL_AUSTRALIA,Donnacona,,,,,Australia and Asia,Transhipper,27172.6,2001,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00011,COMP_CSL_AUSTRALIA,FOTB Spencer Gulf,,,,,Australia and Asia,Floating transfer barge,4766.6,2006,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00012,COMP_CSL_AUSTRALIA,Osprey,,,,,Australia and Asia,Transhipper,13800,2015,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00013,COMP_CSL_AUSTRALIA,Whyalla,,,,,Australia and Asia,Transhipper,12740.4,1987,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00014,COMP_CSL_AUSTRALIA,SUB Barngarla,,,,,Australia and Asia,Barge,12000,,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00015,COMP_CSL_AUSTRALIA,SUB Middleback,,,,,Australia and Asia,Barge,12000,,Current official fleet,Research / identity enrichment,High,https://cslships.com/global-fleet/,Current CSL Australia/Asia regional fleet seed; IMO/MMSI/registry enrichment pending.
GSTAGE_00016,COMP_MCKEIL,Alouette Spirit,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00017,COMP_MCKEIL,Beverly M I,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00018,COMP_MCKEIL,Blair McKeil,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00019,COMP_MCKEIL,Dover Spirit,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
GSTAGE_00020,COMP_MCKEIL,DW100,,,,,Great Lakes / St. Lawrence / East Coast / Arctic,Type to enrich,,,Current official fleet,Research / identity enrichment,High,https://mckeil.com/our-fleet/,Current McKeil public fleet name; IMO/type/capacity enrichment pending.
