Port ID,Port / Facility,Country,Latitude,Longitude,Operator Company ID,Operator,Facility Type,Key Role,Coverage Note,Source ID
UKP001,Ayr,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP002,Barrow,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP003,Barry,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP004,Cardiff,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP005,Fleetwood,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP006,Garston,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP007,Goole,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP008,Grimsby,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP009,Hams Hall Terminal,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP010,Hull,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP011,Immingham,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP012,Ipswich,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP013,King's Lynn,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP014,Lowestoft,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP015,Newport,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP016,Plymouth,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP017,Port Talbot,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP018,Silloth,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP019,Southampton,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP020,Swansea,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP021,Teignmouth,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
UKP022,Troon,United Kingdom,,,COMP_ABP,Associated British Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0009
