News Link ID,News ID,Entity ID,Entity Type,Relationship,Relevance,Confidence,Notes
NLINK00001,NEWS00001,VESSEL_00419,Vessel,SUBJECT,Primary,High,Stena Estrid
NLINK00002,NEWS00001,PORTG0191,Port,LOCATION,Primary,High,Holyhead Port
NLINK00003,NEWS00001,TERM0246,Terminal,INCIDENT_AT,Primary,High,Terminal 3
NLINK00004,NEWS00002,COMP_CMA_CGM,Company,RESPONDENT,Primary,High,
NLINK00005,NEWS00002,COMP_SAMSUNG_ELECTRONICS_AMERICA,Company,CLAIMANT,Primary,High,
NLINK00006,NEWS00002,COMP_FMC,Authority,REGULATOR,Primary,High,
NLINK00007,NEWS00003,PORTG0075,Port,SUBJECT,Primary,High,Existing Port of Antwerp-Bruges canonical port
NLINK00008,NEWS00004,PORTG0194,Port,SUBJECT,Primary,High,Bukhta Sever
NLINK00009,NEWS00004,COMP_ROSNEFT,Company,DEVELOPER,Primary,High,
NLINK00010,NEWS00004,VESSEL_00424,Vessel,FIRST_CARGO_VESSEL,Secondary,High,
NLINK00011,NEWS00005,PORTG0193,Port,SUBJECT,Primary,High,Port Louis
NLINK00012,NEWS00005,TERM0247,Terminal,AFFECTS,Primary,High,Mauritius Container Terminal
NLINK00013,NEWS00007,VESSEL_00425,Vessel,SUBJECT,Primary,High,
NLINK00014,NEWS00007,VESSEL_00426,Vessel,SUBJECT,Primary,High,
NLINK00015,NEWS00008,PORTG0192,Port,SUBJECT,Primary,High,
NLINK00016,NEWS00008,ASSET101,Asset,PROJECT_ASSET,Primary,High,
NLINK00017,NEWS00008,ASSET102,Asset,PROJECT_ASSET,Primary,High,
NLINK00018,NEWS00009,COMP_AUSTAL_USA,Company,TARGET,Primary,High,
NLINK00019,NEWS00009,COMP_HANWHA_GROUP,Company,BIDDER,Primary,High,
NLINK00020,NEWS00009,COMP_WILDCAT_INFRA,Company,POTENTIAL_BIDDER,Primary,Medium,
NLINK00021,NEWS00010,VESSEL_00420,Vessel,SUBJECT,Primary,High,
NLINK00022,NEWS00010,PORTG0196,Port,PRIOR_CALL,Primary,High,
NLINK00023,NEWS00011,COMP_HAPAG_LLOYD,Company,BIDDER,Primary,High,
NLINK00024,NEWS00011,COMP_ZIM,Company,TARGET,Primary,High,
NLINK00025,NEWS00012,PORTG0205,Port,AFFECTS,Primary,High,
NLINK00026,NEWS00013,PORTG0192,Port,SUBJECT,Primary,High,Corroborating Oakland source
NLINK00027,NEWS00014,VESSEL_00421,Vessel,SUBJECT,Primary,High,
NLINK00028,NEWS00014,TERM0250,Terminal,ORIGIN_TERMINAL,Secondary,High,
NLINK00029,NEWS00015,COMP_ICTSI,Company,BUYER,Primary,High,
NLINK00030,NEWS00015,COMP_TLG,Company,TARGET,Primary,High,
NLINK00031,NEWS00016,VESSEL_00422,Vessel,SUBJECT,Primary,High,
NLINK00032,NEWS00016,ASSET104,Asset,CONTACTED_INFRASTRUCTURE,Primary,High,
NLINK00033,NEWS00017,VESSEL_00423,Vessel,SUBJECT,Primary,High,
NLINK00034,NEWS00017,PORTG0206,Port,LOCATION,Primary,High,
NLINK00035,NEWS00017,COMP_VODOLEY,Company,OWNER_OPERATOR,Secondary,High,LLC Vodoley per CCAMLR vessel record
NLINK00036,NEWS00015,TERM0390,Terminal,PORTFOLIO_CONTEXT,Secondary,High,ICTSI African terminal explicitly referenced in acquisition article
NLINK00037,NEWS00015,TERM0394,Terminal,PORTFOLIO_CONTEXT,Secondary,High,ICTSI African terminal explicitly referenced in acquisition article
NLINK00038,NEWS00015,TERM0396,Terminal,PORTFOLIO_CONTEXT,Secondary,High,ICTSI African terminal explicitly referenced in acquisition article
NLINK00039,NEWS00015,TERM0397,Terminal,PORTFOLIO_CONTEXT,Secondary,High,ICTSI African terminal explicitly referenced in acquisition article
NLINK00040,NEWS00015,TERM0395,Terminal,PORTFOLIO_CONTEXT,Secondary,High,ICTSI African terminal explicitly referenced in acquisition article
NLINK00041,NEWS00018,VESSEL_00427,Vessel,SUBJECT,Primary,High,Hercules Star
NLINK00042,NEWS00018,COMP_PENINSULA,Company,CHARTERER / CONFIRMING COMPANY,Primary,High,Peninsula
NLINK00043,NEWS00018,COMP_HERCULES_TANKER,Company,FLEET AFFILIATION,Secondary,Medium,Hercules Tanker Management
NLINK00044,NEWS00018,PORTG0371,Port,REFERENCE LOCATION,Secondary,High,Port Rashid reference point; incident offshore.
