event_link_id,event_id,linked_type,linked_id,relationship,confidence,source_id
EL_001,EVT_ZAYED_STRIKE,Asset,PORT_ZAYED,AFFECTED_ASSET,High,SRC_ZAYED_EVENT
EL_002,EVT_ROTTERDAM_EXPLOSION,Asset,PORT_ROTTERDAM,AFFECTED_ASSET,High,SRC_ROTTERDAM_EVENT
EL_003,EVT_LADONNA_ATTACK,MobileAsset,VESSEL_LADONNA,AFFECTED_VESSEL,High,SRC_LADONNA_EVENT
EL_004,EVT_JCG_RESCUE,Geography,GEO_JAPAN_MARSEC,OCCURRED_IN,High,SRC_JCG
EL_005,EVT_KCG_GROUNDING,Geography,GEO_KOREA_MARSEC,OCCURRED_IN,High,SRC_KCG
EL_006,EVT_MSC_ELSA3,MobileAsset,VESSEL_MSC_ELSA3,AFFECTED_VESSEL,High,SRC_ICG
EL_007,EVT_MSC_ELSA3,Geography,GEO_INDIA_MARSEC,OCCURRED_IN,High,SRC_ICG
EL_008,EVT_GENOA_MILESTONE,Asset,PORT_GENOA,AFFECTED_ASSET,High,SRC_GENOA_EVENT
EL_009,EVT_MOREBAYA_COMMISSION,Asset,PORT_MOREBAYA,AFFECTED_ASSET,High,SRC_MOREBAYA_EVENT
EL_010,EVT_PORT_STRIKE_NE,Asset,PORT_ROTTERDAM,AFFECTED_ASSET,Medium-High,SRC_N_EU_STRIKE
EL_011,EVT_PORT_STRIKE_NE,Geography,GEO_N_EU_PORTS,OCCURRED_IN,High,SRC_N_EU_STRIKE
